CAN Message; 0x77:d5c7924a6a71a47f
Timestamp;Amplitude
1739209638.3420558;-45.120503652039325
1739209638.3420591;-45.120503652039325
1739209638.3420625;-45.120503652039325
1739209638.3420658;-38.13080360867914
1739209638.3420691;-35.57807855764607
1739209638.3420725;-38.13080360867914
1739209638.3420758;-45.120503652039325
1739209638.3420792;-33.981070128970906
1739209638.3420825;-38.13080360867914
1739209638.3420858;-45.120503652039325
1739209638.3420892;-45.120503652039325
1739209638.3420925;-45.120503652039325
1739209638.3420959;-33.981070128970906
1739209638.3420992;-45.120503652039325
1739209638.3421025;-45.120503652039325
1739209638.3421059;-33.981070128970906
1739209638.3421092;-38.13080360867914
1739209638.3421125;-45.120503652039325
1739209638.3421159;-45.120503652039325
1739209638.3421192;-45.120503652039325
1739209638.3421226;-45.120503652039325
1739209638.342126;-45.120503652039325
1739209638.3421292;-45.120503652039325
1739209638.3421326;-38.13080360867914
1739209638.342136;-32.816014438256545
1739209638.3421392;-38.13080360867914
1739209638.3421426;-45.120503652039325
1739209638.342146;-38.13080360867914
1739209638.3421493;-38.13080360867914
1739209638.3421526;-38.13080360867914
1739209638.342156;-45.120503652039325
1739209638.3421593;-45.120503652039325
1739209638.3421626;-38.13080360867914
1739209638.342166;-38.13080360867914
1739209638.3421693;-45.120503652039325
1739209638.3421726;-33.981070128970906
1739209638.342176;-38.13080360867914
1739209638.3421793;-45.120503652039325
1739209638.3421826;-45.120503652039325
1739209638.3421857;-45.120503652039325
1739209638.342189;-45.120503652039325
1739209638.3421924;-45.120503652039325
1739209638.3421957;-38.13080360867914
1739209638.342199;-38.13080360867914
1739209638.3422024;-35.57807855764607
1739209638.3422058;-38.13080360867914
1739209638.342209;-38.13080360867914
1739209638.3422124;-45.120503652039325
1739209638.3422158;-38.13080360867914
1739209638.342219;-33.981070128970906
1739209638.3422225;-38.13080360867914
1739209638.3422258;-45.120503652039325
1739209638.3422291;-38.13080360867914
1739209638.3422325;-38.13080360867914
1739209638.3422358;-38.13080360867914
1739209638.3422391;-38.13080360867914
1739209638.3422425;-33.981070128970906
1739209638.3422458;-33.981070128970906
1739209638.3422492;-38.13080360867914
1739209638.3422525;-45.120503652039325
1739209638.3422558;-45.120503652039325
1739209638.3422592;-45.120503652039325
1739209638.3422625;-45.120503652039325
1739209638.3422658;-38.13080360867914
1739209638.3422692;-33.981070128970906
1739209638.3422725;-28.992665084841942
1739209638.3422759;-38.13080360867914
1739209638.3422792;-38.13080360867914
1739209638.3422825;-35.57807855764607
1739209638.3422859;-38.13080360867914
1739209638.3422892;-45.120503652039325
1739209638.3422925;-45.120503652039325
1739209638.342296;-38.13080360867914
1739209638.3422992;-33.981070128970906
1739209638.3423026;-38.13080360867914
1739209638.342306;-35.57807855764607
1739209638.3423092;-38.13080360867914
1739209638.3423126;-33.981070128970906
1739209638.342316;-38.13080360867914
1739209638.3423193;-45.120503652039325
1739209638.3423226;-38.13080360867914
1739209638.342326;-30.49652367304973
1739209638.3423293;-38.13080360867914
1739209638.3423326;-35.57807855764607
1739209638.342336;-38.13080360867914
1739209638.3423393;-38.13080360867914
1739209638.3423426;-45.120503652039325
1739209638.342346;-45.120503652039325
1739209638.3423493;-38.13080360867914
1739209638.3423526;-28.58837851428586
1739209638.342356;-45.120503652039325
1739209638.3423593;-38.13080360867914
1739209638.3423626;-45.120503652039325
1739209638.342366;-45.120503652039325
1739209638.3423693;-45.120503652039325
1739209638.3423727;-45.120503652039325
1739209638.3423758;-45.120503652039325
1739209638.342379;-32.816014438256545
1739209638.3423824;-45.120503652039325
1739209638.3423858;-45.120503652039325
1739209638.342389;-45.120503652039325
1739209638.3423924;-38.13080360867914
1739209638.3423958;-35.57807855764607
1739209638.3423991;-38.13080360867914
1739209638.3424025;-45.120503652039325
1739209638.3424058;-28.992665084841942
1739209638.3424091;-38.13080360867914
1739209638.3424125;-38.13080360867914
1739209638.3424158;-45.120503652039325
1739209638.3424191;-38.13080360867914
1739209638.3424225;-38.13080360867914
1739209638.3424258;-38.13080360867914
1739209638.3424292;-45.120503652039325
1739209638.3424325;-38.13080360867914
1739209638.3424358;-38.13080360867914
1739209638.3424392;-38.13080360867914
1739209638.3424425;-45.120503652039325
1739209638.3424459;-38.13080360867914
1739209638.3424492;-38.13080360867914
1739209638.3424525;-45.120503652039325
1739209638.3424559;-45.120503652039325
1739209638.3424592;-45.120503652039325
1739209638.3424625;-38.13080360867914
1739209638.3424659;-38.13080360867914
1739209638.3424692;-38.13080360867914
1739209638.3424726;-38.13080360867914
1739209638.342476;-35.57807855764607
1739209638.3424792;-45.120503652039325
1739209638.3424826;-45.120503652039325
1739209638.342486;-38.13080360867914
1739209638.3424892;-38.13080360867914
1739209638.3424926;-45.120503652039325
1739209638.342496;-45.120503652039325
1739209638.3424993;-33.981070128970906
1739209638.3425026;-35.57807855764607
1739209638.342506;-38.13080360867914
1739209638.3425093;-38.13080360867914
1739209638.3425126;-45.120503652039325
1739209638.342516;-45.120503652039325
1739209638.3425193;-45.120503652039325
1739209638.3425226;-45.120503652039325
1739209638.342526;-45.120503652039325
1739209638.3425293;-33.981070128970906
1739209638.3425326;-38.13080360867914
1739209638.342536;-45.120503652039325
1739209638.3425393;-30.49652367304973
1739209638.3425426;-32.816014438256545
1739209638.342546;-45.120503652039325
1739209638.3425493;-45.120503652039325
1739209638.3425527;-38.13080360867914
1739209638.342556;-45.120503652039325
1739209638.3425593;-38.13080360867914
1739209638.3425627;-38.13080360867914
1739209638.3425658;-45.120503652039325
1739209638.342569;-38.13080360867914
1739209638.3425725;-38.13080360867914
1739209638.3425758;-45.120503652039325
1739209638.3425791;-45.120503652039325
1739209638.3425825;-38.13080360867914
1739209638.3425858;-38.13080360867914
1739209638.3425891;-45.120503652039325
1739209638.3425925;-33.981070128970906
1739209638.3425958;-35.57807855764607
1739209638.3425992;-45.120503652039325
