CAN Message; 0x24:06147f762768e16b
Timestamp;Amplitude
1739209797.3994596;-38.13080360867914
1739209797.3994632;-38.13080360867914
1739209797.3994668;-38.13080360867914
1739209797.3994703;-38.13080360867914
1739209797.399474;-45.120503652039325
1739209797.3994772;-38.13080360867914
1739209797.3994808;-35.57807855764607
1739209797.3994844;-45.120503652039325
1739209797.399488;-45.120503652039325
1739209797.3994915;-38.13080360867914
1739209797.3994951;-38.13080360867914
1739209797.3994985;-45.120503652039325
1739209797.399502;-38.13080360867914
1739209797.3995056;-38.13080360867914
1739209797.3995092;-45.120503652039325
1739209797.3995128;-38.13080360867914
1739209797.399516;-32.816014438256545
1739209797.3995197;-45.120503652039325
1739209797.3995233;-45.120503652039325
1739209797.3995268;-45.120503652039325
1739209797.3995304;-33.981070128970906
1739209797.399534;-33.981070128970906
1739209797.3995373;-45.120503652039325
1739209797.399541;-35.57807855764607
1739209797.3995445;-38.13080360867914
1739209797.399548;-33.981070128970906
1739209797.3995516;-38.13080360867914
1739209797.399555;-38.13080360867914
1739209797.3995585;-35.57807855764607
1739209797.3995621;-45.120503652039325
1739209797.3995657;-45.120503652039325
1739209797.3995693;-38.13080360867914
1739209797.3995728;-38.13080360867914
1739209797.3995762;-38.13080360867914
1739209797.3995798;-45.120503652039325
1739209797.3995833;-33.981070128970906
1739209797.399587;-38.13080360867914
1739209797.3995905;-33.981070128970906
1739209797.3995938;-45.120503652039325
1739209797.3995974;-38.13080360867914
1739209797.399601;-32.816014438256545
1739209797.3996046;-38.13080360867914
1739209797.3996081;-45.120503652039325
1739209797.3996117;-33.981070128970906
1739209797.399615;-33.981070128970906
1739209797.3996186;-32.816014438256545
1739209797.3996222;-45.120503652039325
1739209797.3996258;-38.13080360867914
1739209797.3996294;-38.13080360867914
1739209797.3996327;-45.120503652039325
1739209797.3996363;-38.13080360867914
1739209797.3996398;-38.13080360867914
1739209797.3996434;-38.13080360867914
1739209797.399647;-27.267205301931607
1739209797.3996506;-38.13080360867914
1739209797.399654;-45.120503652039325
1739209797.3996575;-38.13080360867914
1739209797.399661;-38.13080360867914
1739209797.3996646;-45.120503652039325
1739209797.3996682;-45.120503652039325
1739209797.3996716;-45.120503652039325
1739209797.3996751;-32.816014438256545
1739209797.3996787;-45.120503652039325
1739209797.3996823;-38.13080360867914
1739209797.3996859;-45.120503652039325
1739209797.3996894;-45.120503652039325
1739209797.3996928;-45.120503652039325
1739209797.3996964;-45.120503652039325
1739209797.3997;-45.120503652039325
1739209797.3997035;-31.141103565318915
1739209797.399707;-35.57807855764607
1739209797.3997104;-45.120503652039325
1739209797.399714;-38.13080360867914
1739209797.3997176;-38.13080360867914
1739209797.3997211;-45.120503652039325
1739209797.3997247;-45.120503652039325
1739209797.3997283;-45.120503652039325
1739209797.3997316;-38.13080360867914
1739209797.3997352;-38.13080360867914
1739209797.3997388;-38.13080360867914
1739209797.3997424;-45.120503652039325
1739209797.399746;-38.13080360867914
1739209797.3997493;-35.57807855764607
1739209797.3997529;-38.13080360867914
1739209797.3997564;-45.120503652039325
1739209797.39976;-38.13080360867914
1739209797.3997636;-45.120503652039325
1739209797.3997672;-45.120503652039325
1739209797.3997705;-45.120503652039325
1739209797.399774;-45.120503652039325
1739209797.3997777;-38.13080360867914
1739209797.3997812;-45.120503652039325
1739209797.3997848;-45.120503652039325
1739209797.3997881;-30.49652367304973
1739209797.3997917;-33.981070128970906
1739209797.3997953;-45.120503652039325
1739209797.3997989;-32.816014438256545
1739209797.3998024;-38.13080360867914
1739209797.399806;-45.120503652039325
1739209797.3998094;-30.49652367304973
1739209797.399813;-32.816014438256545
1739209797.3998165;-38.13080360867914
1739209797.39982;-45.120503652039325
1739209797.3998237;-33.981070128970906
1739209797.399827;-38.13080360867914
1739209797.3998306;-38.13080360867914
1739209797.3998342;-45.120503652039325
1739209797.3998377;-45.120503652039325
1739209797.3998413;-38.13080360867914
1739209797.399845;-35.57807855764607
1739209797.3998482;-35.57807855764607
1739209797.3998518;-35.57807855764607
1739209797.3998554;-35.57807855764607
1739209797.399859;-45.120503652039325
1739209797.3998625;-45.120503652039325
1739209797.3998659;-38.13080360867914
1739209797.3998694;-33.981070128970906
1739209797.399873;-32.816014438256545
1739209797.3998766;-38.13080360867914
1739209797.3998802;-38.13080360867914
1739209797.3998837;-35.57807855764607
1739209797.399887;-35.57807855764607
1739209797.3998907;-38.13080360867914
1739209797.3998942;-45.120503652039325
1739209797.3998978;-35.57807855764607
1739209797.3999014;-38.13080360867914
1739209797.3999047;-45.120503652039325
1739209797.3999083;-38.13080360867914
1739209797.3999119;-45.120503652039325
1739209797.3999155;-45.120503652039325
1739209797.399919;-33.981070128970906
1739209797.3999226;-38.13080360867914
1739209797.399926;-45.120503652039325
1739209797.3999295;-35.57807855764607
1739209797.399933;-32.816014438256545
1739209797.3999367;-45.120503652039325
1739209797.3999403;-45.120503652039325
1739209797.3999436;-33.981070128970906
1739209797.3999472;-45.120503652039325
1739209797.3999507;-45.120503652039325
1739209797.3999543;-38.13080360867914
1739209797.399958;-45.120503652039325
1739209797.3999615;-38.13080360867914
1739209797.3999648;-45.120503652039325
1739209797.3999684;-45.120503652039325
1739209797.399972;-33.981070128970906
1739209797.3999755;-38.13080360867914
1739209797.399979;-45.120503652039325
1739209797.3999825;-45.120503652039325
1739209797.399986;-35.57807855764607
1739209797.3999896;-38.13080360867914
1739209797.3999932;-38.13080360867914
1739209797.3999968;-38.13080360867914
1739209797.4000003;-38.13080360867914
1739209797.4000037;-45.120503652039325
1739209797.4000072;-45.120503652039325
1739209797.4000108;-45.120503652039325
1739209797.4000144;-38.13080360867914
1739209797.400018;-45.120503652039325
1739209797.4000216;-45.120503652039325
1739209797.400025;-45.120503652039325
1739209797.4000285;-45.120503652039325
1739209797.400032;-35.57807855764607
1739209797.4000356;-45.120503652039325
1739209797.4000392;-45.120503652039325
1739209797.4000425;-45.120503652039325
1739209797.400046;-38.13080360867914
1739209797.4000497;-38.13080360867914
1739209797.4000533;-38.13080360867914
1739209797.4000568;-45.120503652039325
1739209797.4000604;-45.120503652039325
1739209797.4000638;-38.13080360867914
1739209797.4000673;-38.13080360867914
1739209797.400071;-38.13080360867914
1739209797.4000745;-38.13080360867914
1739209797.400078;-38.13080360867914
1739209797.4000814;-38.13080360867914
1739209797.400085;-45.120503652039325
1739209797.4000885;-35.57807855764607
1739209797.4000921;-38.13080360867914
1739209797.4000957;-38.13080360867914
1739209797.4000993;-45.120503652039325
1739209797.4001026;-31.141103565318915
1739209797.4001062;-33.981070128970906
1739209797.4001098;-45.120503652039325
1739209797.4001133;-45.120503652039325
1739209797.400117;-45.120503652039325
1739209797.4001203;-38.13080360867914
1739209797.4001238;-45.120503652039325
1739209797.4001274;-38.13080360867914
1739209797.400131;-45.120503652039325
1739209797.4001346;-33.981070128970906
1739209797.4001381;-35.57807855764607
1739209797.4001415;-45.120503652039325
1739209797.400145;-38.13080360867914
1739209797.4001486;-38.13080360867914
1739209797.4001522;-33.981070128970906
1739209797.4001558;-38.13080360867914
1739209797.4001591;-38.13080360867914
1739209797.4001627;-45.120503652039325
1739209797.4001663;-31.141103565318915
1739209797.4001698;-38.13080360867914
1739209797.4001734;-45.120503652039325
1739209797.400177;-38.13080360867914
1739209797.4001803;-45.120503652039325
1739209797.400184;-45.120503652039325
1739209797.4001875;-45.120503652039325
1739209797.400191;-45.120503652039325
1739209797.4001946;-38.13080360867914
1739209797.400198;-38.13080360867914
1739209797.4002016;-45.120503652039325
1739209797.4002051;-45.120503652039325
1739209797.4002087;-38.13080360867914
1739209797.4002123;-45.120503652039325
1739209797.4002159;-45.120503652039325
1739209797.4002192;-38.13080360867914
1739209797.4002228;-45.120503652039325
1739209797.4002264;-45.120503652039325
1739209797.40023;-38.13080360867914
1739209797.4002335;-38.13080360867914
1739209797.4002368;-38.13080360867914
1739209797.4002404;-45.120503652039325
1739209797.400244;-33.981070128970906
1739209797.4002476;-32.816014438256545
1739209797.4002512;-45.120503652039325
1739209797.4002547;-38.13080360867914
1739209797.400258;-38.13080360867914
1739209797.4002616;-45.120503652039325
1739209797.4002652;-45.120503652039325
1739209797.4002688;-38.13080360867914
1739209797.4002724;-38.13080360867914
1739209797.4002757;-31.141103565318915
1739209797.4002793;-45.120503652039325
1739209797.4002829;-38.13080360867914
1739209797.4002864;-45.120503652039325
1739209797.40029;-38.13080360867914
1739209797.4002936;-38.13080360867914
1739209797.400297;-45.120503652039325
1739209797.4003005;-45.120503652039325
1739209797.400304;-29.438486411369354
1739209797.4003077;-38.13080360867914
1739209797.4003112;-38.13080360867914
1739209797.4003146;-45.120503652039325
1739209797.4003181;-38.13080360867914
1739209797.4003217;-45.120503652039325
1739209797.4003253;-38.13080360867914
1739209797.4003289;-38.13080360867914
1739209797.4003325;-31.141103565318915
1739209797.4003358;-35.57807855764607
1739209797.4003394;-38.13080360867914
1739209797.400343;-38.13080360867914
1739209797.4003465;-33.981070128970906
1739209797.40035;-38.13080360867914
1739209797.4003534;-38.13080360867914
1739209797.400357;-45.120503652039325
