CAN Message; 0x1d3:00004cb9e1dd0972
Timestamp;Amplitude
1739209782.4357316;-38.13080360867914
1739209782.4357324;-38.13080360867914
1739209782.4357328;-35.57807855764607
1739209782.4357333;-45.120503652039325
1739209782.4357338;-38.13080360867914
1739209782.4357345;-35.57807855764607
1739209782.435735;-38.13080360867914
1739209782.4357355;-45.120503652039325
1739209782.4357362;-45.120503652039325
1739209782.4357367;-45.120503652039325
1739209782.4357371;-45.120503652039325
1739209782.4357376;-45.120503652039325
1739209782.4357383;-45.120503652039325
1739209782.4357388;-45.120503652039325
1739209782.4357393;-45.120503652039325
1739209782.4357398;-33.981070128970906
1739209782.4357405;-38.13080360867914
1739209782.435741;-35.57807855764607
1739209782.4357414;-38.13080360867914
1739209782.435742;-35.57807855764607
1739209782.4357426;-31.141103565318915
1739209782.435743;-38.13080360867914
1739209782.4357436;-38.13080360867914
1739209782.4357443;-38.13080360867914
1739209782.4357448;-35.57807855764607
1739209782.4357452;-38.13080360867914
1739209782.4357457;-45.120503652039325
1739209782.4357464;-45.120503652039325
1739209782.435747;-33.981070128970906
1739209782.4357474;-45.120503652039325
1739209782.4357479;-33.981070128970956
1739209782.4357486;-45.120503652039325
1739209782.435749;-45.120503652039325
1739209782.4357495;-45.120503652039325
1739209782.4357502;-45.120503652039325
1739209782.4357507;-45.120503652039325
1739209782.4357512;-35.57807855764607
1739209782.4357517;-38.13080360867914
1739209782.4357524;-45.120503652039325
1739209782.4357529;-38.13080360867914
1739209782.4357533;-38.13080360867914
1739209782.4357538;-38.13080360867914
1739209782.4357545;-45.120503652039325
1739209782.435755;-45.120503652039325
1739209782.4357555;-45.120503652039325
1739209782.435756;-38.13080360867914
1739209782.4357567;-45.120503652039325
1739209782.4357572;-45.120503652039325
1739209782.4357576;-32.816014438256545
1739209782.4357584;-45.120503652039325
1739209782.4357588;-45.120503652039325
1739209782.4357593;-38.13080360867914
1739209782.4357598;-45.120503652039325
1739209782.4357605;-38.13080360867914
1739209782.435761;-45.120503652039325
1739209782.4357615;-38.13080360867914
1739209782.435762;-45.120503652039325
1739209782.4357626;-27.8777449560314
1739209782.4357631;-31.141103565318893
1739209782.4357636;-45.120503652039325
1739209782.435764;-45.120503652039325
1739209782.4357648;-32.816014438256545
1739209782.4357653;-35.57807855764607
1739209782.4357657;-45.120503652039325
1739209782.4357665;-38.13080360867914
1739209782.435767;-45.120503652039325
1739209782.4357674;-45.120503652039325
1739209782.435768;-38.13080360867914
1739209782.4357686;-38.13080360867914
1739209782.435769;-38.13080360867914
1739209782.4357696;-45.120503652039325
1739209782.43577;-38.13080360867914
1739209782.4357708;-45.120503652039325
1739209782.4357712;-35.57807855764607
1739209782.4357717;-35.57807855764607
1739209782.4357722;-45.120503652039325
1739209782.435773;-38.13080360867914
1739209782.4357734;-38.13080360867914
1739209782.4357738;-35.57807855764607
1739209782.4357746;-38.13080360867914
1739209782.435775;-45.120503652039325
1739209782.4357755;-35.57807855764607
1739209782.435776;-35.57807855764607
1739209782.4357767;-45.120503652039325
1739209782.4357772;-45.120503652039325
1739209782.4357777;-35.57807855764607
1739209782.4357781;-35.57807855764607
1739209782.4357789;-45.120503652039325
1739209782.4357793;-45.120503652039325
1739209782.4357798;-45.120503652039325
1739209782.4357803;-45.120503652039325
1739209782.435781;-45.120503652039325
1739209782.4357815;-35.57807855764607
1739209782.435782;-45.120503652039325
1739209782.4357827;-45.120503652039325
1739209782.4357831;-38.13080360867914
1739209782.4357836;-45.120503652039325
1739209782.435784;-35.57807855764607
1739209782.4357848;-27.8777449560314
1739209782.4357853;-33.981070128970906
1739209782.4357858;-38.13080360867914
1739209782.4357862;-38.13080360867914
1739209782.435787;-35.57807855764607
1739209782.4357874;-38.13080360867914
1739209782.435788;-38.13080360867914
1739209782.4357886;-45.120503652039325
1739209782.435789;-45.120503652039325
1739209782.4357896;-45.120503652039325
1739209782.43579;-45.120503652039325
1739209782.4357908;-38.13080360867914
1739209782.4357913;-45.120503652039325
1739209782.4357917;-38.13080360867914
1739209782.4357922;-38.13080360867914
1739209782.435793;-45.120503652039325
1739209782.4357934;-45.120503652039325
1739209782.4357939;-38.13080360867914
1739209782.4357944;-38.13080360867914
1739209782.435795;-45.120503652039325
1739209782.4357955;-45.120503652039325
1739209782.435796;-32.816014438256545
1739209782.4357967;-35.57807855764607
1739209782.4357972;-38.13080360867914
1739209782.4357977;-38.13080360867914
1739209782.4357982;-38.13080360867914
1739209782.435799;-38.13080360867914
1739209782.4357994;-38.13080360867914
1739209782.4357998;-45.120503652039325
1739209782.4358003;-45.120503652039325
1739209782.435801;-45.120503652039325
1739209782.4358015;-45.120503652039325
1739209782.435802;-45.120503652039325
1739209782.4358025;-38.13080360867914
