CAN Message; 0x150:000047d36d4823f8
Timestamp;Amplitude
1739209689.2018988;-45.120503652039325
1739209689.2019124;-45.120503652039325
1739209689.201926;-45.120503652039325
1739209689.2019398;-38.13080360867914
1739209689.2019534;-38.13080360867914
1739209689.201967;-38.13080360867914
1739209689.2019806;-45.120503652039325
1739209689.2019942;-45.120503652039325
1739209689.2020078;-45.120503652039325
1739209689.2020216;-33.981070128970906
1739209689.2020352;-32.816014438256545
1739209689.2020488;-38.13080360867914
1739209689.2020624;-38.13080360867914
1739209689.202076;-45.120503652039325
1739209689.2020895;-33.981070128970906
1739209689.2021034;-45.120503652039325
1739209689.202117;-38.13080360867914
1739209689.2021306;-45.120503652039325
1739209689.2021441;-45.120503652039325
1739209689.2021577;-38.13080360867914
1739209689.2021713;-45.120503652039325
1739209689.2021852;-33.981070128970906
1739209689.2021987;-45.120503652039325
1739209689.2022123;-45.120503652039325
1739209689.202226;-45.120503652039325
1739209689.2022395;-35.57807855764607
1739209689.202253;-30.49652367304973
1739209689.202267;-45.120503652039325
1739209689.2022805;-45.120503652039325
1739209689.202294;-38.13080360867914
1739209689.2023077;-45.120503652039325
1739209689.2023213;-45.120503652039325
1739209689.202335;-32.816014438256545
1739209689.2023487;-38.13080360867914
1739209689.2023623;-45.120503652039325
1739209689.202376;-45.120503652039325
1739209689.2023895;-38.13080360867914
1739209689.202403;-45.120503652039325
1739209689.2024167;-45.120503652039325
1739209689.2024305;-45.120503652039325
1739209689.202444;-38.13080360867914
1739209689.2024577;-45.120503652039325
1739209689.2024713;-45.120503652039325
1739209689.2024848;-45.120503652039325
1739209689.2024984;-45.120503652039325
1739209689.2025123;-35.57807855764607
1739209689.2025259;-35.57807855764607
1739209689.2025394;-38.13080360867914
1739209689.202553;-45.120503652039325
1739209689.2025666;-29.438486411369333
1739209689.2025802;-26.487275050834715
1739209689.202594;-45.120503652039325
1739209689.2026076;-38.13080360867914
1739209689.2026212;-35.57807855764607
1739209689.2026348;-32.816014438256545
1739209689.2026484;-38.13080360867914
1739209689.202662;-38.13080360867914
1739209689.2026758;-38.13080360867914
1739209689.2026894;-45.120503652039325
1739209689.202703;-38.13080360867914
1739209689.2027166;-35.57807855764607
1739209689.2027302;-45.120503652039325
1739209689.2027438;-45.120503652039325
1739209689.2027574;-38.13080360867914
1739209689.2027712;-38.13080360867914
1739209689.2027848;-38.13080360867914
1739209689.2027984;-31.141103565318915
1739209689.202812;-35.57807855764607
1739209689.2028255;-45.120503652039325
1739209689.2028391;-38.13080360867914
1739209689.202853;-35.57807855764607
1739209689.2028666;-45.120503652039325
1739209689.2028801;-45.120503652039325
1739209689.2028937;-38.13080360867914
1739209689.2029073;-28.992665084841942
1739209689.202921;-38.13080360867914
1739209689.2029347;-38.13080360867914
1739209689.2029483;-45.120503652039325
1739209689.202962;-38.13080360867914
1739209689.2029755;-45.120503652039325
1739209689.202989;-45.120503652039325
1739209689.2030027;-45.120503652039325
1739209689.2030165;-33.981070128970956
1739209689.20303;-38.13080360867914
1739209689.2030437;-38.13080360867914
1739209689.2030573;-45.120503652039325
1739209689.2030709;-45.120503652039325
1739209689.2030845;-45.120503652039325
1739209689.2030983;-38.13080360867914
1739209689.203112;-38.13080360867914
1739209689.2031255;-38.13080360867914
1739209689.203139;-35.57807855764607
1739209689.2031527;-35.57807855764607
1739209689.2031662;-45.120503652039325
1739209689.20318;-45.120503652039325
1739209689.2031937;-45.120503652039325
1739209689.2032073;-33.981070128970906
1739209689.2032208;-45.120503652039325
1739209689.2032344;-45.120503652039325
1739209689.203248;-45.120503652039325
1739209689.2032619;-45.120503652039325
1739209689.2032754;-45.120503652039325
1739209689.203289;-45.120503652039325
1739209689.2033026;-33.981070128970906
1739209689.2033162;-38.13080360867914
1739209689.2033298;-38.13080360867914
1739209689.2033436;-38.13080360867914
1739209689.2033572;-38.13080360867914
1739209689.2033708;-38.13080360867914
1739209689.2033844;-45.120503652039325
1739209689.203398;-45.120503652039325
1739209689.2034116;-38.13080360867914
1739209689.2034254;-35.57807855764607
1739209689.203439;-45.120503652039325
1739209689.2034526;-38.13080360867914
1739209689.2034662;-45.120503652039325
1739209689.2034798;-45.120503652039325
1739209689.2034934;-38.13080360867914
1739209689.2035072;-38.13080360867914
1739209689.2035208;-38.13080360867914
1739209689.2035344;-38.13080360867914
1739209689.203548;-45.120503652039325
1739209689.2035615;-45.120503652039325
1739209689.2035751;-33.981070128970906
1739209689.203589;-38.13080360867914
1739209689.2036026;-45.120503652039325
1739209689.2036161;-45.120503652039325
1739209689.2036297;-35.57807855764607
1739209689.2036433;-35.57807855764607
1739209689.203657;-38.13080360867914
1739209689.2036707;-45.120503652039325
1739209689.2036843;-38.13080360867914
1739209689.203698;-38.13080360867914
1739209689.2037115;-38.13080360867914
1739209689.203725;-38.13080360867914
1739209689.2037387;-38.13080360867914
1739209689.2037525;-38.13080360867914
1739209689.203766;-45.120503652039325
1739209689.2037797;-45.120503652039325
1739209689.2037933;-28.992665084841942
1739209689.2038069;-38.13080360867914
1739209689.2038205;-45.120503652039325
1739209689.2038343;-45.120503652039325
1739209689.203848;-31.141103565318915
1739209689.2038615;-38.13080360867914
1739209689.203875;-38.13080360867914
1739209689.2038887;-45.120503652039325
1739209689.2039022;-45.120503652039325
1739209689.203916;-38.13080360867914
1739209689.2039297;-45.120503652039325
1739209689.2039433;-45.120503652039325
1739209689.2039568;-45.120503652039325
1739209689.2039704;-38.13080360867914
1739209689.203984;-38.13080360867914
1739209689.2039979;-45.120503652039325
1739209689.2040114;-38.13080360867914
1739209689.204025;-38.13080360867914
1739209689.2040386;-38.13080360867914
1739209689.2040522;-38.13080360867914
1739209689.2040658;-31.141103565318915
1739209689.2040796;-45.120503652039325
1739209689.2040932;-45.120503652039325
1739209689.2041068;-38.13080360867914
1739209689.2041204;-31.141103565318915
1739209689.204134;-35.57807855764607
1739209689.2041476;-38.13080360867914
1739209689.2041612;-45.120503652039325
1739209689.204175;-45.120503652039325
