CAN Message; 0x1d3:00004b26ad21d818
Timestamp;Amplitude
1739209807.0943863;-38.13080360867914
1739209807.094392;-35.57807855764607
1739209807.094398;-45.120503652039325
1739209807.0944037;-45.120503652039325
1739209807.0944095;-33.981070128970906
1739209807.0944152;-45.120503652039325
1739209807.0944211;-45.120503652039325
1739209807.0944269;-35.57807855764607
1739209807.0944326;-45.120503652039325
1739209807.0944386;-45.120503652039325
1739209807.0944443;-45.120503652039325
1739209807.09445;-45.120503652039325
1739209807.0944557;-45.120503652039325
1739209807.0944617;-45.120503652039325
1739209807.0944674;-45.120503652039325
1739209807.0944731;-45.120503652039325
1739209807.0944788;-38.13080360867914
1739209807.0944848;-38.13080360867914
1739209807.0944905;-45.120503652039325
1739209807.0944963;-45.120503652039325
1739209807.0945022;-35.57807855764607
1739209807.094508;-32.816014438256545
1739209807.0945137;-35.57807855764607
1739209807.0945194;-35.57807855764607
1739209807.0945253;-45.120503652039325
1739209807.094531;-35.57807855764607
1739209807.0945368;-38.13080360867914
1739209807.0945425;-45.120503652039325
1739209807.0945485;-45.120503652039325
1739209807.0945542;-45.120503652039325
1739209807.09456;-45.120503652039325
1739209807.0945659;-45.120503652039325
1739209807.0945716;-35.57807855764607
1739209807.0945773;-45.120503652039325
1739209807.094583;-38.13080360867914
1739209807.094589;-35.57807855764607
1739209807.0945947;-38.13080360867914
1739209807.0946004;-32.816014438256545
1739209807.0946064;-38.13080360867914
1739209807.0946121;-45.120503652039325
1739209807.0946178;-35.57807855764607
1739209807.0946236;-30.49652367304973
1739209807.0946295;-45.120503652039325
1739209807.0946352;-45.120503652039325
1739209807.094641;-38.13080360867914
1739209807.0946467;-35.57807855764607
1739209807.0946527;-38.13080360867914
1739209807.0946584;-45.120503652039325
1739209807.094664;-45.120503652039325
1739209807.09467;-38.13080360867914
1739209807.0946758;-38.13080360867914
1739209807.0946815;-45.120503652039325
1739209807.0946872;-45.120503652039325
1739209807.0946932;-38.13080360867914
1739209807.094699;-45.120503652039325
1739209807.0947046;-45.120503652039325
1739209807.0947106;-45.120503652039325
1739209807.0947163;-45.120503652039325
1739209807.094722;-38.13080360867914
1739209807.0947278;-38.13080360867914
1739209807.0947337;-38.13080360867914
1739209807.0947394;-26.487275050834715
1739209807.0947452;-38.13080360867914
1739209807.094751;-45.120503652039325
1739209807.0947568;-35.57807855764607
1739209807.0947626;-35.57807855764607
1739209807.0947683;-45.120503652039325
1739209807.0947742;-35.57807855764607
1739209807.09478;-45.120503652039325
1739209807.0947857;-45.120503652039325
1739209807.0947914;-45.120503652039325
1739209807.0947974;-45.120503652039325
1739209807.094803;-45.120503652039325
1739209807.0948088;-45.120503652039325
1739209807.0948145;-45.120503652039325
1739209807.0948205;-38.13080360867914
1739209807.0948262;-45.120503652039325
1739209807.094832;-45.120503652039325
1739209807.094838;-33.981070128970906
1739209807.0948436;-38.13080360867914
1739209807.0948493;-38.13080360867914
1739209807.094855;-45.120503652039325
1739209807.094861;-35.57807855764607
1739209807.0948668;-35.57807855764607
1739209807.0948725;-45.120503652039325
1739209807.0948784;-30.49652367304973
1739209807.0948842;-35.57807855764607
1739209807.0948899;-45.120503652039325
1739209807.0948956;-45.120503652039325
1739209807.0949016;-45.120503652039325
1739209807.0949073;-38.13080360867914
1739209807.094913;-45.120503652039325
1739209807.0949187;-38.13080360867914
1739209807.0949247;-32.81601443825658
1739209807.0949304;-38.13080360867914
1739209807.0949361;-38.13080360867914
1739209807.094942;-38.13080360867914
1739209807.0949478;-45.120503652039325
1739209807.0949535;-45.120503652039325
1739209807.0949593;-45.120503652039325
1739209807.0949652;-38.13080360867914
1739209807.094971;-28.992665084841942
1739209807.0949767;-33.981070128970906
1739209807.0949824;-45.120503652039325
1739209807.0949883;-38.13080360867914
1739209807.094994;-35.57807855764607
1739209807.0949998;-45.120503652039325
1739209807.0950058;-45.120503652039325
1739209807.0950115;-45.120503652039325
1739209807.0950172;-45.120503652039325
1739209807.095023;-38.13080360867914
1739209807.0950289;-45.120503652039325
1739209807.0950346;-38.13080360867914
1739209807.0950403;-35.57807855764607
1739209807.0950463;-38.13080360867914
1739209807.095052;-45.120503652039325
1739209807.0950577;-32.816014438256545
1739209807.0950634;-32.816014438256545
1739209807.0950694;-45.120503652039325
1739209807.0950751;-45.120503652039325
1739209807.0950809;-33.981070128970906
1739209807.0950866;-38.13080360867914
1739209807.0950925;-45.120503652039325
1739209807.0950983;-45.120503652039325
1739209807.095104;-33.981070128970906
1739209807.09511;-33.981070128970906
1739209807.0951157;-33.981070128970906
1739209807.0951214;-45.120503652039325
1739209807.095127;-33.981070128970906
1739209807.095133;-38.13080360867914
1739209807.0951388;-38.13080360867914
1739209807.0951445;-45.120503652039325
1739209807.0951505;-35.57807855764607
1739209807.0951562;-38.13080360867914
1739209807.095162;-45.120503652039325
1739209807.0951676;-45.120503652039325
1739209807.0951736;-38.13080360867914
1739209807.0951793;-38.13080360867914
1739209807.095185;-45.120503652039325
1739209807.0951908;-38.13080360867914
1739209807.0951967;-45.120503652039325
1739209807.0952024;-38.13080360867914
1739209807.0952082;-35.57807855764607
1739209807.0952141;-38.13080360867914
1739209807.0952199;-45.120503652039325
1739209807.0952256;-38.13080360867914
1739209807.0952313;-38.13080360867914
1739209807.0952373;-38.13080360867914
1739209807.095243;-45.120503652039325
1739209807.0952487;-45.120503652039325
1739209807.0952544;-33.981070128970906
1739209807.0952604;-38.13080360867914
1739209807.095266;-45.120503652039325
1739209807.0952718;-45.120503652039325
1739209807.0952778;-35.57807855764607
1739209807.0952835;-35.57807855764607
1739209807.0952892;-45.120503652039325
1739209807.095295;-38.13080360867914
1739209807.095301;-45.120503652039325
1739209807.0953066;-45.120503652039325
1739209807.0953124;-45.120503652039325
1739209807.0953183;-38.13080360867914
1739209807.095324;-45.120503652039325
