CAN Message; 0x1bb:00000e037fb9f9df
Timestamp;Amplitude
1739209696.6645415;-45.120503652039325
1739209696.6645482;-45.120503652039325
1739209696.6645548;-45.120503652039325
1739209696.6645615;-45.120503652039325
1739209696.6645682;-45.120503652039325
1739209696.6645749;-45.120503652039325
1739209696.6645815;-45.120503652039325
1739209696.6645882;-45.120503652039325
1739209696.664595;-32.816014438256545
1739209696.6646016;-38.13080360867914
1739209696.664608;-45.120503652039325
1739209696.6646147;-38.13080360867914
1739209696.6646214;-28.21854285175415
1739209696.664628;-32.816014438256545
1739209696.6646347;-45.120503652039325
1739209696.6646414;-38.13080360867914
1739209696.664648;-38.13080360867914
1739209696.6646547;-45.120503652039325
1739209696.6646614;-45.120503652039325
1739209696.6646678;-38.13080360867914
1739209696.6646745;-38.13080360867914
1739209696.6646812;-38.13080360867914
1739209696.6646879;-45.120503652039325
1739209696.6646945;-45.120503652039325
1739209696.6647012;-45.120503652039325
1739209696.664708;-38.13080360867914
1739209696.6647146;-45.120503652039325
1739209696.6647213;-45.120503652039325
1739209696.664728;-45.120503652039325
1739209696.6647344;-45.120503652039325
1739209696.664741;-45.120503652039325
1739209696.6647477;-45.120503652039325
1739209696.6647544;-45.120503652039325
1739209696.664761;-33.981070128970906
1739209696.6647677;-38.13080360867914
1739209696.6647744;-45.120503652039325
1739209696.664781;-38.13080360867914
1739209696.6647878;-33.981070128970906
1739209696.6647944;-33.981070128970906
1739209696.664801;-38.13080360867914
1739209696.6648076;-45.120503652039325
1739209696.6648142;-38.13080360867914
1739209696.664821;-38.13080360867914
1739209696.6648276;-38.13080360867914
1739209696.6648343;-45.120503652039325
1739209696.664841;-38.13080360867914
1739209696.6648476;-38.13080360867914
1739209696.6648543;-38.13080360867914
1739209696.6648607;-45.120503652039325
1739209696.6648674;-45.120503652039325
1739209696.664874;-35.57807855764607
1739209696.6648808;-45.120503652039325
1739209696.6648874;-45.120503652039325
1739209696.664894;-45.120503652039325
1739209696.6649008;-45.120503652039325
1739209696.6649075;-38.13080360867914
1739209696.6649141;-45.120503652039325
1739209696.6649208;-31.141103565318915
1739209696.6649272;-33.981070128970906
1739209696.664934;-45.120503652039325
1739209696.6649406;-38.13080360867914
1739209696.6649473;-38.13080360867914
1739209696.664954;-45.120503652039325
1739209696.6649606;-45.120503652039325
1739209696.6649673;-38.13080360867914
1739209696.664974;-30.49652367304973
1739209696.6649806;-45.120503652039325
1739209696.664987;-45.120503652039325
1739209696.6649938;-45.120503652039325
1739209696.6650004;-38.13080360867914
1739209696.665007;-38.13080360867914
1739209696.6650138;-38.13080360867914
1739209696.6650205;-35.57807855764607
1739209696.6650271;-31.141103565318915
1739209696.6650338;-38.13080360867914
1739209696.6650405;-35.57807855764607
1739209696.6650472;-38.13080360867914
1739209696.6650536;-33.981070128970906
1739209696.6650603;-33.981070128970906
1739209696.665067;-38.13080360867914
1739209696.6650736;-45.120503652039325
1739209696.6650803;-38.13080360867914
1739209696.665087;-38.13080360867914
1739209696.6650937;-45.120503652039325
1739209696.6651003;-38.13080360867914
1739209696.665107;-35.57807855764607
1739209696.6651134;-38.13080360867914
1739209696.6651201;-38.13080360867914
1739209696.6651268;-38.13080360867914
1739209696.6651335;-45.120503652039325
1739209696.6651402;-38.13080360867914
1739209696.6651468;-35.57807855764607
1739209696.6651535;-45.120503652039325
1739209696.6651602;-38.13080360867914
1739209696.6651669;-38.13080360867914
1739209696.6651735;-38.13080360867914
1739209696.66518;-38.13080360867914
1739209696.6651866;-31.141103565318915
1739209696.6651933;-28.58837851428586
1739209696.6652;-38.13080360867914
1739209696.6652067;-45.120503652039325
1739209696.6652133;-38.13080360867914
1739209696.66522;-35.57807855764607
1739209696.6652267;-38.13080360867914
1739209696.6652334;-45.120503652039325
1739209696.66524;-45.120503652039325
1739209696.6652465;-45.120503652039325
1739209696.6652532;-38.13080360867914
1739209696.6652598;-38.13080360867914
1739209696.6652665;-38.13080360867914
1739209696.6652732;-32.816014438256545
1739209696.6652799;-38.13080360867914
1739209696.6652865;-45.120503652039325
1739209696.6652932;-38.13080360867914
1739209696.6653;-38.13080360867914
1739209696.6653063;-38.13080360867914
1739209696.665313;-38.13080360867914
1739209696.6653197;-38.13080360867914
1739209696.6653264;-32.816014438256545
1739209696.665333;-35.57807855764607
1739209696.6653397;-45.120503652039325
1739209696.6653464;-38.13080360867914
1739209696.665353;-30.49652367304973
1739209696.6653597;-38.13080360867914
1739209696.6653664;-45.120503652039325
1739209696.6653728;-38.13080360867914
1739209696.6653795;-38.13080360867914
1739209696.6653862;-38.13080360867914
1739209696.6653929;-38.13080360867914
1739209696.6653996;-45.120503652039325
1739209696.6654062;-33.981070128970906
1739209696.665413;-38.13080360867914
1739209696.6654196;-45.120503652039325
1739209696.6654263;-45.120503652039325
1739209696.6654327;-45.120503652039325
1739209696.6654394;-45.120503652039325
1739209696.665446;-45.120503652039325
1739209696.6654527;-45.120503652039325
1739209696.6654594;-38.13080360867914
1739209696.665466;-45.120503652039325
1739209696.6654727;-45.120503652039325
1739209696.6654794;-45.120503652039325
1739209696.665486;-45.120503652039325
1739209696.6654928;-35.57807855764607
1739209696.6654992;-38.13080360867914
1739209696.665506;-35.57807855764607
1739209696.6655126;-45.120503652039325
1739209696.6655192;-45.120503652039325
1739209696.665526;-35.57807855764607
1739209696.6655326;-38.13080360867914
1739209696.6655393;-45.120503652039325
1739209696.665546;-45.120503652039325
1739209696.6655526;-45.120503652039325
1739209696.665559;-38.13080360867914
1739209696.6655657;-38.13080360867914
1739209696.6655724;-35.57807855764607
1739209696.665579;-38.13080360867914
1739209696.6655858;-45.120503652039325
1739209696.6655924;-35.57807855764607
1739209696.665599;-38.13080360867914
1739209696.6656058;-35.57807855764607
1739209696.6656125;-38.13080360867914
1739209696.6656191;-38.13080360867914
1739209696.6656256;-38.13080360867914
1739209696.6656322;-38.13080360867914
1739209696.665639;-38.13080360867914
1739209696.6656456;-45.120503652039325
1739209696.6656523;-38.13080360867914
1739209696.665659;-45.120503652039325
1739209696.6656656;-38.13080360867914
1739209696.6656723;-38.13080360867914
1739209696.665679;-45.120503652039325
1739209696.6656857;-45.120503652039325
1739209696.665692;-45.120503652039325
1739209696.6656988;-38.13080360867914
1739209696.6657054;-45.120503652039325
1739209696.665712;-45.120503652039325
1739209696.6657188;-45.120503652039325
1739209696.6657255;-27.8777449560314
1739209696.6657321;-27.267205301931607
1739209696.6657388;-45.120503652039325
1739209696.6657455;-38.13080360867914
1739209696.665752;-32.816014438256545
1739209696.6657586;-38.13080360867914
1739209696.6657653;-45.120503652039325
1739209696.665772;-45.120503652039325
1739209696.6657786;-45.120503652039325
1739209696.6657853;-45.120503652039325
1739209696.665792;-45.120503652039325
1739209696.6657987;-45.120503652039325
1739209696.6658053;-45.120503652039325
1739209696.665812;-38.13080360867914
1739209696.6658185;-45.120503652039325
1739209696.6658251;-45.120503652039325
1739209696.6658318;-45.120503652039325
1739209696.6658385;-35.57807855764607
1739209696.6658452;-38.13080360867914
1739209696.6658518;-45.120503652039325
1739209696.6658585;-45.120503652039325
1739209696.6658652;-45.120503652039325
1739209696.6658719;-33.981070128970906
1739209696.6658783;-45.120503652039325
1739209696.665885;-33.981070128970906
1739209696.6658916;-31.141103565318915
1739209696.6658983;-38.13080360867914
1739209696.665905;-45.120503652039325
1739209696.6659117;-45.120503652039325
1739209696.6659184;-35.57807855764607
1739209696.665925;-38.13080360867914
1739209696.6659317;-38.13080360867914
1739209696.6659384;-45.120503652039325
1739209696.6659448;-31.14110356531892
1739209696.6659515;-38.13080360867914
1739209696.6659582;-38.13080360867914
1739209696.6659648;-45.120503652039325
1739209696.6659715;-45.120503652039325
1739209696.6659782;-45.120503652039325
1739209696.6659849;-33.981070128970906
1739209696.6659915;-32.816014438256545
1739209696.6659982;-38.13080360867914
