CAN Message; 0x98:0000d36f79917bc1
Timestamp;Amplitude
1739209610.1667166;-35.57807855764607
1739209610.1667187;-38.13080360867914
1739209610.1667206;-38.13080360867914
1739209610.1667228;-35.57807855764607
1739209610.1667247;-38.13080360867914
1739209610.1667268;-35.57807855764607
1739209610.1667287;-38.13080360867914
1739209610.1667309;-35.57807855764607
1739209610.1667328;-45.120503652039325
1739209610.166735;-45.120503652039325
1739209610.166737;-45.120503652039325
1739209610.166739;-38.13080360867914
1739209610.1667411;-38.13080360867914
1739209610.166743;-45.120503652039325
1739209610.1667452;-45.120503652039325
1739209610.166747;-38.13080360867914
1739209610.1667492;-38.13080360867914
1739209610.1667514;-38.13080360867914
1739209610.1667533;-35.57807855764607
1739209610.1667554;-38.13080360867914
1739209610.1667573;-45.120503652039325
1739209610.1667595;-45.120503652039325
1739209610.1667614;-45.120503652039325
1739209610.1667635;-45.120503652039325
1739209610.1667655;-33.981070128970906
1739209610.1667676;-35.57807855764607
1739209610.1667697;-38.13080360867914
1739209610.1667717;-45.120503652039325
1739209610.1667738;-32.816014438256545
1739209610.1667757;-30.49652367304973
1739209610.1667778;-45.120503652039325
1739209610.1667798;-45.120503652039325
1739209610.166782;-45.120503652039325
1739209610.1667838;-38.13080360867914
1739209610.166786;-38.13080360867914
1739209610.166788;-45.120503652039325
1739209610.16679;-38.13080360867914
1739209610.1667922;-38.13080360867914
1739209610.166794;-45.120503652039325
1739209610.1667962;-45.120503652039325
1739209610.166798;-31.141103565318915
1739209610.1668003;-31.141103565318893
1739209610.1668022;-45.120503652039325
1739209610.1668043;-45.120503652039325
1739209610.1668065;-38.13080360867914
1739209610.1668084;-38.13080360867914
1739209610.1668105;-38.13080360867914
1739209610.1668124;-38.13080360867914
1739209610.1668146;-45.120503652039325
1739209610.1668165;-45.120503652039325
1739209610.1668186;-45.120503652039325
1739209610.1668205;-32.816014438256545
1739209610.1668227;-45.120503652039325
1739209610.1668248;-45.120503652039325
1739209610.1668267;-38.13080360867914
1739209610.1668289;-45.120503652039325
1739209610.1668308;-31.141103565318915
1739209610.166833;-32.816014438256545
1739209610.1668348;-38.13080360867914
1739209610.166837;-35.57807855764607
1739209610.1668391;-45.120503652039325
1739209610.166841;-38.13080360867914
1739209610.1668432;-45.120503652039325
1739209610.166845;-38.13080360867914
1739209610.1668472;-38.13080360867914
1739209610.1668491;-45.120503652039325
1739209610.1668513;-38.13080360867914
1739209610.1668532;-35.57807855764607
1739209610.1668553;-45.120503652039325
1739209610.1668575;-45.120503652039325
1739209610.1668594;-33.981070128970906
1739209610.1668615;-45.120503652039325
1739209610.1668634;-45.120503652039325
1739209610.1668656;-45.120503652039325
1739209610.1668675;-38.13080360867914
1739209610.1668696;-38.13080360867914
1739209610.1668715;-35.57807855764607
1739209610.1668737;-32.816014438256545
1739209610.1668758;-35.57807855764607
1739209610.1668777;-35.57807855764607
1739209610.16688;-33.981070128970906
1739209610.1668818;-33.981070128970906
1739209610.166884;-45.120503652039325
1739209610.1668859;-45.120503652039325
1739209610.166888;-45.120503652039325
1739209610.16689;-38.13080360867914
1739209610.166892;-38.13080360867914
1739209610.1668942;-38.13080360867914
1739209610.166896;-32.816014438256545
1739209610.1668983;-38.13080360867914
1739209610.1669002;-45.120503652039325
1739209610.1669023;-45.120503652039325
1739209610.1669042;-33.981070128970906
1739209610.1669064;-31.141103565318893
1739209610.1669085;-38.13080360867914
1739209610.1669104;-45.120503652039325
1739209610.1669126;-38.13080360867914
1739209610.1669145;-30.49652367304973
1739209610.1669166;-38.13080360867914
1739209610.1669185;-38.13080360867914
1739209610.1669207;-38.13080360867914
1739209610.1669226;-45.120503652039325
1739209610.1669247;-45.120503652039325
1739209610.1669269;-45.120503652039325
1739209610.1669288;-45.120503652039325
1739209610.166931;-45.120503652039325
1739209610.1669328;-38.13080360867914
1739209610.166935;-38.13080360867914
1739209610.1669369;-35.57807855764607
1739209610.166939;-32.816014438256545
1739209610.166941;-38.13080360867914
1739209610.166943;-45.120503652039325
1739209610.1669452;-38.13080360867914
1739209610.1669471;-30.49652367304973
1739209610.1669493;-38.13080360867914
1739209610.1669512;-45.120503652039325
1739209610.1669533;-45.120503652039325
1739209610.1669552;-45.120503652039325
1739209610.1669574;-38.13080360867914
1739209610.1669593;-38.13080360867914
1739209610.1669614;-45.120503652039325
1739209610.1669636;-33.981070128970956
1739209610.1669655;-45.120503652039325
1739209610.1669676;-45.120503652039325
1739209610.1669695;-45.120503652039325
1739209610.1669717;-45.120503652039325
1739209610.1669736;-35.57807855764607
1739209610.1669757;-32.816014438256545
1739209610.166978;-38.13080360867914
1739209610.1669798;-26.991370085610722
1739209610.166982;-33.981070128970906
1739209610.1669838;-45.120503652039325
1739209610.166986;-45.120503652039325
1739209610.166988;-38.13080360867914
1739209610.16699;-38.13080360867914
1739209610.166992;-38.13080360867914
1739209610.166994;-35.57807855764607
1739209610.1669962;-35.57807855764607
1739209610.1669981;-38.13080360867914
1739209610.1670003;-38.13080360867914
1739209610.1670022;-38.13080360867914
1739209610.1670043;-45.120503652039325
1739209610.1670063;-45.120503652039325
1739209610.1670084;-38.13080360867914
1739209610.1670103;-45.120503652039325
1739209610.1670125;-27.267205301931607
1739209610.1670146;-33.981070128970906
1739209610.1670165;-45.120503652039325
1739209610.1670187;-38.13080360867914
1739209610.1670206;-38.13080360867914
1739209610.1670227;-35.57807855764607
1739209610.1670246;-38.13080360867914
1739209610.1670268;-35.57807855764607
1739209610.1670287;-33.981070128970906
1739209610.1670308;-45.120503652039325
1739209610.167033;-38.13080360867914
1739209610.1670349;-38.13080360867914
1739209610.167037;-38.13080360867914
1739209610.167039;-45.120503652039325
1739209610.167041;-38.13080360867914
1739209610.167043;-38.13080360867914
1739209610.167045;-31.141103565318915
1739209610.167047;-31.141103565318915
1739209610.1670492;-45.120503652039325
1739209610.1670513;-38.13080360867914
1739209610.1670532;-33.981070128970906
1739209610.1670554;-35.57807855764607
1739209610.1670573;-38.13080360867914
1739209610.1670594;-45.120503652039325
1739209610.1670613;-38.13080360867914
1739209610.1670635;-33.981070128970906
1739209610.1670656;-38.13080360867914
1739209610.1670675;-45.120503652039325
1739209610.1670697;-45.120503652039325
1739209610.1670716;-45.120503652039325
1739209610.1670737;-45.120503652039325
1739209610.1670756;-38.13080360867914
1739209610.1670778;-31.141103565318915
1739209610.1670797;-33.981070128970906
1739209610.1670818;-45.120503652039325
1739209610.167084;-45.120503652039325
1739209610.167086;-33.981070128970906
1739209610.167088;-35.57807855764607
1739209610.16709;-45.120503652039325
1739209610.167092;-33.981070128970906
1739209610.167094;-38.13080360867914
1739209610.1670961;-33.981070128970906
1739209610.167098;-31.141103565318893
1739209610.1671002;-38.13080360867914
1739209610.1671023;-38.13080360867914
1739209610.1671042;-38.13080360867914
1739209610.1671064;-45.120503652039325
1739209610.1671083;-45.120503652039325
1739209610.1671104;-45.120503652039325
1739209610.1671124;-38.13080360867914
1739209610.1671145;-38.13080360867914
1739209610.1671164;-38.13080360867914
1739209610.1671185;-38.13080360867914
1739209610.1671207;-45.120503652039325
1739209610.1671226;-45.120503652039325
1739209610.1671247;-38.13080360867914
1739209610.1671267;-45.120503652039325
1739209610.1671288;-33.981070128970906
1739209610.1671307;-45.120503652039325
1739209610.1671329;-45.120503652039325
1739209610.167135;-38.13080360867914
1739209610.167137;-45.120503652039325
1739209610.167139;-45.120503652039325
1739209610.167141;-38.13080360867914
1739209610.167143;-38.13080360867914
1739209610.167145;-31.141103565318915
1739209610.1671472;-45.120503652039325
1739209610.167149;-45.120503652039325
1739209610.1671512;-45.120503652039325
1739209610.1671534;-45.120503652039325
1739209610.1671553;-45.120503652039325
1739209610.1671574;-45.120503652039325
1739209610.1671593;-38.13080360867914
1739209610.1671615;-35.57807855764607
1739209610.1671634;-45.120503652039325
1739209610.1671655;-38.13080360867914
1739209610.1671674;-45.120503652039325
1739209610.1671696;-38.13080360867914
1739209610.1671717;-45.120503652039325
1739209610.1671736;-38.13080360867914
1739209610.1671758;-32.816014438256545
1739209610.1671777;-31.141103565318915
1739209610.1671798;-38.13080360867914
1739209610.1671817;-33.981070128970906
1739209610.1671839;-32.816014438256545
1739209610.1671858;-38.13080360867914
1739209610.167188;-38.13080360867914
1739209610.16719;-38.13080360867914
1739209610.167192;-45.120503652039325
1739209610.1671941;-35.57807855764607
1739209610.167196;-38.13080360867914
1739209610.1671982;-35.57807855764607
1739209610.1672;-38.13080360867914
1739209610.1672022;-35.57807855764607
1739209610.1672044;-38.13080360867914
1739209610.1672063;-45.120503652039325
1739209610.1672084;-45.120503652039325
1739209610.1672103;-33.981070128970906
1739209610.1672125;-35.57807855764607
1739209610.1672144;-38.13080360867914
1739209610.1672165;-45.120503652039325
1739209610.1672184;-45.120503652039325
1739209610.1672206;-38.13080360867914
1739209610.1672227;-35.57807855764607
1739209610.1672246;-38.13080360867914
1739209610.1672268;-45.120503652039325
