CAN Message; 0x1d3:00000d9b77e89f99
Timestamp;Amplitude
1739209676.9818037;-45.120503652039325
1739209676.9818103;-45.120503652039325
1739209676.9818172;-38.13080360867914
1739209676.9818242;-45.120503652039325
1739209676.981831;-45.120503652039325
1739209676.9818377;-45.120503652039325
1739209676.9818447;-45.120503652039325
1739209676.9818516;-38.13080360867914
1739209676.9818583;-45.120503652039325
1739209676.9818652;-38.13080360867914
1739209676.981872;-45.120503652039325
1739209676.9818788;-38.13080360867914
1739209676.9818857;-38.13080360867914
1739209676.9818926;-45.120503652039325
1739209676.9818993;-38.13080360867914
1739209676.9819062;-38.13080360867914
1739209676.981913;-45.120503652039325
1739209676.9819198;-45.120503652039325
1739209676.9819267;-45.120503652039325
1739209676.9819336;-45.120503652039325
1739209676.9819403;-45.120503652039325
1739209676.9819472;-38.13080360867914
1739209676.981954;-33.981070128970906
1739209676.981961;-38.13080360867914
1739209676.9819677;-45.120503652039325
1739209676.9819746;-33.981070128970906
1739209676.9819815;-33.981070128970906
1739209676.9819882;-45.120503652039325
1739209676.981995;-45.120503652039325
1739209676.982002;-45.120503652039325
1739209676.9820087;-38.13080360867914
1739209676.9820156;-38.13080360867914
1739209676.9820225;-45.120503652039325
1739209676.9820292;-45.120503652039325
1739209676.982036;-45.120503652039325
1739209676.982043;-38.13080360867914
1739209676.9820497;-45.120503652039325
1739209676.9820566;-38.13080360867914
1739209676.9820635;-31.141103565318915
1739209676.9782526;-45.120503652039325
1739209676.9782565;-38.13080360867914
1739209676.9782605;-32.816014438256545
1739209676.9782646;-45.120503652039325
1739209676.9782684;-38.13080360867914
1739209676.9782724;-32.816014438256545
1739209676.9782763;-35.57807855764607
1739209676.9782803;-38.13080360867914
1739209676.9782841;-45.120503652039325
1739209676.9782882;-45.120503652039325
1739209676.9782922;-45.120503652039325
1739209676.978296;-45.120503652039325
1739209676.9783;-45.120503652039325
1739209676.978304;-38.13080360867914
1739209676.978308;-45.120503652039325
1739209676.9783118;-45.120503652039325
1739209676.9783158;-38.13080360867914
1739209676.9783196;-38.13080360867914
1739209676.9783237;-45.120503652039325
1739209676.9783278;-38.13080360867914
1739209676.9783316;-45.120503652039325
1739209676.9783356;-38.13080360867914
1739209676.9783394;-45.120503652039325
1739209676.9783435;-45.120503652039325
1739209676.9783473;-45.120503652039325
1739209676.9783514;-45.120503652039325
1739209676.9783554;-45.120503652039325
1739209676.9783592;-45.120503652039325
1739209676.9783633;-38.13080360867914
1739209676.978367;-45.120503652039325
1739209676.9783711;-45.120503652039325
1739209676.978375;-45.120503652039325
1739209676.978379;-38.13080360867914
1739209676.978383;-35.57807855764607
1739209676.9783869;-45.120503652039325
1739209676.978391;-38.13080360867914
1739209676.9783947;-45.120503652039325
1739209676.9783988;-45.120503652039325
1739209676.9784026;-45.120503652039325
1739209676.9784067;-45.120503652039325
1739209676.9784107;-45.120503652039325
1739209676.9784145;-45.120503652039325
1739209676.9784186;-45.120503652039325
1739209676.9784224;-45.120503652039325
1739209676.9784265;-45.120503652039325
1739209676.9784303;-38.13080360867914
1739209676.9784343;-38.13080360867914
1739209676.9784384;-38.13080360867914
1739209676.9784422;-45.120503652039325
1739209676.9784462;-32.816014438256545
1739209676.97845;-35.57807855764607
1739209676.978454;-38.13080360867914
1739209676.978458;-45.120503652039325
1739209676.978462;-38.13080360867914
1739209676.9784658;-38.13080360867914
1739209676.9784698;-45.120503652039325
1739209676.978474;-45.120503652039325
1739209676.9784777;-38.13080360867914
1739209676.9784818;-32.816014438256545
1739209676.9784856;-45.120503652039325
1739209676.9784896;-45.120503652039325
1739209676.9784935;-38.13080360867914
1739209676.9784975;-38.13080360867914
1739209676.9785016;-45.120503652039325
1739209676.9785054;-45.120503652039325
1739209676.9785094;-33.981070128970906
1739209676.9785132;-38.13080360867914
1739209676.9785173;-38.13080360867914
1739209676.978521;-45.120503652039325
1739209676.9785252;-38.13080360867914
1739209676.9785292;-38.13080360867914
1739209676.978533;-45.120503652039325
1739209676.978537;-45.120503652039325
1739209676.978541;-38.13080360867914
1739209676.978545;-35.57807855764607
1739209676.9785488;-38.13080360867914
1739209676.9785528;-45.120503652039325
1739209676.9785569;-38.13080360867914
1739209676.9785607;-38.13080360867914
1739209676.9785647;-33.981070128970906
1739209676.9785686;-45.120503652039325
1739209676.9785726;-33.981070128970906
1739209676.9785764;-45.120503652039325
1739209676.9785805;-35.57807855764607
1739209676.9785843;-45.120503652039325
1739209676.9785883;-32.816014438256545
1739209676.9785924;-29.438486411369333
1739209676.9785962;-38.13080360867914
1739209676.9786003;-45.120503652039325
1739209676.978604;-38.13080360867914
1739209676.9786081;-32.816014438256545
1739209676.978612;-38.13080360867914
1739209676.978616;-38.13080360867914
1739209676.97862;-45.120503652039325
1739209676.9786239;-45.120503652039325
1739209676.978628;-45.120503652039325
1739209676.9786317;-38.13080360867914
1739209676.9786358;-38.13080360867914
1739209676.9786396;-45.120503652039325
1739209676.9786437;-45.120503652039325
1739209676.9786477;-45.120503652039325
1739209676.9786515;-35.57807855764607
1739209676.9786556;-32.816014438256545
1739209676.9786594;-45.120503652039325
1739209676.9786634;-45.120503652039325
1739209676.9786673;-45.120503652039325
1739209676.9786713;-45.120503652039325
1739209676.9786754;-38.13080360867914
1739209676.9786792;-35.57807855764607
1739209676.9786832;-38.13080360867914
1739209676.978687;-45.120503652039325
1739209676.978691;-38.13080360867914
1739209676.978695;-32.816014438256545
1739209676.978699;-45.120503652039325
1739209676.978703;-45.120503652039325
1739209676.9787068;-38.13080360867914
1739209676.978711;-45.120503652039325
1739209676.9787147;-38.13080360867914
1739209676.9787188;-38.13080360867914
1739209676.9787226;-38.13080360867914
1739209676.9787266;-45.120503652039325
1739209676.9787304;-35.57807855764607
1739209676.9787345;-35.57807855764607
1739209676.9787385;-45.120503652039325
1739209676.9787424;-38.13080360867914
1739209676.9787464;-45.120503652039325
1739209676.9787502;-35.57807855764607
1739209676.9787543;-38.13080360867914
1739209676.978758;-35.57807855764607
1739209676.9787621;-38.13080360867914
1739209676.9787662;-32.816014438256545
1739209676.97877;-38.13080360867914
1739209676.978774;-38.13080360867914
1739209676.978778;-45.120503652039325
1739209676.978782;-45.120503652039325
1739209676.9787858;-38.13080360867914
1739209676.9787898;-45.120503652039325
1739209676.9787939;-38.13080360867914
1739209676.9787977;-38.13080360867914
