CAN Message; 0x1d3:00008dbd91f933a3
Timestamp;Amplitude
1739209644.1414828;-38.13080360867914
1739209644.141487;-45.120503652039325
1739209644.1414912;-38.13080360867914
1739209644.1414952;-45.120503652039325
1739209644.1414993;-38.13080360867914
1739209644.1415033;-38.13080360867914
1739209644.1415076;-45.120503652039325
1739209644.1415117;-45.120503652039325
1739209644.1415157;-38.13080360867914
1739209644.1415198;-45.120503652039325
1739209644.141524;-45.120503652039325
1739209644.1415281;-35.57807855764607
1739209644.1415322;-38.13080360867914
1739209644.1415362;-45.120503652039325
1739209644.1415405;-33.981070128970906
1739209644.1415446;-32.816014438256545
1739209644.1415486;-45.120503652039325
1739209644.1415527;-45.120503652039325
1739209644.141557;-38.13080360867914
1739209644.141561;-38.13080360867914
1739209644.141565;-38.13080360867914
1739209644.1415691;-45.120503652039325
1739209644.1415732;-33.981070128970906
1739209644.1415775;-33.981070128970906
1739209644.1415815;-45.120503652039325
1739209644.1415856;-45.120503652039325
1739209644.1415896;-38.13080360867914
1739209644.141594;-35.57807855764607
1739209644.141598;-33.981070128970906
1739209644.141602;-45.120503652039325
1739209644.141606;-45.120503652039325
1739209644.1416104;-45.120503652039325
1739209644.1416144;-38.13080360867914
1739209644.1416185;-45.120503652039325
1739209644.1416225;-45.120503652039325
1739209644.1416268;-32.816014438256545
1739209644.141631;-38.13080360867914
1739209644.141635;-45.120503652039325
1739209644.141639;-33.981070128970906
1739209644.1416433;-33.981070128970906
1739209644.1416473;-45.120503652039325
1739209644.1416514;-45.120503652039325
1739209644.1416554;-45.120503652039325
1739209644.1416597;-45.120503652039325
1739209644.1416638;-45.120503652039325
1739209644.1416678;-45.120503652039325
1739209644.141672;-45.120503652039325
1739209644.1416762;-45.120503652039325
1739209644.1416802;-38.13080360867914
1739209644.1416843;-45.120503652039325
1739209644.1416883;-38.13080360867914
1739209644.1416926;-45.120503652039325
1739209644.1416967;-32.816014438256545
1739209644.1417007;-33.981070128970906
1739209644.1417048;-45.120503652039325
1739209644.141709;-38.13080360867914
1739209644.1417131;-38.13080360867914
1739209644.1417172;-38.13080360867914
1739209644.1417212;-45.120503652039325
1739209644.1417255;-45.120503652039325
1739209644.1417296;-38.13080360867914
1739209644.1417336;-38.13080360867914
1739209644.1417377;-33.981070128970906
1739209644.1417418;-45.120503652039325
1739209644.141746;-38.13080360867914
1739209644.14175;-38.13080360867914
1739209644.1417542;-45.120503652039325
1739209644.1417582;-38.13080360867914
1739209644.1417625;-45.120503652039325
1739209644.1417665;-45.120503652039325
1739209644.1417706;-45.120503652039325
1739209644.1417747;-38.13080360867914
1739209644.141779;-45.120503652039325
1739209644.141783;-38.13080360867914
1739209644.141787;-38.13080360867914
1739209644.141791;-45.120503652039325
1739209644.1417954;-38.13080360867914
1739209644.1417994;-38.13080360867914
1739209644.1418035;-45.120503652039325
1739209644.1418076;-45.120503652039325
1739209644.1418118;-38.13080360867914
1739209644.141816;-35.57807855764607
1739209644.14182;-38.13080360867914
1739209644.141824;-45.120503652039325
1739209644.1418283;-38.13080360867914
1739209644.1418324;-32.816014438256545
1739209644.1418364;-38.13080360867914
1739209644.1418405;-38.13080360867914
1739209644.1418447;-38.13080360867914
1739209644.1418488;-45.120503652039325
1739209644.1418529;-45.120503652039325
1739209644.141857;-32.816014438256545
1739209644.1418612;-38.13080360867914
1739209644.1418653;-35.57807855764607
1739209644.1418693;-45.120503652039325
1739209644.1418734;-38.13080360867914
1739209644.1418777;-33.981070128970906
1739209644.1418817;-45.120503652039325
1739209644.1418858;-35.57807855764607
1739209644.1418898;-45.120503652039325
1739209644.141894;-45.120503652039325
1739209644.1418982;-35.57807855764607
1739209644.1419022;-38.13080360867914
1739209644.1419063;-45.120503652039325
1739209644.1419106;-38.13080360867914
1739209644.1419146;-33.981070128970906
1739209644.1419187;-45.120503652039325
1739209644.1419227;-45.120503652039325
1739209644.1419268;-45.120503652039325
1739209644.141931;-45.120503652039325
1739209644.141935;-38.13080360867914
1739209644.1419392;-38.13080360867914
1739209644.1419432;-28.992665084841942
1739209644.1419475;-38.13080360867914
1739209644.1419516;-45.120503652039325
1739209644.1419556;-38.13080360867914
1739209644.1419597;-38.13080360867914
