CAN Message; 0x1b8:0300ba43d62d9c94
Timestamp;Amplitude
1739209759.2653766;-32.816014438256545
1739209759.2653813;-45.120503652039325
1739209759.265386;-45.120503652039325
1739209759.2653909;-45.120503652039325
1739209759.2653959;-38.13080360867914
1739209759.2654006;-38.13080360867914
1739209759.2654054;-45.120503652039325
1739209759.2654102;-38.13080360867914
1739209759.265415;-35.57807855764607
1739209759.26542;-45.120503652039325
1739209759.2654247;-45.120503652039325
1739209759.2654295;-38.13080360867914
1739209759.2654343;-38.13080360867914
1739209759.2654393;-38.13080360867914
1739209759.265444;-45.120503652039325
1739209759.2654488;-38.13080360867914
1739209759.2654536;-45.120503652039325
1739209759.2654586;-38.13080360867914
1739209759.2654634;-38.13080360867914
1739209759.2654681;-38.13080360867914
1739209759.265473;-38.13080360867914
1739209759.2654777;-45.120503652039325
1739209759.2654827;-45.120503652039325
1739209759.2654874;-38.13080360867914
1739209759.2654922;-38.13080360867914
1739209759.265497;-33.981070128970906
1739209759.265502;-38.13080360867914
1739209759.2655067;-45.120503652039325
1739209759.2655115;-38.13080360867914
1739209759.2655163;-35.57807855764607
1739209759.265521;-45.120503652039325
1739209759.265526;-38.13080360867914
1739209759.2655308;-45.120503652039325
1739209759.2655356;-45.120503652039325
1739209759.2655404;-38.13080360867914
1739209759.2655454;-38.13080360867914
1739209759.2655501;-45.120503652039325
1739209759.265555;-45.120503652039325
1739209759.2655597;-38.13080360867914
1739209759.2655644;-38.13080360867914
1739209759.2655694;-45.120503652039325
1739209759.2655742;-31.141103565318915
1739209759.265579;-38.13080360867914
1739209759.2655838;-45.120503652039325
1739209759.2655888;-45.120503652039325
1739209759.2655935;-35.57807855764607
1739209759.2655983;-38.13080360867914
1739209759.265603;-45.120503652039325
1739209759.265608;-45.120503652039325
1739209759.2656128;-45.120503652039325
1739209759.2656176;-45.120503652039325
1739209759.2656224;-45.120503652039325
1739209759.2656271;-45.120503652039325
1739209759.2656322;-38.13080360867914
1739209759.265637;-38.13080360867914
1739209759.2656417;-45.120503652039325
1739209759.2656465;-45.120503652039325
1739209759.2656515;-38.13080360867914
1739209759.2656562;-35.57807855764607
1739209759.265661;-45.120503652039325
1739209759.2656658;-38.13080360867914
1739209759.2656705;-33.981070128970906
1739209759.2656755;-45.120503652039325
1739209759.2656803;-45.120503652039325
1739209759.265685;-45.120503652039325
1739209759.2656898;-32.816014438256545
1739209759.2656949;-38.13080360867914
1739209759.2656996;-38.13080360867914
1739209759.2657044;-45.120503652039325
1739209759.2657092;-45.120503652039325
1739209759.265714;-45.120503652039325
1739209759.265719;-45.120503652039325
1739209759.2657237;-38.13080360867914
1739209759.2657285;-33.981070128970956
1739209759.2657332;-45.120503652039325
1739209759.2657382;-38.13080360867914
1739209759.265743;-35.57807855764607
1739209759.2657478;-45.120503652039325
1739209759.2657526;-45.120503652039325
1739209759.2657576;-35.57807855764607
1739209759.2657623;-35.57807855764607
1739209759.265767;-28.58837851428586
1739209759.2657719;-35.57807855764607
1739209759.2657766;-38.13080360867914
1739209759.2657816;-35.57807855764607
1739209759.2657864;-35.57807855764607
1739209759.2657912;-38.13080360867914
1739209759.265796;-38.13080360867914
1739209759.265801;-35.57807855764607
1739209759.2658057;-38.13080360867914
1739209759.2658105;-45.120503652039325
1739209759.2658153;-38.13080360867914
1739209759.26582;-38.13080360867914
1739209759.265825;-45.120503652039325
1739209759.2658298;-45.120503652039325
1739209759.2658346;-38.13080360867914
1739209759.2658393;-38.13080360867914
1739209759.2658443;-35.57807855764607
1739209759.265849;-38.13080360867914
1739209759.265854;-38.13080360867914
1739209759.2658587;-38.13080360867914
1739209759.2658634;-45.120503652039325
1739209759.2658684;-45.120503652039325
1739209759.2658732;-35.57807855764607
1739209759.265878;-35.57807855764607
1739209759.2658827;-35.57807855764607
1739209759.2658877;-38.13080360867914
1739209759.2658925;-45.120503652039325
1739209759.2658973;-45.120503652039325
1739209759.265902;-45.120503652039325
1739209759.2659068;-38.13080360867914
1739209759.2659118;-38.13080360867914
1739209759.2659166;-35.57807855764607
1739209759.2659214;-45.120503652039325
1739209759.2659261;-38.13080360867914
