CAN Message; 0x1d3:0000f380296f15e1
Timestamp;Amplitude
1739209738.6380637;-33.981070128970906
1739209738.6380672;-35.57807855764607
1739209738.638071;-38.13080360867914
1739209738.6380746;-45.120503652039325
1739209738.6380782;-33.981070128970906
1739209738.638082;-38.13080360867914
1739209738.6380856;-45.120503652039325
1739209738.6380892;-38.13080360867914
1739209738.6380928;-38.13080360867914
1739209738.6380966;-45.120503652039325
1739209738.6381001;-45.120503652039325
1739209738.6381037;-32.816014438256545
1739209738.6381075;-45.120503652039325
1739209738.638111;-45.120503652039325
1739209738.6381147;-38.13080360867914
1739209738.6381185;-38.13080360867914
1739209738.638122;-38.13080360867914
1739209738.6381257;-45.120503652039325
1739209738.6381292;-45.120503652039325
1739209738.638133;-45.120503652039325
1739209738.6381366;-38.13080360867914
1739209738.6381402;-35.57807855764607
1739209738.638144;-38.13080360867914
1739209738.6381476;-35.57807855764607
1739209738.6381512;-38.13080360867914
1739209738.6381547;-45.120503652039325
1739209738.6381586;-38.13080360867914
1739209738.6381621;-38.13080360867914
1739209738.6381657;-45.120503652039325
1739209738.6381695;-45.120503652039325
1739209738.638173;-38.13080360867914
1739209738.6381767;-33.981070128970906
1739209738.6381803;-32.816014438256545
1739209738.638184;-45.120503652039325
1739209738.6381876;-45.120503652039325
1739209738.6381912;-33.981070128970906
1739209738.638195;-38.13080360867914
1739209738.6381986;-45.120503652039325
1739209738.6382022;-45.120503652039325
1739209738.638206;-33.981070128970906
1739209738.6382096;-31.141103565318915
1739209738.6382132;-45.120503652039325
1739209738.6382167;-38.13080360867914
1739209738.6382205;-38.13080360867914
1739209738.6382241;-38.13080360867914
1739209738.6382277;-45.120503652039325
1739209738.6382315;-33.981070128970906
1739209738.638235;-33.981070128970906
1739209738.6382387;-31.14110356531892
1739209738.6382422;-45.120503652039325
1739209738.638246;-33.981070128970906
1739209738.6382496;-45.120503652039325
1739209738.6382532;-38.13080360867914
1739209738.638257;-35.57807855764607
1739209738.6382606;-45.120503652039325
1739209738.6382642;-38.13080360867914
1739209738.6382678;-27.267205301931607
1739209738.6382716;-38.13080360867914
1739209738.6382751;-45.120503652039325
