CAN Message; 0x1d3:0000999ca499c36a
Timestamp;Amplitude
1739209686.049778;-45.120503652039325
1739209686.0497863;-45.120503652039325
1739209686.0497947;-45.120503652039325
1739209686.049803;-45.120503652039325
1739209686.0498111;-38.13080360867914
1739209686.0498195;-45.120503652039325
1739209686.0498278;-38.13080360867914
1739209686.0498362;-35.57807855764607
1739209686.0498445;-38.13080360867914
1739209686.0498528;-45.120503652039325
1739209686.0498612;-38.13080360867914
1739209686.0498695;-38.13080360867914
1739209686.0498776;-45.120503652039325
1739209686.049886;-45.120503652039325
1739209686.0498943;-45.120503652039325
1739209686.0499027;-38.13080360867914
1739209686.049911;-38.13080360867914
1739209686.0499194;-45.120503652039325
1739209686.0499277;-35.57807855764607
1739209686.0499358;-32.816014438256545
1739209686.0499442;-38.13080360867914
1739209686.0499525;-45.120503652039325
1739209686.0499609;-33.981070128970906
1739209686.0499692;-38.13080360867914
1739209686.0499775;-45.120503652039325
1739209686.049986;-45.120503652039325
1739209686.0499942;-45.120503652039325
1739209686.0500023;-38.13080360867914
1739209686.0500107;-38.13080360867914
1739209686.050019;-45.120503652039325
1739209686.0500274;-38.13080360867914
1739209686.0500357;-35.57807855764607
1739209686.050044;-38.13080360867914
1739209686.0500524;-45.120503652039325
1739209686.0500605;-38.13080360867914
1739209686.0500689;-32.816014438256545
1739209686.0500772;-35.57807855764607
1739209686.0500855;-45.120503652039325
1739209686.050094;-32.816014438256545
1739209686.0501022;-38.13080360867914
1739209686.0501106;-45.120503652039325
1739209686.050119;-35.57807855764607
1739209686.050127;-45.120503652039325
1739209686.0501354;-45.120503652039325
1739209686.0501437;-38.13080360867914
1739209686.050152;-45.120503652039325
1739209686.0501604;-38.13080360867914
1739209686.0501688;-45.120503652039325
1739209686.050177;-38.13080360867914
1739209686.0501852;-35.57807855764607
1739209686.0501935;-38.13080360867914
1739209686.050202;-35.57807855764607
1739209686.0502102;-45.120503652039325
1739209686.0502186;-38.13080360867914
1739209686.050227;-38.13080360867914
1739209686.0502353;-45.120503652039325
1739209686.0502436;-45.120503652039325
1739209686.0502517;-45.120503652039325
1739209686.05026;-38.13080360867914
1739209686.0502684;-45.120503652039325
1739209686.0502768;-38.13080360867914
1739209686.050285;-32.816014438256545
1739209686.0502934;-45.120503652039325
1739209686.0503018;-38.13080360867914
1739209686.0503101;-38.13080360867914
1739209686.0503182;-38.13080360867914
1739209686.0503266;-45.120503652039325
1739209686.050335;-38.13080360867914
1739209686.0503433;-35.57807855764607
1739209686.0503516;-38.13080360867914
1739209686.05036;-45.120503652039325
1739209686.0503683;-38.13080360867914
1739209686.0503764;-35.57807855764607
1739209686.0503848;-35.57807855764607
1739209686.050393;-38.13080360867914
1739209686.0504014;-45.120503652039325
1739209686.0504098;-38.13080360867914
1739209686.0504181;-35.57807855764607
1739209686.0504265;-38.13080360867914
1739209686.0504348;-45.120503652039325
1739209686.050443;-45.120503652039325
1739209686.0504513;-38.13080360867914
1739209686.0504596;-38.13080360867914
1739209686.050468;-38.13080360867914
1739209686.0504763;-33.981070128970906
1739209686.0504847;-32.816014438256545
1739209686.050493;-38.13080360867914
1739209686.050501;-45.120503652039325
1739209686.0505095;-45.120503652039325
1739209686.0505178;-38.13080360867914
1739209686.0505261;-45.120503652039325
1739209686.0505345;-33.981070128970906
1739209686.0505428;-28.992665084841942
1739209686.0505512;-45.120503652039325
1739209686.0505595;-45.120503652039325
1739209686.0505676;-38.13080360867914
1739209686.050576;-35.57807855764607
1739209686.0505843;-35.57807855764607
1739209686.0505927;-38.13080360867914
1739209686.050601;-35.57807855764607
1739209686.0506094;-32.816014438256545
1739209686.0506177;-38.13080360867914
1739209686.0506258;-45.120503652039325
1739209686.0506341;-38.13080360867914
1739209686.0506425;-38.13080360867914
1739209686.0506508;-38.13080360867914
1739209686.0506592;-45.120503652039325
1739209686.0506675;-38.13080360867914
1739209686.0506759;-32.816014438256545
1739209686.0506842;-35.57807855764607
1739209686.0506923;-38.13080360867914
1739209686.0507007;-45.120503652039325
1739209686.050709;-35.57807855764607
1739209686.0507174;-35.57807855764607
1739209686.0507257;-45.120503652039325
1739209686.050734;-38.13080360867914
1739209686.0507424;-38.13080360867914
1739209686.0507505;-35.57807855764607
1739209686.0507588;-38.13080360867914
1739209686.0507672;-45.120503652039325
1739209686.0507755;-35.57807855764607
1739209686.0507839;-38.13080360867914
1739209686.0507922;-45.120503652039325
1739209686.0508006;-38.13080360867914
1739209686.050809;-33.981070128970906
1739209686.050817;-45.120503652039325
1739209686.0508254;-38.13080360867914
1739209686.0508337;-38.13080360867914
1739209686.050842;-38.13080360867914
1739209686.0508504;-45.120503652039325
1739209686.0540345;-45.120503652039325
1739209686.0540347;-38.13080360867914
1739209686.054035;-38.13080360867914
1739209686.0540352;-45.120503652039325
1739209686.0540354;-38.13080360867914
1739209686.054036;-45.120503652039325
1739209686.0540361;-45.120503652039325
1739209686.0540364;-45.120503652039325
1739209686.0540366;-38.13080360867914
1739209686.0540369;-38.13080360867914
1739209686.054037;-45.120503652039325
1739209686.0540373;-35.57807855764607
1739209686.0540376;-45.120503652039325
1739209686.0540378;-30.49652367304973
1739209686.054038;-32.816014438256545
1739209686.0540383;-45.120503652039325
1739209686.0540388;-45.120503652039325
1739209686.054039;-35.57807855764607
1739209686.0540392;-38.13080360867914
1739209686.0540395;-45.120503652039325
1739209686.0540397;-38.13080360867914
1739209686.05404;-38.13080360867914
1739209686.0540402;-38.13080360867914
1739209686.0540404;-28.58837851428586
