CAN Message; 0x1a7:000085cbe9f10634
Timestamp;Amplitude
1739209786.5277479;-38.13080360867914
1739209786.5277514;-38.13080360867914
1739209786.5277548;-38.13080360867914
1739209786.5277584;-38.13080360867914
1739209786.527762;-38.13080360867914
1739209786.5277655;-35.57807855764607
1739209786.527769;-38.13080360867914
1739209786.5277724;-45.120503652039325
1739209786.527776;-45.120503652039325
1739209786.5277796;-45.120503652039325
1739209786.5277832;-38.13080360867914
1739209786.5277865;-45.120503652039325
1739209786.52779;-38.13080360867914
1739209786.5277936;-35.57807855764607
1739209786.5277972;-38.13080360867914
1739209786.5278006;-38.13080360867914
1739209786.5278041;-38.13080360867914
1739209786.5278077;-38.13080360867914
1739209786.5278113;-31.141103565318915
1739209786.5278149;-33.981070128970906
1739209786.5278182;-45.120503652039325
1739209786.5278218;-35.57807855764607
1739209786.5278254;-35.57807855764607
1739209786.527829;-45.120503652039325
1739209786.5278323;-45.120503652039325
1739209786.5278358;-32.816014438256545
1739209786.5278394;-33.981070128970906
1739209786.527843;-35.57807855764607
1739209786.5278463;-33.981070128970906
1739209786.52785;-35.57807855764607
1739209786.5278535;-33.981070128970906
1739209786.527857;-45.120503652039325
1739209786.5278606;-45.120503652039325
1739209786.527864;-35.57807855764607
1739209786.5278676;-35.57807855764607
1739209786.5278711;-45.120503652039325
1739209786.5278747;-45.120503652039325
1739209786.527878;-38.13080360867914
1739209786.5278816;-38.13080360867914
1739209786.5278852;-38.13080360867914
1739209786.5278888;-38.13080360867914
1739209786.527892;-38.13080360867914
1739209786.5278957;-38.13080360867914
1739209786.5278993;-45.120503652039325
1739209786.5279028;-45.120503652039325
1739209786.5279064;-38.13080360867914
1739209786.5279098;-38.13080360867914
1739209786.5279133;-45.120503652039325
1739209786.527917;-45.120503652039325
1739209786.5279205;-38.13080360867914
1739209786.5279238;-45.120503652039325
1739209786.5279274;-38.13080360867914
1739209786.527931;-38.13080360867914
1739209786.5279346;-45.120503652039325
1739209786.527938;-45.120503652039325
1739209786.5279415;-35.57807855764607
1739209786.527945;-38.13080360867914
1739209786.5279486;-45.120503652039325
1739209786.5279522;-38.13080360867914
1739209786.5279555;-38.13080360867914
1739209786.527959;-45.120503652039325
1739209786.5279627;-45.120503652039325
1739209786.5279663;-38.13080360867914
1739209786.5279696;-38.13080360867914
1739209786.5279732;-45.120503652039325
1739209786.5279768;-45.120503652039325
1739209786.5279803;-45.120503652039325
1739209786.5279837;-45.120503652039325
1739209786.5279872;-38.13080360867914
1739209786.5279908;-38.13080360867914
1739209786.5279944;-38.13080360867914
1739209786.527998;-32.816014438256545
1739209786.5280013;-38.13080360867914
1739209786.528005;-45.120503652039325
1739209786.5280085;-45.120503652039325
1739209786.528012;-38.13080360867914
1739209786.5280154;-38.13080360867914
1739209786.528019;-38.13080360867914
1739209786.5280225;-38.13080360867914
1739209786.528026;-45.120503652039325
1739209786.5280294;-35.57807855764607
1739209786.528033;-45.120503652039325
1739209786.5280366;-38.13080360867914
1739209786.5280402;-45.120503652039325
1739209786.5280437;-45.120503652039325
1739209786.528047;-45.120503652039325
1739209786.5280507;-45.120503652039325
1739209786.5280542;-33.981070128970906
1739209786.5280578;-45.120503652039325
1739209786.5280612;-45.120503652039325
1739209786.5280647;-38.13080360867914
1739209786.5280683;-35.57807855764607
1739209786.5280719;-33.981070128970906
1739209786.5280752;-45.120503652039325
1739209786.5280788;-45.120503652039325
1739209786.5280824;-45.120503652039325
1739209786.528086;-38.13080360867914
1739209786.5280895;-45.120503652039325
1739209786.5280929;-33.981070128970906
1739209786.5280964;-45.120503652039325
1739209786.5281;-45.120503652039325
1739209786.5281036;-38.13080360867914
1739209786.528107;-38.13080360867914
1739209786.5281105;-35.57807855764607
1739209786.528114;-38.13080360867914
1739209786.5281177;-35.57807855764607
1739209786.528121;-35.57807855764607
1739209786.5281246;-38.13080360867914
1739209786.5281281;-33.981070128970906
1739209786.5281317;-35.57807855764607
1739209786.5281353;-38.13080360867914
1739209786.5281386;-45.120503652039325
1739209786.5281422;-38.13080360867914
1739209786.5281458;-33.981070128970906
1739209786.5281494;-38.13080360867914
1739209786.5281527;-45.120503652039325
1739209786.5281563;-45.120503652039325
1739209786.5281599;-35.57807855764607
1739209786.5281634;-33.981070128970906
1739209786.5281668;-45.120503652039325
1739209786.5281703;-45.120503652039325
