CAN Message; 0x150:0500a55e2ebfa30b
Timestamp;Amplitude
1739209678.7918174;-45.120503652039325
1739209678.7918198;-35.57807855764607
1739209678.7918222;-38.13080360867914
1739209678.7918243;-45.120503652039325
1739209678.7918267;-38.13080360867914
1739209678.791829;-38.13080360867914
1739209678.7918313;-38.13080360867914
1739209678.7918336;-45.120503652039325
1739209678.791836;-45.120503652039325
1739209678.7918382;-45.120503652039325
1739209678.7918406;-45.120503652039325
1739209678.791843;-38.13080360867914
1739209678.791845;-31.141103565318915
1739209678.7918475;-45.120503652039325
1739209678.7918499;-45.120503652039325
1739209678.791852;-45.120503652039325
1739209678.7918544;-38.13080360867914
1739209678.7918568;-45.120503652039325
1739209678.791859;-45.120503652039325
1739209678.7918613;-45.120503652039325
1739209678.7918637;-35.57807855764607
1739209678.7918658;-38.13080360867914
1739209678.7918682;-45.120503652039325
1739209678.7918706;-45.120503652039325
1739209678.7918727;-45.120503652039325
1739209678.7918751;-38.13080360867914
1739209678.7918775;-45.120503652039325
1739209678.7918797;-38.13080360867914
1739209678.791882;-27.267205301931607
1739209678.7918844;-38.13080360867914
1739209678.7918866;-38.13080360867914
1739209678.791889;-38.13080360867914
1739209678.7918913;-33.981070128970906
1739209678.7918935;-33.981070128970906
1739209678.7918959;-38.13080360867914
1739209678.7918983;-45.120503652039325
1739209678.7919004;-32.816014438256545
1739209678.7919028;-33.981070128970906
1739209678.7919052;-33.981070128970906
1739209678.7919073;-45.120503652039325
1739209678.7919097;-38.13080360867914
1739209678.791912;-35.57807855764607
1739209678.7919142;-45.120503652039325
1739209678.7919166;-38.13080360867914
1739209678.791919;-45.120503652039325
1739209678.7919211;-38.13080360867914
1739209678.7919235;-38.13080360867914
1739209678.791926;-45.120503652039325
1739209678.791928;-38.13080360867914
1739209678.7919304;-35.57807855764607
1739209678.7919328;-38.13080360867914
1739209678.791935;-45.120503652039325
1739209678.7919374;-31.141103565318915
1739209678.7919397;-38.13080360867914
1739209678.791942;-31.141103565318915
1739209678.7919443;-45.120503652039325
1739209678.7919466;-38.13080360867914
1739209678.7919488;-35.57807855764607
1739209678.7919512;-38.13080360867914
1739209678.7919536;-45.120503652039325
1739209678.7919557;-31.141103565318915
1739209678.791958;-38.13080360867914
1739209678.7919605;-45.120503652039325
1739209678.7919626;-32.816014438256545
1739209678.791965;-45.120503652039325
1739209678.7919674;-45.120503652039325
1739209678.7919695;-45.120503652039325
1739209678.791972;-38.13080360867914
1739209678.7919743;-33.981070128970906
1739209678.7919765;-38.13080360867914
1739209678.7919788;-38.13080360867914
1739209678.7919812;-35.57807855764607
1739209678.7919834;-35.57807855764607
1739209678.7919858;-45.120503652039325
1739209678.7919881;-45.120503652039325
1739209678.7919903;-35.57807855764607
1739209678.7919927;-38.13080360867914
1739209678.791995;-38.13080360867914
1739209678.7919972;-45.120503652039325
1739209678.7919996;-45.120503652039325
1739209678.792002;-45.120503652039325
1739209678.792004;-35.57807855764607
1739209678.7920065;-38.13080360867914
1739209678.7920089;-45.120503652039325
1739209678.792011;-33.981070128970906
1739209678.7920134;-38.13080360867914
1739209678.7920158;-33.981070128970906
1739209678.792018;-38.13080360867914
1739209678.7920203;-38.13080360867914
1739209678.7920227;-45.120503652039325
1739209678.7920249;-33.981070128970906
1739209678.7920272;-45.120503652039325
1739209678.7920296;-45.120503652039325
1739209678.7920318;-45.120503652039325
1739209678.7920341;-38.13080360867914
1739209678.7920365;-35.57807855764607
1739209678.7920387;-38.13080360867914
1739209678.792041;-32.816014438256545
1739209678.7920434;-38.13080360867914
1739209678.7920456;-45.120503652039325
1739209678.792048;-38.13080360867914
1739209678.7920504;-38.13080360867914
1739209678.7920525;-45.120503652039325
1739209678.792055;-38.13080360867914
1739209678.7920573;-45.120503652039325
1739209678.7920594;-45.120503652039325
1739209678.7920618;-45.120503652039325
1739209678.7920642;-38.13080360867914
1739209678.7920663;-38.13080360867914
1739209678.7920687;-45.120503652039325
1739209678.792071;-45.120503652039325
1739209678.7920732;-35.57807855764607
1739209678.7920756;-35.57807855764607
1739209678.792078;-38.13080360867914
1739209678.7920802;-45.120503652039325
1739209678.7920825;-35.57807855764607
1739209678.792085;-33.981070128970906
1739209678.792087;-31.141103565318893
1739209678.7920895;-38.13080360867914
1739209678.7920918;-35.57807855764607
1739209678.792094;-38.13080360867914
1739209678.7920964;-38.13080360867914
1739209678.7920988;-45.120503652039325
1739209678.792101;-45.120503652039325
1739209678.7921033;-35.57807855764607
1739209678.7921057;-45.120503652039325
1739209678.7921078;-45.120503652039325
1739209678.7921102;-32.816014438256545
1739209678.7921126;-33.981070128970906
1739209678.7921147;-45.120503652039325
1739209678.792117;-45.120503652039325
1739209678.7921195;-35.57807855764607
1739209678.7921216;-38.13080360867914
1739209678.792124;-35.57807855764607
1739209678.7921264;-35.57807855764607
1739209678.7921286;-32.816014438256545
1739209678.792131;-33.981070128970906
1739209678.7921333;-35.57807855764607
1739209678.7921355;-38.13080360867914
1739209678.7921379;-45.120503652039325
1739209678.7921402;-38.13080360867914
1739209678.7921424;-38.13080360867914
1739209678.7921448;-45.120503652039325
1739209678.7921472;-35.57807855764607
