CAN Message; 0x77:19d1fb7de98000d3
Timestamp;Amplitude
1739209726.003355;-45.120503652039325
1739209726.0033643;-35.57807855764607
1739209726.0033734;-35.57807855764607
1739209726.0033824;-45.120503652039325
1739209726.0033917;-33.981070128970906
1739209726.0034008;-35.57807855764607
1739209726.0034099;-38.13080360867914
1739209726.0034192;-45.120503652039325
1739209726.0034282;-38.13080360867914
1739209726.0034373;-45.120503652039325
1739209726.0034466;-28.58837851428586
1739209726.0034556;-30.49652367304973
1739209726.0034647;-45.120503652039325
1739209726.003474;-38.13080360867914
1739209726.003483;-35.57807855764607
1739209726.003492;-38.13080360867914
1739209726.0035014;-45.120503652039325
1739209726.0035105;-35.57807855764607
1739209726.0035198;-38.13080360867914
1739209726.0035288;-45.120503652039325
1739209726.003538;-38.13080360867914
1739209726.0035472;-38.13080360867914
1739209726.0035563;-45.120503652039325
1739209726.0035653;-45.120503652039325
1739209726.0035746;-38.13080360867914
1739209726.0035837;-45.120503652039325
1739209726.0035927;-30.49652367304973
1739209726.003602;-32.816014438256545
1739209726.003611;-38.13080360867914
1739209726.0036201;-35.57807855764607
1739209726.0036294;-32.816014438256545
1739209726.0036385;-33.981070128970906
1739209726.0036478;-45.120503652039325
1739209726.0036569;-35.57807855764607
1739209726.003666;-45.120503652039325
1739209726.0036752;-45.120503652039325
1739209726.0036843;-38.13080360867914
1739209726.0036933;-38.13080360867914
1739209726.0037026;-45.120503652039325
1739209726.0037117;-45.120503652039325
1739209726.0037208;-38.13080360867914
1739209726.00373;-35.57807855764607
1739209726.003739;-38.13080360867914
1739209726.0037482;-38.13080360867914
1739209726.0037575;-45.120503652039325
1739209726.0037665;-45.120503652039325
1739209726.0037756;-38.13080360867914
1739209726.003785;-38.13080360867914
1739209726.003794;-38.13080360867914
1739209726.0038033;-45.120503652039325
1739209726.0038123;-38.13080360867914
1739209726.0038214;-31.141103565318893
1739209726.0038307;-45.120503652039325
1739209726.0038397;-45.120503652039325
1739209726.0038488;-38.13080360867914
1739209726.003858;-45.120503652039325
1739209726.0038671;-45.120503652039325
1739209726.0038762;-38.13080360867914
1739209726.0038855;-45.120503652039325
1739209726.0038946;-33.981070128970956
1739209726.0039036;-38.13080360867914
1739209726.003913;-38.13080360867914
1739209726.003922;-45.120503652039325
1739209726.003931;-45.120503652039325
1739209726.0039403;-45.120503652039325
1739209726.0039494;-45.120503652039325
1739209726.0039587;-33.981070128970906
1739209726.0039678;-26.991370085610736
1739209726.0039768;-38.13080360867914
1739209726.0039861;-45.120503652039325
1739209726.0039952;-38.13080360867914
1739209726.0040042;-32.816014438256545
1739209726.0040135;-45.120503652039325
1739209726.0040226;-45.120503652039325
1739209726.0040317;-38.13080360867914
1739209726.004041;-33.981070128970956
1739209726.00405;-45.120503652039325
1739209726.004059;-45.120503652039325
1739209726.0040684;-45.120503652039325
1739209726.0040774;-38.13080360867914
1739209726.0040867;-38.13080360867914
1739209726.0040958;-45.120503652039325
1739209726.0041049;-38.13080360867914
1739209726.0041142;-35.57807855764607
1739209726.0041232;-38.13080360867914
1739209726.0041323;-45.120503652039325
1739209726.0041416;-38.13080360867914
1739209726.0041506;-35.57807855764607
1739209726.0041597;-45.120503652039325
1739209726.004169;-45.120503652039325
1739209726.004178;-38.13080360867914
1739209726.004187;-35.57807855764607
1739209726.0041964;-38.13080360867914
1739209726.0042055;-45.120503652039325
1739209726.0042145;-45.120503652039325
1739209726.0042238;-35.57807855764607
1739209726.004233;-38.13080360867914
1739209726.0042422;-45.120503652039325
1739209726.0042512;-45.120503652039325
