CAN Message; 0x24:0deb045ad871c455
Timestamp;Amplitude
1739209810.2548988;-45.120503652039325
1739209810.2549026;-38.13080360867914
1739209810.2549062;-38.13080360867914
1739209810.25491;-38.13080360867914
1739209810.2549136;-45.120503652039325
1739209810.2549171;-45.120503652039325
1739209810.254921;-45.120503652039325
1739209810.2549245;-38.13080360867914
1739209810.254928;-38.13080360867914
1739209810.254932;-45.120503652039325
1739209810.2549355;-31.141103565318915
1739209810.2549393;-35.57807855764607
1739209810.254943;-45.120503652039325
1739209810.2549465;-38.13080360867914
1739209810.2549503;-45.120503652039325
1739209810.2549539;-45.120503652039325
1739209810.2549577;-38.13080360867914
1739209810.2549613;-45.120503652039325
1739209810.2549648;-45.120503652039325
1739209810.2549686;-38.13080360867914
1739209810.2549722;-45.120503652039325
1739209810.2549758;-45.120503652039325
1739209810.2549796;-35.57807855764607
1739209810.2549832;-33.981070128970906
1739209810.254987;-33.981070128970906
1739209810.2549906;-38.13080360867914
1739209810.2549942;-45.120503652039325
1739209810.254998;-45.120503652039325
1739209810.2550015;-38.13080360867914
1739209810.2550054;-38.13080360867914
1739209810.255009;-45.120503652039325
1739209810.2550125;-45.120503652039325
1739209810.2550163;-38.13080360867914
1739209810.25502;-32.816014438256545
1739209810.2550237;-38.13080360867914
1739209810.2550273;-38.13080360867914
1739209810.2550309;-38.13080360867914
1739209810.2550347;-45.120503652039325
1739209810.2550383;-45.120503652039325
1739209810.2550418;-38.13080360867914
1739209810.2550457;-33.981070128970906
1739209810.2550492;-38.13080360867914
1739209810.255053;-38.13080360867914
1739209810.2550566;-45.120503652039325
1739209810.2550602;-45.120503652039325
1739209810.255064;-45.120503652039325
1739209810.2550676;-38.13080360867914
1739209810.2550714;-38.13080360867914
1739209810.255075;-38.13080360867914
1739209810.2550786;-38.13080360867914
1739209810.2550824;-45.120503652039325
1739209810.255086;-45.120503652039325
1739209810.2550898;-33.981070128970906
1739209810.2550933;-45.120503652039325
1739209810.255097;-45.120503652039325
1739209810.2551007;-45.120503652039325
1739209810.2551043;-38.13080360867914
1739209810.2551079;-38.13080360867914
1739209810.2551117;-35.57807855764607
1739209810.2551153;-35.57807855764607
1739209810.255119;-38.13080360867914
1739209810.2551227;-35.57807855764607
1739209810.2551262;-38.13080360867914
1739209810.25513;-28.992665084841942
1739209810.2551336;-33.981070128970906
1739209810.2551374;-38.13080360867914
1739209810.255141;-38.13080360867914
1739209810.2551446;-38.13080360867914
1739209810.2551484;-38.13080360867914
1739209810.255152;-45.120503652039325
1739209810.2551558;-38.13080360867914
1739209810.2551594;-38.13080360867914
1739209810.255163;-38.13080360867914
1739209810.2551668;-45.120503652039325
1739209810.2551703;-45.120503652039325
1739209810.255174;-38.13080360867914
1739209810.2551777;-38.13080360867914
1739209810.2551813;-35.57807855764607
1739209810.2551851;-35.57807855764607
1739209810.2551887;-45.120503652039325
1739209810.2551923;-38.13080360867914
1739209810.255196;-35.57807855764607
1739209810.2551997;-38.13080360867914
1739209810.2552035;-45.120503652039325
1739209810.255207;-38.13080360867914
1739209810.2552106;-33.981070128970906
1739209810.2552145;-45.120503652039325
1739209810.255218;-31.141103565318915
1739209810.2552218;-31.141103565318915
1739209810.2552254;-35.57807855764607
1739209810.255229;-45.120503652039325
1739209810.2552328;-45.120503652039325
1739209810.2552364;-35.57807855764607
1739209810.25524;-35.57807855764607
1739209810.2552438;-38.13080360867914
1739209810.2552474;-32.81601443825658
1739209810.2552512;-32.816014438256545
1739209810.2552547;-38.13080360867914
1739209810.2552583;-45.120503652039325
1739209810.2552621;-38.13080360867914
1739209810.2552657;-45.120503652039325
1739209810.2552695;-45.120503652039325
1739209810.255273;-45.120503652039325
1739209810.2552767;-45.120503652039325
1739209810.2552805;-38.13080360867914
1739209810.255284;-35.57807855764607
1739209810.255288;-45.120503652039325
1739209810.2552915;-45.120503652039325
