CAN Message; 0x24:054799c05992e3d6
Timestamp;Amplitude
1739209644.8300233;-32.816014438256545
1739209644.8300254;-45.120503652039325
1739209644.8300276;-29.438486411369333
1739209644.8300297;-35.57807855764607
1739209644.8300319;-38.13080360867914
1739209644.830034;-45.120503652039325
1739209644.8300362;-45.120503652039325
1739209644.8300385;-45.120503652039325
1739209644.8300407;-45.120503652039325
1739209644.8300428;-35.57807855764607
1739209644.830045;-45.120503652039325
1739209644.8300471;-45.120503652039325
1739209644.8300493;-38.13080360867914
1739209644.8300514;-45.120503652039325
1739209644.8300536;-45.120503652039325
1739209644.8300557;-45.120503652039325
1739209644.830058;-45.120503652039325
1739209644.8300602;-45.120503652039325
1739209644.8300624;-45.120503652039325
1739209644.8300645;-45.120503652039325
1739209644.8300667;-38.13080360867914
1739209644.8300688;-45.120503652039325
1739209644.830071;-45.120503652039325
1739209644.830073;-45.120503652039325
1739209644.8300753;-32.816014438256545
1739209644.8300776;-45.120503652039325
1739209644.8300798;-32.816014438256545
1739209644.830082;-30.49652367304973
1739209644.830084;-45.120503652039325
1739209644.8300862;-45.120503652039325
1739209644.8300884;-45.120503652039325
1739209644.8300905;-38.13080360867914
1739209644.8300927;-38.13080360867914
1739209644.8300948;-31.141103565318915
1739209644.8300972;-45.120503652039325
1739209644.8300993;-38.13080360867914
1739209644.8301015;-35.57807855764607
1739209644.8301036;-38.13080360867914
1739209644.8301058;-45.120503652039325
1739209644.830108;-45.120503652039325
1739209644.83011;-38.13080360867914
1739209644.8301122;-38.13080360867914
1739209644.8301144;-38.13080360867914
1739209644.8301167;-38.13080360867914
1739209644.830119;-38.13080360867914
1739209644.830121;-45.120503652039325
1739209644.8301232;-45.120503652039325
1739209644.8301253;-45.120503652039325
1739209644.8301275;-35.57807855764607
1739209644.8301296;-33.981070128970906
1739209644.8301318;-45.120503652039325
1739209644.830134;-45.120503652039325
1739209644.8301363;-35.57807855764607
1739209644.8301384;-38.13080360867914
1739209644.8301406;-38.13080360867914
1739209644.8301427;-35.57807855764607
1739209644.830145;-38.13080360867914
1739209644.830147;-38.13080360867914
1739209644.8301492;-45.120503652039325
1739209644.8301513;-45.120503652039325
1739209644.8301535;-45.120503652039325
1739209644.8301558;-33.981070128970906
1739209644.830158;-45.120503652039325
