CAN Message; 0x1a7:00009554a4dcd93b
Timestamp;Amplitude
1739209828.691531;-45.120503652039325
1739209828.6915386;-45.120503652039325
1739209828.6915462;-38.13080360867914
1739209828.6915536;-38.13080360867914
1739209828.6915612;-45.120503652039325
1739209828.6915689;-38.13080360867914
1739209828.6915762;-33.981070128970906
1739209828.6915839;-38.13080360867914
1739209828.6915915;-45.120503652039325
1739209828.691599;-38.13080360867914
1739209828.6916065;-38.13080360867914
1739209828.6916142;-38.13080360867914
1739209828.6916218;-45.120503652039325
1739209828.6916292;-38.13080360867914
1739209828.6916368;-38.13080360867914
1739209828.6916444;-45.120503652039325
1739209828.6916518;-45.120503652039325
1739209828.6916595;-45.120503652039325
1739209828.691667;-45.120503652039325
1739209828.6916745;-38.13080360867914
1739209828.691682;-38.13080360867914
1739209828.6916897;-45.120503652039325
1739209828.6916971;-45.120503652039325
1739209828.6917048;-38.13080360867914
1739209828.6917124;-38.13080360867914
1739209828.6917198;-45.120503652039325
1739209828.6917274;-33.981070128970906
1739209828.691735;-45.120503652039325
1739209828.6917424;-45.120503652039325
1739209828.69175;-45.120503652039325
1739209828.6917577;-45.120503652039325
1739209828.691765;-38.13080360867914
1739209828.6917727;-38.13080360867914
1739209828.6917803;-38.13080360867914
1739209828.691788;-38.13080360867914
1739209828.6917953;-45.120503652039325
1739209828.691803;-38.13080360867914
1739209828.6918106;-38.13080360867914
1739209828.691818;-45.120503652039325
1739209828.6918256;-38.13080360867914
1739209828.6918333;-38.13080360867914
1739209828.6918406;-45.120503652039325
1739209828.6918483;-45.120503652039325
1739209828.691856;-45.120503652039325
1739209828.6918633;-45.120503652039325
1739209828.691871;-45.120503652039325
1739209828.6918786;-33.981070128970906
1739209828.691886;-45.120503652039325
1739209828.6918936;-38.13080360867914
1739209828.6919012;-31.141103565318915
1739209828.6919086;-38.13080360867914
1739209828.6919162;-45.120503652039325
1739209828.6919239;-33.981070128970906
1739209828.6919315;-33.981070128970906
1739209828.6919389;-31.14110356531892
1739209828.6919465;-38.13080360867914
1739209828.6919541;-38.13080360867914
1739209828.6919615;-38.13080360867914
1739209828.6919692;-45.120503652039325
1739209828.6919768;-38.13080360867914
1739209828.6919842;-38.13080360867914
1739209828.6919918;-38.13080360867914
1739209828.6919994;-27.267205301931607
1739209828.6920068;-38.13080360867914
1739209828.6920145;-45.120503652039325
1739209828.692022;-45.120503652039325
1739209828.6920295;-35.57807855764607
1739209828.692037;-38.13080360867914
1739209828.6920447;-38.13080360867914
1739209828.6920521;-45.120503652039325
1739209828.6920598;-45.120503652039325
1739209828.6920674;-38.13080360867914
1739209828.6920748;-45.120503652039325
1739209828.6920824;-45.120503652039325
1739209828.69209;-45.120503652039325
1739209828.6920977;-38.13080360867914
1739209828.692105;-45.120503652039325
1739209828.6921127;-45.120503652039325
1739209828.6921203;-33.981070128970906
1739209828.6921277;-38.13080360867914
1739209828.6921353;-45.120503652039325
1739209828.692143;-45.120503652039325
1739209828.6921504;-35.57807855764607
1739209828.692158;-38.13080360867914
1739209828.6921656;-45.120503652039325
1739209828.692173;-45.120503652039325
1739209828.6921806;-33.981070128970906
