CAN Message; 0x1a7:0000045c1fd8a93d
Timestamp;Amplitude
1739209848.848226;-35.57807855764607
1739209848.8482282;-38.13080360867914
1739209848.8482301;-45.120503652039325
1739209848.8482323;-45.120503652039325
1739209848.8482344;-45.120503652039325
1739209848.8482363;-38.13080360867914
1739209848.8482385;-45.120503652039325
1739209848.8482406;-45.120503652039325
1739209848.8482425;-45.120503652039325
1739209848.8482447;-45.120503652039325
1739209848.8482468;-45.120503652039325
1739209848.8482487;-45.120503652039325
1739209848.8482509;-38.13080360867914
1739209848.848253;-38.13080360867914
1739209848.848255;-45.120503652039325
1739209848.848257;-38.13080360867914
1739209848.8482592;-45.120503652039325
1739209848.848261;-38.13080360867914
1739209848.8482633;-30.49652367304973
1739209848.8482654;-45.120503652039325
1739209848.8482673;-45.120503652039325
1739209848.8482695;-38.13080360867914
1739209848.8482716;-32.816014438256545
1739209848.8482735;-38.13080360867914
1739209848.8482757;-45.120503652039325
1739209848.8482778;-45.120503652039325
1739209848.8482797;-45.120503652039325
1739209848.8482819;-38.13080360867914
1739209848.848284;-45.120503652039325
1739209848.848286;-45.120503652039325
1739209848.848288;-45.120503652039325
1739209848.8482902;-38.13080360867914
1739209848.848292;-45.120503652039325
1739209848.8482943;-38.13080360867914
1739209848.8482964;-35.57807855764607
1739209848.8482983;-38.13080360867914
1739209848.8483005;-45.120503652039325
1739209848.8483026;-38.13080360867914
1739209848.8483045;-32.816014438256545
1739209848.8483067;-35.57807855764607
1739209848.8483088;-45.120503652039325
1739209848.8483107;-45.120503652039325
1739209848.8483129;-31.141103565318893
1739209848.848315;-45.120503652039325
1739209848.8483171;-45.120503652039325
1739209848.848319;-45.120503652039325
1739209848.8483212;-45.120503652039325
1739209848.8483233;-45.120503652039325
1739209848.8483253;-45.120503652039325
1739209848.8483274;-45.120503652039325
1739209848.8483295;-38.13080360867914
1739209848.8483315;-45.120503652039325
1739209848.8483336;-45.120503652039325
1739209848.8483357;-45.120503652039325
1739209848.8483377;-45.120503652039325
1739209848.8483398;-45.120503652039325
