CAN Message; 0x1bb:00006f54a8fc900e
Timestamp;Amplitude
1739209717.813972;-35.57807855764607
1739209717.813976;-38.13080360867914
1739209717.81398;-38.13080360867914
1739209717.8139842;-38.13080360867914
1739209717.8139882;-35.57807855764607
1739209717.813992;-45.120503652039325
1739209717.813996;-45.120503652039325
1739209717.8140001;-38.13080360867914
1739209717.8140042;-35.57807855764607
1739209717.8140082;-45.120503652039325
1739209717.8140123;-38.13080360867914
1739209717.8140163;-35.57807855764607
1739209717.8140202;-35.57807855764607
1739209717.8140242;-38.13080360867914
1739209717.8140283;-45.120503652039325
1739209717.8140323;-38.13080360867914
1739209717.8140364;-35.57807855764607
1739209717.8140404;-38.13080360867914
1739209717.8140445;-45.120503652039325
1739209717.8140483;-45.120503652039325
1739209717.8140523;-38.13080360867914
1739209717.8140564;-38.13080360867914
1739209717.8140604;-38.13080360867914
1739209717.8140645;-35.57807855764607
1739209717.8140686;-38.13080360867914
1739209717.8140724;-45.120503652039325
1739209717.8140764;-38.13080360867914
1739209717.8140805;-33.981070128970906
1739209717.8140845;-38.13080360867914
1739209717.8140886;-38.13080360867914
1739209717.8140926;-45.120503652039325
1739209717.8140967;-45.120503652039325
1739209717.8141005;-38.13080360867914
1739209717.8141046;-45.120503652039325
1739209717.8141086;-38.13080360867914
1739209717.8141127;-38.13080360867914
1739209717.8141167;-38.13080360867914
1739209717.8141208;-38.13080360867914
1739209717.8141248;-45.120503652039325
1739209717.8141286;-38.13080360867914
1739209717.8141327;-45.120503652039325
1739209717.8141367;-45.120503652039325
1739209717.8141408;-38.13080360867914
1739209717.8141448;-35.57807855764607
1739209717.814149;-45.120503652039325
1739209717.814153;-35.57807855764607
1739209717.8141568;-35.57807855764607
1739209717.8141608;-45.120503652039325
1739209717.8141649;-45.120503652039325
1739209717.814169;-45.120503652039325
1739209717.814173;-38.13080360867914
1739209717.814177;-38.13080360867914
1739209717.814181;-45.120503652039325
1739209717.814185;-45.120503652039325
1739209717.814189;-35.57807855764607
1739209717.814193;-45.120503652039325
1739209717.814197;-45.120503652039325
1739209717.814201;-45.120503652039325
1739209717.8142052;-45.120503652039325
1739209717.8142092;-45.120503652039325
1739209717.814213;-45.120503652039325
1739209717.814217;-38.13080360867914
1739209717.8142211;-38.13080360867914
1739209717.8142252;-32.816014438256545
1739209717.8142292;-33.981070128970906
1739209717.8142333;-45.120503652039325
1739209717.8142374;-45.120503652039325
1739209717.8142412;-38.13080360867914
1739209717.8142452;-38.13080360867914
1739209717.8142493;-45.120503652039325
1739209717.8142533;-38.13080360867914
1739209717.8142574;-45.120503652039325
1739209717.8142614;-45.120503652039325
1739209717.8142655;-45.120503652039325
1739209717.8142693;-45.120503652039325
1739209717.8142734;-33.981070128970906
1739209717.8142774;-45.120503652039325
1739209717.8142815;-45.120503652039325
1739209717.8142855;-33.981070128970906
1739209717.8142896;-45.120503652039325
1739209717.8142934;-45.120503652039325
1739209717.8142974;-38.13080360867914
1739209717.8143015;-38.13080360867914
1739209717.8143055;-45.120503652039325
1739209717.8143096;-38.13080360867914
1739209717.8143137;-35.57807855764607
1739209717.8143177;-45.120503652039325
1739209717.8143215;-32.816014438256545
1739209717.8143256;-31.141103565318915
