CAN Message; 0x150:0000a4ea39d64581
Timestamp;Amplitude
1739209818.9920611;-45.120503652039325
1739209818.9920692;-35.57807855764607
1739209818.9920774;-45.120503652039325
1739209818.9920855;-45.120503652039325
1739209818.9920936;-45.120503652039325
1739209818.9921017;-45.120503652039325
1739209818.9921098;-45.120503652039325
1739209818.992118;-45.120503652039325
1739209818.992126;-45.120503652039325
1739209818.992134;-45.120503652039325
1739209818.9921422;-35.57807855764607
1739209818.9921503;-35.57807855764607
1739209818.9921584;-45.120503652039325
1739209818.9921665;-35.57807855764607
1739209818.9921744;-35.57807855764607
1739209818.9921825;-35.57807855764607
1739209818.9921906;-45.120503652039325
1739209818.9921987;-38.13080360867914
1739209818.9922068;-38.13080360867914
1739209818.992215;-45.120503652039325
1739209818.992223;-38.13080360867914
1739209818.9922311;-38.13080360867914
1739209818.9922392;-45.120503652039325
1739209818.9922473;-45.120503652039325
1739209818.9922554;-38.13080360867914
1739209818.9922636;-38.13080360867914
1739209818.9922717;-45.120503652039325
1739209818.9922798;-38.13080360867914
1739209818.9922879;-38.13080360867914
1739209818.992296;-45.120503652039325
1739209818.9923038;-38.13080360867914
1739209818.992312;-38.13080360867914
1739209818.99232;-38.13080360867914
1739209818.9923282;-45.120503652039325
1739209818.9923363;-30.49652367304973
1739209818.9923444;-31.141103565318893
1739209818.9923525;-45.120503652039325
1739209818.9923606;-38.13080360867914
1739209818.9923687;-38.13080360867914
1739209818.9923768;-35.57807855764607
1739209818.992385;-45.120503652039325
1739209818.992393;-38.13080360867914
1739209818.9924011;-45.120503652039325
1739209818.9924092;-33.981070128970956
1739209818.9924173;-38.13080360867914
1739209818.9924252;-45.120503652039325
1739209818.9924333;-38.13080360867914
1739209818.9924414;-35.57807855764607
1739209818.9924495;-38.13080360867914
1739209818.9924576;-45.120503652039325
1739209818.9924657;-32.816014438256545
1739209818.9924738;-31.141103565318893
1739209818.992482;-45.120503652039325
1739209818.99249;-38.13080360867914
1739209818.9924982;-35.57807855764607
1739209818.9925063;-32.816014438256545
1739209818.9925144;-45.120503652039325
1739209818.9925225;-33.981070128970906
1739209818.9925306;-45.120503652039325
1739209818.9925387;-45.120503652039325
1739209818.9925468;-38.13080360867914
1739209818.9925547;-38.13080360867914
1739209818.9925628;-45.120503652039325
1739209818.9925709;-45.120503652039325
1739209818.992579;-38.13080360867914
1739209818.992587;-38.13080360867914
1739209818.9925952;-38.13080360867914
1739209818.9926033;-45.120503652039325
1739209818.9926114;-33.981070128970906
1739209818.9926195;-38.13080360867914
1739209818.9926276;-45.120503652039325
1739209818.9926357;-45.120503652039325
1739209818.9926438;-35.57807855764607
1739209818.992652;-38.13080360867914
1739209818.99266;-38.13080360867914
1739209818.9926682;-35.57807855764607
1739209818.992676;-38.13080360867914
1739209818.9926841;-38.13080360867914
1739209818.9926922;-38.13080360867914
1739209818.9927003;-38.13080360867914
1739209818.9927084;-38.13080360867914
1739209818.9927166;-32.816014438256545
1739209818.9927247;-45.120503652039325
1739209818.9927328;-33.981070128970956
1739209818.9927409;-45.120503652039325
1739209818.992749;-45.120503652039325
1739209818.992757;-38.13080360867914
1739209818.9927652;-45.120503652039325
1739209818.9927733;-38.13080360867914
1739209818.9927814;-45.120503652039325
1739209818.9927895;-38.13080360867914
1739209818.9927976;-27.8777449560314
1739209818.9928055;-38.13080360867914
1739209818.9928136;-45.120503652039325
1739209818.9928217;-35.57807855764607
1739209818.9928298;-35.57807855764607
1739209818.992838;-45.120503652039325
1739209818.992846;-45.120503652039325
1739209818.992854;-38.13080360867914
1739209818.9928622;-45.120503652039325
1739209818.9928703;-45.120503652039325
1739209818.9928784;-45.120503652039325
1739209818.9928865;-45.120503652039325
1739209818.9928946;-38.13080360867914
1739209818.9929028;-33.981070128970906
1739209818.9929109;-38.13080360867914
1739209818.992919;-38.13080360867914
1739209818.9929268;-32.816014438256545
1739209818.992935;-45.120503652039325
1739209818.992943;-45.120503652039325
1739209818.9929512;-45.120503652039325
1739209818.9929593;-45.120503652039325
1739209818.9929674;-45.120503652039325
1739209818.9929755;-45.120503652039325
1739209818.9929836;-45.120503652039325
1739209818.9929917;-45.120503652039325
1739209818.9929998;-45.120503652039325
1739209818.993008;-45.120503652039325
1739209818.993016;-45.120503652039325
1739209818.993024;-38.13080360867914
1739209818.9930322;-45.120503652039325
1739209818.9930403;-45.120503652039325
1739209818.9930484;-38.13080360867914
1739209818.9930563;-45.120503652039325
1739209818.9930644;-45.120503652039325
1739209818.9930725;-45.120503652039325
1739209818.9930806;-38.13080360867914
1739209818.9930887;-45.120503652039325
1739209818.9930968;-45.120503652039325
1739209818.993105;-38.13080360867914
1739209818.993113;-45.120503652039325
1739209818.9931211;-31.141103565318915
1739209818.9931293;-32.816014438256545
1739209818.9931374;-38.13080360867914
1739209818.9931455;-38.13080360867914
1739209818.9931536;-30.49652367304973
1739209818.9931617;-38.13080360867914
1739209818.9931698;-38.13080360867914
1739209818.9931777;-38.13080360867914
1739209818.9931858;-45.120503652039325
1739209818.9931939;-45.120503652039325
1739209818.993202;-38.13080360867914
1739209818.99321;-38.13080360867914
1739209818.9932182;-45.120503652039325
1739209818.9932263;-38.13080360867914
1739209818.9932344;-35.57807855764607
1739209818.9932425;-45.120503652039325
1739209818.9932506;-45.120503652039325
1739209818.9932587;-33.981070128970906
1739209818.9932668;-38.13080360867914
1739209818.993275;-38.13080360867914
1739209818.993283;-38.13080360867914
1739209818.9932911;-35.57807855764607
1739209818.9932992;-38.13080360867914
1739209818.993307;-38.13080360867914
1739209818.9933152;-38.13080360867914
1739209818.9933233;-33.981070128970906
1739209818.9933314;-45.120503652039325
1739209818.9933395;-45.120503652039325
1739209818.9933476;-45.120503652039325
1739209818.9933558;-45.120503652039325
1739209818.9933639;-33.981070128970906
1739209818.993372;-45.120503652039325
1739209818.99338;-45.120503652039325
1739209818.9933882;-45.120503652039325
1739209818.9933963;-38.13080360867914
1739209818.9934044;-38.13080360867914
1739209818.9934125;-45.120503652039325
1739209818.9934206;-33.981070128970906
1739209818.9934285;-38.13080360867914
1739209818.9934366;-38.13080360867914
1739209818.9934447;-38.13080360867914
1739209818.9934528;-38.13080360867914
1739209818.993461;-45.120503652039325
1739209818.993469;-45.120503652039325
1739209818.993477;-38.13080360867914
1739209818.9934852;-38.13080360867914
1739209818.9934933;-38.13080360867914
1739209818.9935014;-35.57807855764607
1739209818.9935095;-38.13080360867914
1739209818.9935176;-45.120503652039325
1739209818.9935257;-45.120503652039325
1739209818.9935338;-45.120503652039325
1739209818.993542;-45.120503652039325
1739209818.99355;-38.13080360867914
1739209818.993558;-45.120503652039325
1739209818.993566;-38.13080360867914
1739209818.9935741;-33.981070128970906
1739209818.9935822;-32.816014438256545
1739209818.9935904;-38.13080360867914
1739209818.9935985;-38.13080360867914
1739209818.9936066;-38.13080360867914
1739209818.9936147;-38.13080360867914
1739209818.9936228;-45.120503652039325
1739209818.993631;-45.120503652039325
1739209818.993639;-33.981070128970906
1739209818.993647;-45.120503652039325
1739209818.9936552;-38.13080360867914
1739209818.9936633;-38.13080360867914
1739209818.9936714;-45.120503652039325
1739209818.9936793;-45.120503652039325
1739209818.9936874;-45.120503652039325
1739209818.9936955;-45.120503652039325
1739209818.9937036;-45.120503652039325
1739209818.9937117;-45.120503652039325
1739209818.9937198;-38.13080360867914
1739209818.993728;-35.57807855764607
1739209818.993736;-45.120503652039325
1739209818.9937441;-35.57807855764607
1739209818.9937522;-35.57807855764607
1739209818.9937603;-45.120503652039325
1739209818.9937685;-45.120503652039325
1739209818.9937766;-38.13080360867914
1739209818.9937847;-35.57807855764607
1739209818.9937928;-38.13080360867914
1739209818.9938009;-45.120503652039325
1739209818.9938087;-45.120503652039325
1739209818.9938169;-38.13080360867914
1739209818.993825;-45.120503652039325
1739209818.993833;-38.13080360867914
1739209818.9938412;-45.120503652039325
1739209818.9938493;-45.120503652039325
1739209818.9938574;-38.13080360867914
1739209818.9938655;-45.120503652039325
1739209818.9938736;-33.981070128970906
1739209818.9938817;-35.57807855764607
1739209818.9938898;-45.120503652039325
1739209818.993898;-45.120503652039325
1739209818.993906;-31.141103565318915
1739209818.9939141;-29.438486411369333
1739209818.9939222;-38.13080360867914
1739209818.99393;-38.13080360867914
1739209818.9939382;-38.13080360867914
1739209818.9939463;-38.13080360867914
1739209818.9939544;-45.120503652039325
1739209818.9939625;-45.120503652039325
1739209818.9939706;-45.120503652039325
1739209818.9939787;-33.981070128970956
1739209818.9939868;-45.120503652039325
1739209818.993995;-38.13080360867914
