CAN Message; 0x1bb:0000f8090f41031c
Timestamp;Amplitude
1739209741.179997;-45.120503652039325
1739209741.1799982;-45.120503652039325
1739209741.1799994;-38.13080360867914
1739209741.1800008;-38.13080360867914
1739209741.180002;-38.13080360867914
1739209741.1800034;-38.13080360867914
1739209741.1800046;-45.120503652039325
1739209741.1800058;-38.13080360867914
1739209741.1800072;-38.13080360867914
1739209741.1800084;-38.13080360867914
1739209741.1800096;-45.120503652039325
1739209741.180011;-31.141103565318915
1739209741.1800122;-27.877744956031414
1739209741.1800134;-38.13080360867914
1739209741.1800148;-38.13080360867914
1739209741.180016;-45.120503652039325
1739209741.1800175;-45.120503652039325
1739209741.1800187;-45.120503652039325
1739209741.1800199;-45.120503652039325
1739209741.1800213;-35.57807855764607
1739209741.1800225;-31.141103565318915
1739209741.1800237;-38.13080360867914
1739209741.180025;-38.13080360867914
1739209741.1800263;-35.57807855764607
1739209741.1800275;-38.13080360867914
1739209741.180029;-45.120503652039325
1739209741.18003;-38.13080360867914
1739209741.1800315;-38.13080360867914
1739209741.1800327;-31.14110356531892
1739209741.180034;-45.120503652039325
1739209741.1800354;-45.120503652039325
1739209741.1800365;-35.57807855764607
1739209741.1800377;-38.13080360867914
1739209741.1800392;-33.981070128970906
1739209741.1800404;-45.120503652039325
1739209741.1800416;-45.120503652039325
1739209741.180043;-28.992665084841942
1739209741.1800442;-38.13080360867914
1739209741.1800454;-45.120503652039325
1739209741.1800468;-38.13080360867914
1739209741.180048;-45.120503652039325
1739209741.1800494;-45.120503652039325
1739209741.1800506;-38.13080360867914
1739209741.1800518;-38.13080360867914
1739209741.1800532;-45.120503652039325
1739209741.1800544;-45.120503652039325
1739209741.1800556;-45.120503652039325
1739209741.180057;-45.120503652039325
1739209741.1800582;-45.120503652039325
1739209741.1800594;-38.13080360867914
1739209741.1800609;-38.13080360867914
1739209741.180062;-38.13080360867914
1739209741.1800635;-38.13080360867914
1739209741.1800647;-35.57807855764607
1739209741.1800659;-38.13080360867914
1739209741.1800673;-38.13080360867914
1739209741.1800685;-45.120503652039325
1739209741.1800697;-45.120503652039325
1739209741.180071;-45.120503652039325
1739209741.1800723;-45.120503652039325
1739209741.1800735;-35.57807855764607
1739209741.180075;-45.120503652039325
1739209741.1800761;-38.13080360867914
1739209741.1800776;-38.13080360867914
1739209741.1800787;-33.981070128970906
1739209741.18008;-45.120503652039325
1739209741.1800814;-38.13080360867914
1739209741.1800826;-38.13080360867914
1739209741.1800838;-45.120503652039325
1739209741.1800852;-38.13080360867914
1739209741.1800864;-45.120503652039325
1739209741.1800876;-45.120503652039325
