CAN Message; 0x1a7:00001b0c22d0b5b9
Timestamp;Amplitude
1739209781.1990867;-45.120503652039325
1739209781.1990907;-38.13080360867914
1739209781.1990948;-45.120503652039325
1739209781.1990988;-45.120503652039325
1739209781.1991029;-45.120503652039325
1739209781.199107;-45.120503652039325
1739209781.199111;-45.120503652039325
1739209781.199115;-31.141103565318893
1739209781.199119;-30.49652367304973
1739209781.1991234;-45.120503652039325
1739209781.1991274;-38.13080360867914
1739209781.1991315;-35.57807855764607
1739209781.1991355;-35.57807855764607
1739209781.1991396;-45.120503652039325
1739209781.1991436;-45.120503652039325
1739209781.1991477;-45.120503652039325
1739209781.1991518;-45.120503652039325
1739209781.1991558;-45.120503652039325
1739209781.1991599;-38.13080360867914
1739209781.199164;-38.13080360867914
1739209781.199168;-38.13080360867914
1739209781.199172;-45.120503652039325
1739209781.199176;-38.13080360867914
1739209781.1991801;-38.13080360867914
1739209781.1991842;-38.13080360867914
1739209781.1991882;-45.120503652039325
1739209781.1991923;-45.120503652039325
1739209781.1991963;-38.13080360867914
1739209781.1992004;-45.120503652039325
1739209781.1992044;-45.120503652039325
1739209781.1992085;-38.13080360867914
1739209781.1992126;-35.57807855764607
1739209781.1992166;-27.267205301931607
1739209781.1992207;-45.120503652039325
1739209781.199225;-38.13080360867914
1739209781.199229;-35.57807855764607
1739209781.199233;-33.981070128970906
1739209781.199237;-45.120503652039325
1739209781.1992412;-45.120503652039325
1739209781.1992452;-45.120503652039325
1739209781.1992493;-38.13080360867914
1739209781.1992533;-45.120503652039325
1739209781.1992574;-45.120503652039325
1739209781.1992614;-38.13080360867914
1739209781.1992655;-45.120503652039325
1739209781.1992695;-45.120503652039325
1739209781.1992736;-45.120503652039325
1739209781.1992776;-38.13080360867914
1739209781.1992817;-31.141103565318915
1739209781.1992857;-38.13080360867914
1739209781.1992898;-38.13080360867914
1739209781.1992939;-45.120503652039325
1739209781.199298;-38.13080360867914
1739209781.199302;-38.13080360867914
1739209781.199306;-45.120503652039325
1739209781.19931;-45.120503652039325
1739209781.199314;-45.120503652039325
1739209781.1993182;-45.120503652039325
1739209781.1993225;-38.13080360867914
1739209781.1993265;-45.120503652039325
1739209781.1993306;-38.13080360867914
