CAN Message; 0x1a7:0000f0a329d4fc7c
Timestamp;Amplitude
1739209705.7553492;-35.57807855764607
1739209705.7553601;-45.120503652039325
1739209705.7553713;-35.57807855764607
1739209705.7553823;-45.120503652039325
1739209705.7553933;-38.13080360867914
1739209705.7554042;-38.13080360867914
1739209705.7554154;-45.120503652039325
1739209705.7554264;-45.120503652039325
1739209705.7554374;-45.120503652039325
1739209705.7554483;-33.981070128970906
1739209705.7554595;-38.13080360867914
1739209705.7554705;-38.13080360867914
1739209705.7554815;-33.981070128970906
1739209705.7554924;-45.120503652039325
1739209705.7555037;-38.13080360867914
1739209705.7555146;-38.13080360867914
1739209705.7555256;-38.13080360867914
1739209705.7555366;-38.13080360867914
1739209705.7555478;-45.120503652039325
1739209705.7555587;-38.13080360867914
1739209705.7555697;-38.13080360867914
1739209705.7555807;-35.57807855764607
1739209705.7555916;-38.13080360867914
1739209705.7556028;-38.13080360867914
1739209705.7556138;-35.57807855764607
1739209705.7556248;-31.141103565318915
1739209705.7556357;-38.13080360867914
1739209705.755647;-45.120503652039325
1739209705.755658;-45.120503652039325
1739209705.7556689;-45.120503652039325
1739209705.7556798;-45.120503652039325
1739209705.755691;-45.120503652039325
1739209705.755702;-45.120503652039325
1739209705.755713;-45.120503652039325
1739209705.755724;-45.120503652039325
1739209705.7557352;-38.13080360867914
1739209705.7557461;-38.13080360867914
1739209705.755757;-35.57807855764607
1739209705.755768;-38.13080360867914
1739209705.7557793;-45.120503652039325
1739209705.7557902;-38.13080360867914
1739209705.7558012;-38.13080360867914
1739209705.7558122;-45.120503652039325
1739209705.7558234;-45.120503652039325
1739209705.7558343;-45.120503652039325
1739209705.7558453;-35.57807855764607
1739209705.7558563;-38.13080360867914
1739209705.7558675;-45.120503652039325
1739209705.7558784;-38.13080360867914
1739209705.7558894;-38.13080360867914
1739209705.7559004;-45.120503652039325
1739209705.7559116;-45.120503652039325
1739209705.7559226;-45.120503652039325
1739209705.7559335;-45.120503652039325
1739209705.7559445;-45.120503652039325
1739209705.7559557;-38.13080360867914
1739209705.7559667;-38.13080360867914
1739209705.7559776;-45.120503652039325
1739209705.7559886;-38.13080360867914
1739209705.7559998;-35.57807855764607
1739209705.7560108;-38.13080360867914
1739209705.7560217;-31.141103565318915
1739209705.7560327;-45.120503652039325
1739209705.7560437;-38.13080360867914
1739209705.7560549;-38.13080360867914
1739209705.7560658;-38.13080360867914
1739209705.7560768;-33.981070128970906
1739209705.7560878;-45.120503652039325
1739209705.756099;-45.120503652039325
1739209705.75611;-31.141103565318893
1739209705.756121;-38.13080360867914
1739209705.756132;-45.120503652039325
1739209705.756143;-38.13080360867914
1739209705.756154;-38.13080360867914
1739209705.756165;-45.120503652039325
1739209705.756176;-45.120503652039325
1739209705.7561872;-45.120503652039325
1739209705.7561982;-33.981070128970956
1739209705.7562091;-45.120503652039325
1739209705.75622;-45.120503652039325
1739209705.7562313;-45.120503652039325
1739209705.7562423;-45.120503652039325
1739209705.7562532;-38.13080360867914
1739209705.7562642;-38.13080360867914
1739209705.7562754;-35.57807855764607
1739209705.7562864;-28.992665084841942
1739209705.7562973;-38.13080360867914
1739209705.7563083;-38.13080360867914
1739209705.7563195;-45.120503652039325
1739209705.7563305;-45.120503652039325
1739209705.7563415;-45.120503652039325
1739209705.7563524;-45.120503652039325
1739209705.7563636;-45.120503652039325
1739209705.7563746;-45.120503652039325
1739209705.7563856;-45.120503652039325
1739209705.7563965;-38.13080360867914
1739209705.7564077;-38.13080360867914
1739209705.7564187;-35.57807855764607
1739209705.7564297;-45.120503652039325
1739209705.7564406;-45.120503652039325
1739209705.7564518;-45.120503652039325
1739209705.7564628;-33.981070128970956
1739209705.7564738;-38.13080360867914
1739209705.7564847;-38.13080360867914
1739209705.756496;-45.120503652039325
1739209705.756507;-33.981070128970906
1739209705.756518;-35.57807855764607
1739209705.7565289;-45.120503652039325
1739209705.7565398;-38.13080360867914
1739209705.756551;-26.991370085610722
1739209705.756562;-35.57807855764607
1739209705.756573;-45.120503652039325
1739209705.756584;-38.13080360867914
1739209705.7565951;-38.13080360867914
1739209705.756606;-38.13080360867914
