CAN Message; 0x150:0300f6d480615e93
Timestamp;Amplitude
1739209595.9504077;-45.120503652039325
1739209595.9504154;-35.57807855764607
1739209595.950423;-35.57807855764607
1739209595.9504304;-45.120503652039325
1739209595.950438;-45.120503652039325
1739209595.9504457;-45.120503652039325
1739209595.9504533;-31.141103565318915
1739209595.9504607;-38.13080360867914
1739209595.9504683;-38.13080360867914
1739209595.950476;-38.13080360867914
1739209595.9504836;-45.120503652039325
1739209595.950491;-38.13080360867914
1739209595.9504986;-38.13080360867914
1739209595.9505062;-38.13080360867914
1739209595.9505138;-38.13080360867914
1739209595.9505215;-45.120503652039325
1739209595.9505289;-45.120503652039325
1739209595.9505365;-38.13080360867914
1739209595.950544;-38.13080360867914
1739209595.9505517;-38.13080360867914
1739209595.9505591;-45.120503652039325
1739209595.9505668;-45.120503652039325
1739209595.9505744;-38.13080360867914
1739209595.950582;-35.57807855764607
1739209595.9505894;-38.13080360867914
1739209595.950597;-38.13080360867914
1739209595.9506047;-38.13080360867914
1739209595.9506123;-38.13080360867914
1739209595.95062;-38.13080360867914
1739209595.9506273;-45.120503652039325
1739209595.950635;-45.120503652039325
1739209595.9506426;-45.120503652039325
1739209595.9506502;-45.120503652039325
1739209595.9506576;-35.57807855764607
1739209595.9506652;-38.13080360867914
1739209595.9506729;-45.120503652039325
1739209595.9506805;-38.13080360867914
1739209595.950688;-45.120503652039325
1739209595.9506955;-45.120503652039325
1739209595.9507031;-38.13080360867914
1739209595.9507108;-38.13080360867914
1739209595.9507184;-45.120503652039325
1739209595.9507258;-33.981070128970906
1739209595.9507334;-38.13080360867914
1739209595.950741;-38.13080360867914
1739209595.9507487;-38.13080360867914
1739209595.950756;-45.120503652039325
1739209595.9507637;-38.13080360867914
1739209595.9507713;-45.120503652039325
1739209595.950779;-45.120503652039325
1739209595.9507864;-38.13080360867914
1739209595.950794;-45.120503652039325
1739209595.9508016;-45.120503652039325
1739209595.9508092;-38.13080360867914
1739209595.9508169;-33.981070128970906
1739209595.9508243;-33.981070128970906
1739209595.950832;-45.120503652039325
1739209595.9508395;-45.120503652039325
1739209595.9508471;-38.13080360867914
1739209595.9508545;-38.13080360867914
1739209595.9508622;-33.981070128970906
1739209595.9508698;-45.120503652039325
1739209595.9508774;-33.981070128970906
1739209595.9508848;-32.816014438256545
1739209595.9508924;-38.13080360867914
1739209595.9509;-45.120503652039325
1739209595.9509077;-38.13080360867914
1739209595.9509153;-35.57807855764607
1739209595.9509227;-38.13080360867914
1739209595.9509304;-45.120503652039325
1739209595.950938;-38.13080360867914
1739209595.9509456;-33.981070128970906
1739209595.950953;-38.13080360867914
1739209595.9509606;-38.13080360867914
1739209595.9509683;-38.13080360867914
1739209595.950976;-45.120503652039325
1739209595.9509833;-38.13080360867914
1739209595.950991;-45.120503652039325
1739209595.9509985;-38.13080360867914
1739209595.9510062;-38.13080360867914
1739209595.9510138;-38.13080360867914
1739209595.9510212;-38.13080360867914
1739209595.9510288;-38.13080360867914
1739209595.9510365;-38.13080360867914
1739209595.951044;-45.120503652039325
1739209595.9510515;-38.13080360867914
1739209595.951059;-38.13080360867914
1739209595.9510667;-35.57807855764607
1739209595.9510744;-38.13080360867914
1739209595.9510818;-45.120503652039325
1739209595.9510894;-45.120503652039325
1739209595.951097;-35.57807855764607
1739209595.9511046;-32.816014438256545
1739209595.9511123;-45.120503652039325
1739209595.9511197;-38.13080360867914
1739209595.9511273;-27.267205301931607
1739209595.951135;-45.120503652039325
1739209595.9511425;-35.57807855764607
1739209595.95115;-35.57807855764607
1739209595.9511576;-45.120503652039325
1739209595.9511652;-45.120503652039325
1739209595.9511728;-38.13080360867914
1739209595.9511802;-38.13080360867914
1739209595.9511878;-38.13080360867914
1739209595.9511955;-45.120503652039325
1739209595.951203;-45.120503652039325
1739209595.9512107;-45.120503652039325
1739209595.9512181;-38.13080360867914
1739209595.9512258;-38.13080360867914
1739209595.9512334;-45.120503652039325
1739209595.951241;-45.120503652039325
1739209595.9512484;-45.120503652039325
1739209595.951256;-33.981070128970906
1739209595.9512637;-38.13080360867914
1739209595.9512713;-45.120503652039325
1739209595.9512787;-35.57807855764607
1739209595.9512863;-32.816014438256545
1739209595.951294;-45.120503652039325
1739209595.9513016;-38.13080360867914
1739209595.951309;-35.57807855764607
1739209595.9513166;-38.13080360867914
1739209595.9513242;-38.13080360867914
1739209595.9513319;-38.13080360867914
1739209595.9513395;-45.120503652039325
1739209595.9513469;-45.120503652039325
1739209595.9513545;-38.13080360867914
1739209595.9513621;-38.13080360867914
1739209595.9513698;-45.120503652039325
1739209595.9513772;-38.13080360867914
1739209595.9513848;-38.13080360867914
1739209595.9513924;-45.120503652039325
1739209595.9514;-38.13080360867914
1739209595.9514074;-32.816014438256545
1739209595.951415;-45.120503652039325
1739209595.9514227;-45.120503652039325
1739209595.9514303;-32.816014438256545
1739209595.951438;-38.13080360867914
1739209595.9514453;-45.120503652039325
1739209595.951453;-45.120503652039325
1739209595.9514606;-38.13080360867914
1739209595.9514682;-38.13080360867914
1739209595.9514756;-38.13080360867914
1739209595.9514832;-35.57807855764607
1739209595.9514909;-38.13080360867914
1739209595.9514985;-45.120503652039325
1739209595.951506;-45.120503652039325
1739209595.9515135;-45.120503652039325
1739209595.9515212;-45.120503652039325
1739209595.9515288;-38.13080360867914
1739209595.9515364;-45.120503652039325
1739209595.9515438;-45.120503652039325
1739209595.9515514;-38.13080360867914
1739209595.951559;-35.57807855764607
1739209595.9515667;-45.120503652039325
1739209595.951574;-38.13080360867914
1739209595.9515817;-38.13080360867914
1739209595.9515893;-33.981070128970906
1739209595.951597;-38.13080360867914
1739209595.9516044;-45.120503652039325
1739209595.951612;-38.13080360867914
1739209595.9516196;-38.13080360867914
