CAN Message; 0x98:0000e2999a5cfede
Timestamp;Amplitude
1739209916.0618932;-38.13080360867914
1739209916.0618973;-45.120503652039325
1739209916.061901;-38.13080360867914
1739209916.0619051;-38.13080360867914
1739209916.0619092;-38.13080360867914
1739209916.0619133;-45.120503652039325
1739209916.0619173;-45.120503652039325
1739209916.0619211;-35.57807855764607
1739209916.0619252;-31.141103565318915
1739209916.0619292;-45.120503652039325
1739209916.0619333;-38.13080360867914
1739209916.0619373;-45.120503652039325
1739209916.0619411;-38.13080360867914
1739209916.0619452;-33.981070128970906
1739209916.0619493;-35.57807855764607
1739209916.0619533;-35.57807855764607
1739209916.0619571;-31.14110356531892
1739209916.0619612;-45.120503652039325
1739209916.0619652;-33.981070128970906
1739209916.0619693;-45.120503652039325
1739209916.0619733;-45.120503652039325
1739209916.0619771;-45.120503652039325
1739209916.0619812;-45.120503652039325
1739209916.0619853;-35.57807855764607
1739209916.0619893;-33.981070128970906
1739209916.0619934;-45.120503652039325
1739209916.0619972;-45.120503652039325
1739209916.0620012;-38.13080360867914
1739209916.0620053;-38.13080360867914
1739209916.0620093;-45.120503652039325
1739209916.0620131;-45.120503652039325
1739209916.0620172;-32.816014438256545
1739209916.0620213;-35.57807855764607
1739209916.0620253;-38.13080360867914
1739209916.0620294;-32.816014438256545
1739209916.0620332;-32.816014438256545
1739209916.0620372;-45.120503652039325
1739209916.0620413;-45.120503652039325
1739209916.0620453;-38.13080360867914
1739209916.0620492;-35.57807855764607
1739209916.0620532;-30.49652367304976
1739209916.0620573;-45.120503652039325
1739209916.0620613;-33.981070128970906
1739209916.0620654;-32.816014438256545
1739209916.0620692;-38.13080360867914
1739209916.0620732;-38.13080360867914
1739209916.0620773;-35.57807855764607
1739209916.0620813;-38.13080360867914
1739209916.0620854;-28.58837851428586
1739209916.0620892;-33.981070128970906
1739209916.0620933;-45.120503652039325
1739209916.0620973;-35.57807855764607
1739209916.0621014;-38.13080360867914
1739209916.0621052;-45.120503652039325
1739209916.0621092;-38.13080360867914
1739209916.0621133;-35.57807855764607
1739209916.0621173;-33.981070128970956
1739209916.0621214;-45.120503652039325
1739209916.0621252;-32.816014438256545
1739209916.0621293;-35.57807855764607
1739209916.0621333;-38.13080360867914
1739209916.0621374;-38.13080360867914
1739209916.0621414;-38.13080360867914
1739209916.0621452;-32.816014438256545
1739209916.0621493;-35.57807855764607
1739209916.0621533;-38.13080360867914
1739209916.0621574;-45.120503652039325
1739209916.0621612;-38.13080360867914
1739209916.0621653;-45.120503652039325
1739209916.0621693;-45.120503652039325
1739209916.0621734;-33.981070128970906
1739209916.0621774;-35.57807855764607
1739209916.0621812;-45.120503652039325
1739209916.0621853;-45.120503652039325
1739209916.0621893;-45.120503652039325
1739209916.0621934;-45.120503652039325
1739209916.0621974;-45.120503652039325
1739209916.0622013;-45.120503652039325
1739209916.0622053;-38.13080360867914
1739209916.0622094;-35.57807855764607
1739209916.0622134;-45.120503652039325
1739209916.0622172;-45.120503652039325
1739209916.0622213;-45.120503652039325
1739209916.0622253;-38.13080360867914
1739209916.0622294;-45.120503652039325
1739209916.0622334;-38.13080360867914
1739209916.0622373;-38.13080360867914
1739209916.0622413;-38.13080360867914
1739209916.0622454;-32.816014438256545
1739209916.0622494;-38.13080360867914
1739209916.0622532;-38.13080360867914
1739209916.0622573;-38.13080360867914
1739209916.0622613;-35.57807855764607
1739209916.0622654;-38.13080360867914
1739209916.0622694;-38.13080360867914
1739209916.0622733;-35.57807855764607
1739209916.0622773;-38.13080360867914
1739209916.0622814;-45.120503652039325
1739209916.0622854;-33.981070128970906
1739209916.0622895;-35.57807855764607
1739209916.0622933;-45.120503652039325
1739209916.0622973;-33.981070128970906
1739209916.0623014;-38.13080360867914
1739209916.0623055;-38.13080360867914
1739209916.0623093;-38.13080360867914
1739209916.0623133;-45.120503652039325
1739209916.0623174;-35.57807855764607
1739209916.0623214;-35.57807855764607
1739209916.0623255;-38.13080360867914
1739209916.0623293;-45.120503652039325
1739209916.0623333;-38.13080360867914
1739209916.0623374;-35.57807855764607
1739209916.0623415;-38.13080360867914
1739209916.0623455;-45.120503652039325
1739209916.0623493;-38.13080360867914
1739209916.0623534;-38.13080360867914
1739209916.0623574;-38.13080360867914
1739209916.0623615;-45.120503652039325
1739209916.0623653;-38.13080360867914
1739209916.0623693;-32.816014438256545
1739209916.0623734;-38.13080360867914
1739209916.0623775;-38.13080360867914
1739209916.0623815;-32.816014438256545
1739209916.0623853;-35.57807855764607
1739209916.0623894;-38.13080360867914
1739209916.0623934;-45.120503652039325
1739209916.0623975;-35.57807855764607
1739209916.0624013;-38.13080360867914
1739209916.0624053;-45.120503652039325
1739209916.0624094;-38.13080360867914
1739209916.0624135;-38.13080360867914
1739209916.0624175;-45.120503652039325
1739209916.0624213;-45.120503652039325
1739209916.0624254;-38.13080360867914
1739209916.0624294;-45.120503652039325
1739209916.0624335;-38.13080360867914
1739209916.0624375;-45.120503652039325
1739209916.0624413;-38.13080360867914
1739209916.0624454;-31.141103565318915
1739209916.0624495;-45.120503652039325
1739209916.0624535;-45.120503652039325
1739209916.0624573;-45.120503652039325
1739209916.0624614;-38.13080360867914
1739209916.0624654;-45.120503652039325
1739209916.0624695;-38.13080360867914
1739209916.0624735;-33.981070128970906
1739209916.0624774;-38.13080360867914
1739209916.0624814;-45.120503652039325
1739209916.0624855;-33.981070128970906
1739209916.0624895;-38.13080360867914
1739209916.0624936;-38.13080360867914
1739209916.0624974;-32.816014438256545
1739209916.0625014;-45.120503652039325
1739209916.0625055;-45.120503652039325
1739209916.0625095;-38.13080360867914
1739209916.0625134;-45.120503652039325
1739209916.0625174;-45.120503652039325
1739209916.0625215;-33.981070128970906
1739209916.0625255;-38.13080360867914
1739209916.0625296;-45.120503652039325
1739209916.0625334;-38.13080360867914
1739209916.0625374;-38.13080360867914
1739209916.0625415;-45.120503652039325
1739209916.0625455;-45.120503652039325
1739209916.0625496;-35.57807855764607
1739209916.0625534;-45.120503652039325
1739209916.0625575;-38.13080360867914
1739209916.0625615;-35.57807855764607
1739209916.0625656;-38.13080360867914
1739209916.0625694;-32.816014438256545
1739209916.0625734;-33.981070128970906
1739209916.0625775;-45.120503652039325
1739209916.0625815;-38.13080360867914
1739209916.0625856;-32.816014438256545
1739209916.0625894;-38.13080360867914
1739209916.0625935;-45.120503652039325
1739209916.0625975;-33.981070128970906
1739209916.0626016;-33.981070128970906
1739209916.0626054;-30.49652367304973
1739209916.0626094;-38.13080360867914
1739209916.0626135;-38.13080360867914
1739209916.0626175;-45.120503652039325
1739209916.0626216;-35.57807855764607
1739209916.0626254;-38.13080360867914
1739209916.0626295;-45.120503652039325
1739209916.0626335;-38.13080360867914
1739209916.0626376;-28.992665084841942
1739209916.0626416;-45.120503652039325
1739209916.0626454;-45.120503652039325
1739209916.0626495;-35.57807855764607
1739209916.0626535;-45.120503652039325
1739209916.0626576;-45.120503652039325
1739209916.0626614;-45.120503652039325
1739209916.0626655;-45.120503652039325
1739209916.0626695;-38.13080360867914
1739209916.0626736;-45.120503652039325
1739209916.0626776;-38.13080360867914
1739209916.0626814;-38.13080360867914
1739209916.0626855;-38.13080360867914
1739209916.0626895;-45.120503652039325
1739209916.0626936;-45.120503652039325
1739209916.0626976;-45.120503652039325
1739209916.0627015;-38.13080360867914
1739209916.0627055;-45.120503652039325
