CAN Message; 0x98:0000a38659f4da2e
Timestamp;Amplitude
1739209795.1618032;-38.13080360867914
1739209795.1618085;-38.13080360867914
1739209795.1618137;-38.13080360867914
1739209795.161819;-38.13080360867914
1739209795.1618242;-45.120503652039325
1739209795.1618295;-45.120503652039325
1739209795.1618347;-38.13080360867914
1739209795.16184;-31.141103565318893
1739209795.1618452;-33.981070128970906
1739209795.1618505;-45.120503652039325
1739209795.1618557;-45.120503652039325
1739209795.161861;-31.141103565318893
1739209795.1618662;-35.57807855764607
1739209795.1618714;-38.13080360867914
1739209795.1618767;-45.120503652039325
1739209795.1618817;-35.57807855764607
1739209795.161887;-38.13080360867914
1739209795.1618922;-45.120503652039325
1739209795.1618974;-38.13080360867914
1739209795.1619027;-38.13080360867914
1739209795.161908;-45.120503652039325
1739209795.1619132;-38.13080360867914
1739209795.1619184;-45.120503652039325
1739209795.1619236;-45.120503652039325
1739209795.161929;-38.13080360867914
1739209795.1619341;-38.13080360867914
1739209795.1619394;-45.120503652039325
1739209795.1619446;-29.438486411369333
1739209795.1619499;-30.49652367304973
1739209795.161955;-35.57807855764607
1739209795.1619604;-38.13080360867914
1739209795.1619656;-38.13080360867914
1739209795.1619709;-38.13080360867914
1739209795.161976;-45.120503652039325
1739209795.1619813;-38.13080360867914
1739209795.1619866;-45.120503652039325
1739209795.1619918;-45.120503652039325
1739209795.1619968;-45.120503652039325
1739209795.162002;-45.120503652039325
1739209795.1620073;-45.120503652039325
1739209795.1620126;-45.120503652039325
1739209795.1620178;-45.120503652039325
1739209795.162023;-45.120503652039325
1739209795.1620283;-38.13080360867914
1739209795.1620336;-45.120503652039325
1739209795.1620388;-45.120503652039325
1739209795.162044;-38.13080360867914
1739209795.1620493;-45.120503652039325
1739209795.1620545;-45.120503652039325
1739209795.1620598;-38.13080360867914
1739209795.162065;-45.120503652039325
1739209795.1620703;-33.981070128970906
1739209795.1620755;-28.58837851428586
1739209795.1620808;-33.981070128970906
1739209795.162086;-33.981070128970906
1739209795.1620913;-38.13080360867914
1739209795.1620965;-33.981070128970906
1739209795.1621017;-33.981070128970906
1739209795.162107;-33.981070128970906
1739209795.1621122;-45.120503652039325
1739209795.1621172;-38.13080360867914
1739209795.1621225;-45.120503652039325
1739209795.1621277;-45.120503652039325
1739209795.162133;-45.120503652039325
1739209795.1621382;-45.120503652039325
1739209795.1621435;-35.57807855764607
1739209795.1621487;-38.13080360867914
1739209795.162154;-45.120503652039325
1739209795.1621592;-45.120503652039325
1739209795.1621644;-45.120503652039325
1739209795.1621697;-38.13080360867914
1739209795.162175;-38.13080360867914
1739209795.1621802;-45.120503652039325
1739209795.1621854;-38.13080360867914
1739209795.1621907;-38.13080360867914
1739209795.162196;-35.57807855764607
1739209795.1622012;-31.141103565318915
1739209795.1622064;-38.13080360867914
1739209795.1622117;-38.13080360867914
1739209795.162217;-35.57807855764607
1739209795.1622221;-35.57807855764607
1739209795.1622274;-38.13080360867914
1739209795.1622326;-45.120503652039325
1739209795.1622376;-45.120503652039325
1739209795.162243;-45.120503652039325
1739209795.1622481;-38.13080360867914
1739209795.1622534;-45.120503652039325
1739209795.1622586;-35.57807855764607
1739209795.1622639;-38.13080360867914
1739209795.162269;-45.120503652039325
1739209795.1622744;-45.120503652039325
1739209795.1622796;-38.13080360867914
1739209795.1622849;-38.13080360867914
1739209795.16229;-45.120503652039325
1739209795.1622953;-45.120503652039325
1739209795.1623006;-45.120503652039325
1739209795.1623058;-45.120503652039325
1739209795.162311;-45.120503652039325
1739209795.1623163;-38.13080360867914
1739209795.1623216;-45.120503652039325
1739209795.1623268;-38.13080360867914
1739209795.162332;-38.13080360867914
1739209795.1623373;-45.120503652039325
1739209795.1623425;-45.120503652039325
1739209795.1623478;-38.13080360867914
1739209795.162353;-45.120503652039325
1739209795.162358;-45.120503652039325
1739209795.1623633;-45.120503652039325
1739209795.1623685;-38.13080360867914
