CAN Message; 0x1d3:00007f4287be82e8
Timestamp;Amplitude
1739209681.0721889;-35.57807855764607
1739209681.072197;-45.120503652039325
1739209681.0722053;-38.13080360867914
1739209681.0722136;-45.120503652039325
1739209681.072222;-45.120503652039325
1739209681.0722303;-45.120503652039325
1739209681.0722387;-38.13080360867914
1739209681.0722468;-38.13080360867914
1739209681.0722551;-45.120503652039325
1739209681.0722635;-45.120503652039325
1739209681.0722718;-45.120503652039325
1739209681.0722802;-29.438486411369333
1739209681.0722883;-28.58837851428586
1739209681.0722966;-45.120503652039325
1739209681.072305;-45.120503652039325
1739209681.0723133;-33.981070128970906
1739209681.0723217;-33.981070128970906
1739209681.07233;-38.13080360867914
1739209681.072338;-38.13080360867914
1739209681.0723464;-38.13080360867914
1739209681.0723548;-32.81601443825658
1739209681.0723631;-45.120503652039325
1739209681.0723715;-45.120503652039325
1739209681.0723798;-38.13080360867914
1739209681.072388;-38.13080360867914
1739209681.0723963;-35.57807855764607
1739209681.0724046;-38.13080360867914
1739209681.072413;-45.120503652039325
1739209681.0724213;-38.13080360867914
1739209681.0724294;-45.120503652039325
1739209681.0724378;-38.13080360867914
1739209681.072446;-38.13080360867914
1739209681.0724545;-45.120503652039325
1739209681.0724628;-45.120503652039325
1739209681.0724711;-45.120503652039325
1739209681.0724792;-45.120503652039325
1739209681.0724876;-35.57807855764607
1739209681.072496;-35.57807855764607
1739209681.0725043;-38.13080360867914
1739209681.0725126;-38.13080360867914
1739209681.0725207;-35.57807855764607
1739209681.072529;-32.816014438256545
1739209681.0725374;-38.13080360867914
1739209681.0725458;-45.120503652039325
1739209681.072554;-38.13080360867914
1739209681.0725625;-38.13080360867914
1739209681.0725706;-33.981070128970906
1739209681.072579;-45.120503652039325
1739209681.0725873;-45.120503652039325
1739209681.0725956;-38.13080360867914
1739209681.072604;-35.57807855764607
1739209681.0726123;-45.120503652039325
1739209681.0726204;-33.981070128970906
1739209681.0726287;-35.57807855764607
1739209681.072637;-45.120503652039325
1739209681.0726454;-38.13080360867914
1739209681.0726538;-35.57807855764607
1739209681.0726619;-33.981070128970906
1739209681.0726702;-38.13080360867914
1739209681.0726786;-45.120503652039325
1739209681.072687;-45.120503652039325
1739209681.0726953;-45.120503652039325
1739209681.0727036;-45.120503652039325
1739209681.0727117;-38.13080360867914
1739209681.07272;-33.981070128970906
1739209681.0727284;-38.13080360867914
1739209681.0727367;-38.13080360867914
1739209681.072745;-38.13080360867914
1739209681.0727534;-38.13080360867914
1739209681.0727615;-45.120503652039325
1739209681.0727699;-38.13080360867914
1739209681.0727782;-33.981070128970906
1739209681.0727866;-45.120503652039325
1739209681.072795;-45.120503652039325
1739209681.072803;-38.13080360867914
1739209681.0728114;-35.57807855764607
1739209681.0728197;-35.57807855764607
1739209681.072828;-33.981070128970906
1739209681.0728364;-38.13080360867914
1739209681.0728447;-38.13080360867914
1739209681.0728528;-33.981070128970906
1739209681.0728612;-38.13080360867914
