CAN Message; 0x150:06004e273b6af83d
Timestamp;Amplitude
1739209606.628951;-45.120503652039325
1739209606.628956;-45.120503652039325
1739209606.628961;-38.13080360867914
1739209606.628966;-35.57807855764607
1739209606.628971;-45.120503652039325
1739209606.628976;-32.816014438256545
1739209606.628981;-32.816014438256545
1739209606.6289861;-45.120503652039325
1739209606.6289911;-38.13080360867914
1739209606.6289961;-38.13080360867914
1739209606.6290011;-38.13080360867914
1739209606.6290061;-38.13080360867914
1739209606.6290112;-45.120503652039325
1739209606.6290162;-38.13080360867914
1739209606.6290214;-38.13080360867914
1739209606.6290264;-45.120503652039325
1739209606.6290314;-45.120503652039325
1739209606.6290364;-38.13080360867914
1739209606.6290414;-38.13080360867914
1739209606.6290464;-38.13080360867914
1739209606.6290514;-45.120503652039325
1739209606.6290565;-45.120503652039325
1739209606.6290615;-45.120503652039325
1739209606.6290665;-38.13080360867914
1739209606.6290715;-38.13080360867914
1739209606.6290765;-45.120503652039325
1739209606.6290815;-38.13080360867914
1739209606.6290867;-45.120503652039325
1739209606.6290917;-45.120503652039325
1739209606.6290967;-38.13080360867914
1739209606.6291018;-35.57807855764607
1739209606.6291068;-38.13080360867914
1739209606.6291118;-45.120503652039325
1739209606.6291168;-45.120503652039325
1739209606.6291218;-33.981070128970906
1739209606.6291268;-45.120503652039325
1739209606.6291318;-45.120503652039325
1739209606.6291368;-38.13080360867914
1739209606.6291418;-45.120503652039325
1739209606.6291468;-45.120503652039325
1739209606.629152;-45.120503652039325
1739209606.629157;-38.13080360867914
1739209606.629162;-35.57807855764607
1739209606.629167;-38.13080360867914
1739209606.629172;-45.120503652039325
1739209606.629177;-45.120503652039325
1739209606.629182;-38.13080360867914
1739209606.629187;-38.13080360867914
1739209606.629192;-38.13080360867914
1739209606.6291971;-38.13080360867914
1739209606.6292021;-45.120503652039325
1739209606.6292071;-38.13080360867914
1739209606.6292121;-38.13080360867914
1739209606.6292171;-38.13080360867914
1739209606.6292224;-38.13080360867914
1739209606.6292274;-45.120503652039325
1739209606.6292324;-45.120503652039325
1739209606.6292374;-38.13080360867914
1739209606.6292424;-35.57807855764607
1739209606.6292474;-45.120503652039325
1739209606.6292524;-45.120503652039325
1739209606.6292574;-45.120503652039325
1739209606.6292624;-33.981070128970906
1739209606.6292675;-38.13080360867914
1739209606.6292725;-38.13080360867914
1739209606.6292775;-35.57807855764607
1739209606.6292825;-38.13080360867914
1739209606.6292877;-45.120503652039325
1739209606.6292927;-38.13080360867914
1739209606.6292977;-38.13080360867914
1739209606.6293027;-45.120503652039325
1739209606.6293077;-45.120503652039325
1739209606.6293128;-45.120503652039325
1739209606.6293178;-45.120503652039325
1739209606.6293228;-45.120503652039325
1739209606.6293278;-45.120503652039325
1739209606.6293328;-38.13080360867914
1739209606.6293378;-35.57807855764607
1739209606.6293428;-35.57807855764607
1739209606.6293478;-38.13080360867914
1739209606.629353;-45.120503652039325
1739209606.629358;-45.120503652039325
1739209606.629363;-31.141103565318915
1739209606.629368;-38.13080360867914
1739209606.629373;-45.120503652039325
1739209606.629378;-38.13080360867914
1739209606.629383;-33.981070128970906
1739209606.629388;-31.14110356531892
1739209606.629393;-45.120503652039325
1739209606.629398;-38.13080360867914
1739209606.629403;-38.13080360867914
1739209606.6294081;-45.120503652039325
1739209606.6294131;-45.120503652039325
1739209606.6294181;-38.13080360867914
1739209606.6294234;-33.981070128970906
1739209606.6294284;-33.981070128970906
1739209606.6294334;-38.13080360867914
1739209606.6294384;-35.57807855764607
1739209606.6294434;-35.57807855764607
1739209606.6294484;-45.120503652039325
1739209606.6294534;-45.120503652039325
1739209606.6294584;-38.13080360867914
1739209606.6294634;-45.120503652039325
1739209606.6294684;-38.13080360867914
1739209606.6294734;-38.13080360867914
1739209606.6294785;-38.13080360867914
1739209606.6294835;-45.120503652039325
1739209606.6294887;-38.13080360867914
1739209606.6294937;-45.120503652039325
1739209606.6294987;-33.981070128970906
1739209606.6295037;-38.13080360867914
1739209606.6295087;-30.49652367304976
1739209606.6295137;-45.120503652039325
1739209606.6295187;-38.13080360867914
1739209606.6295238;-38.13080360867914
