CAN Message; 0x150:0300f552ca5c2348
Timestamp;Amplitude
1739209761.1887798;-45.120503652039325
1739209761.1887944;-33.981070128970906
1739209761.188809;-45.120503652039325
1739209761.1888237;-45.120503652039325
1739209761.1888382;-38.13080360867914
1739209761.1888528;-35.57807855764607
1739209761.1888673;-38.13080360867914
1739209761.1888819;-35.57807855764607
1739209761.1888964;-38.13080360867914
1739209761.188911;-45.120503652039325
1739209761.1889257;-38.13080360867914
1739209761.1889403;-38.13080360867914
1739209761.1889548;-45.120503652039325
1739209761.1889694;-45.120503652039325
1739209761.188984;-38.13080360867914
1739209761.1889985;-32.816014438256545
1739209761.189013;-38.13080360867914
1739209761.1890275;-38.13080360867914
1739209761.1890423;-45.120503652039325
1739209761.1890569;-38.13080360867914
1739209761.1890714;-38.13080360867914
1739209761.189086;-45.120503652039325
1739209761.1891005;-45.120503652039325
1739209761.189115;-38.13080360867914
1739209761.1891296;-45.120503652039325
1739209761.1891444;-45.120503652039325
1739209761.189159;-38.13080360867914
1739209761.1891735;-38.13080360867914
1739209761.189188;-45.120503652039325
1739209761.1892025;-45.120503652039325
1739209761.189217;-38.13080360867914
1739209761.1892316;-26.991370085610736
1739209761.1892464;-32.816014438256545
1739209761.189261;-45.120503652039325
1739209761.1892755;-38.13080360867914
1739209761.18929;-35.57807855764607
1739209761.1893046;-45.120503652039325
1739209761.1893191;-45.120503652039325
1739209761.1893337;-45.120503652039325
1739209761.1893485;-33.981070128970956
1739209761.189363;-45.120503652039325
1739209761.1893775;-38.13080360867914
1739209761.189392;-35.57807855764607
1739209761.1894066;-45.120503652039325
1739209761.1894212;-45.120503652039325
1739209761.1894357;-45.120503652039325
1739209761.1894505;-45.120503652039325
1739209761.189465;-35.57807855764607
1739209761.1894796;-38.13080360867914
1739209761.1894941;-45.120503652039325
1739209761.1895087;-45.120503652039325
1739209761.1895232;-35.57807855764607
1739209761.1895378;-38.13080360867914
1739209761.1895525;-45.120503652039325
1739209761.189567;-45.120503652039325
1739209761.1895816;-45.120503652039325
1739209761.1895962;-38.13080360867914
1739209761.1896107;-38.13080360867914
1739209761.1896253;-45.120503652039325
1739209761.1896398;-45.120503652039325
1739209761.1896544;-45.120503652039325
1739209761.1896691;-35.57807855764607
1739209761.1896837;-38.13080360867914
1739209761.1896982;-45.120503652039325
1739209761.1897128;-45.120503652039325
1739209761.1897273;-35.57807855764607
1739209761.1897418;-38.13080360867914
1739209761.1897564;-45.120503652039325
1739209761.1897712;-45.120503652039325
1739209761.1897857;-35.57807855764607
1739209761.1898003;-45.120503652039325
1739209761.1898148;-28.58837851428586
1739209761.1898293;-30.49652367304973
1739209761.189844;-35.57807855764607
1739209761.1898584;-38.13080360867914
1739209761.1898732;-35.57807855764607
1739209761.1898878;-38.13080360867914
1739209761.1899023;-45.120503652039325
1739209761.1899168;-35.57807855764607
1739209761.1899314;-45.120503652039325
1739209761.189946;-45.120503652039325
1739209761.1899605;-38.13080360867914
1739209761.1899753;-38.13080360867914
1739209761.1899898;-45.120503652039325
1739209761.1900043;-45.120503652039325
1739209761.190019;-45.120503652039325
1739209761.1900334;-45.120503652039325
1739209761.190048;-31.141103565318915
1739209761.1900625;-32.816014438256545
1739209761.1900773;-45.120503652039325
1739209761.1900918;-38.13080360867914
1739209761.1901064;-45.120503652039325
1739209761.190121;-38.13080360867914
1739209761.1901355;-35.57807855764607
1739209761.19015;-38.13080360867914
1739209761.1901646;-45.120503652039325
1739209761.1901793;-33.981070128970906
1739209761.190194;-33.981070128970906
1739209761.1902084;-45.120503652039325
1739209761.190223;-45.120503652039325
1739209761.1902375;-45.120503652039325
1739209761.190252;-35.57807855764607
1739209761.1902666;-38.13080360867914
1739209761.1902812;-45.120503652039325
1739209761.190296;-45.120503652039325
1739209761.1903105;-38.13080360867914
1739209761.190325;-33.981070128970906
1739209761.1903396;-45.120503652039325
1739209761.190354;-38.13080360867914
1739209761.1903687;-38.13080360867914
1739209761.1903832;-38.13080360867914
1739209761.190398;-38.13080360867914
1739209761.1904125;-33.981070128970906
1739209761.190427;-38.13080360867914
1739209761.1904416;-45.120503652039325
1739209761.1904562;-38.13080360867914
1739209761.1904707;-35.57807855764607
1739209761.1904852;-38.13080360867914
1739209761.1905;-38.13080360867914
1739209761.1905146;-38.13080360867914
1739209761.190529;-38.13080360867914
1739209761.1905437;-38.13080360867914
1739209761.1905582;-38.13080360867914
1739209761.1905727;-45.120503652039325
1739209761.1905873;-45.120503652039325
1739209761.190602;-38.13080360867914
1739209761.1906166;-45.120503652039325
1739209761.1906312;-45.120503652039325
1739209761.1906457;-35.57807855764607
1739209761.1906602;-35.57807855764607
1739209761.1906748;-33.981070128970906
1739209761.1906893;-45.120503652039325
1739209761.190704;-38.13080360867914
1739209761.1907187;-38.13080360867914
1739209761.1907332;-45.120503652039325
1739209761.1907477;-35.57807855764607
1739209761.1907623;-35.57807855764607
1739209761.1907768;-38.13080360867914
1739209761.1907914;-45.120503652039325
1739209761.1908062;-45.120503652039325
1739209761.1908207;-38.13080360867914
1739209761.1908352;-45.120503652039325
1739209761.1908498;-38.13080360867914
1739209761.1908643;-45.120503652039325
1739209761.1908789;-45.120503652039325
1739209761.1908934;-45.120503652039325
1739209761.190908;-38.13080360867914
1739209761.1909227;-38.13080360867914
1739209761.1909373;-38.13080360867914
1739209761.1909518;-45.120503652039325
1739209761.1909664;-45.120503652039325
1739209761.190981;-45.120503652039325
1739209761.1909955;-35.57807855764607
1739209761.19101;-38.13080360867914
1739209761.1910248;-45.120503652039325
1739209761.1910393;-45.120503652039325
1739209761.1910539;-38.13080360867914
1739209761.1910684;-45.120503652039325
1739209761.191083;-38.13080360867914
1739209761.1910975;-45.120503652039325
1739209761.191112;-38.13080360867914
1739209761.1911268;-45.120503652039325
1739209761.1911414;-38.13080360867914
1739209761.191156;-35.57807855764607
1739209761.1911705;-38.13080360867914
1739209761.191185;-45.120503652039325
1739209761.1911995;-38.13080360867914
1739209761.191214;-35.57807855764607
1739209761.1912289;-38.13080360867914
1739209761.1912434;-32.816014438256545
1739209761.191258;-38.13080360867914
1739209761.1912725;-38.13080360867914
1739209761.191287;-33.981070128970906
1739209761.1913016;-38.13080360867914
1739209761.1913161;-45.120503652039325
1739209761.191331;-32.816014438256545
1739209761.1913455;-38.13080360867914
1739209761.19136;-45.120503652039325
1739209761.1913745;-38.13080360867914
1739209761.191389;-45.120503652039325
1739209761.1914036;-45.120503652039325
1739209761.1914182;-38.13080360867914
1739209761.191433;-33.981070128970906
1739209761.1914475;-45.120503652039325
1739209761.191462;-45.120503652039325
1739209761.1914766;-38.13080360867914
1739209761.1914911;-45.120503652039325
1739209761.1915057;-45.120503652039325
1739209761.1915202;-45.120503652039325
1739209761.191535;-31.141103565318893
1739209761.1915495;-45.120503652039325
1739209761.191564;-45.120503652039325
1739209761.1915786;-38.13080360867914
1739209761.1915932;-32.816014438256545
1739209761.1916077;-38.13080360867914
1739209761.1916223;-45.120503652039325
1739209761.1916368;-45.120503652039325
1739209761.1916516;-38.13080360867914
1739209761.1916661;-33.981070128970906
