CAN Message; 0x77:ea68fed32fb77d7b
Timestamp;Amplitude
1739209889.9542449;-45.120503652039325
1739209889.9542487;-45.120503652039325
1739209889.9542525;-45.120503652039325
1739209889.9542563;-38.13080360867914
1739209889.9542603;-38.13080360867914
1739209889.9542642;-45.120503652039325
1739209889.954268;-35.57807855764607
1739209889.9542718;-35.57807855764607
1739209889.9542758;-38.13080360867914
1739209889.9542797;-45.120503652039325
1739209889.9542835;-38.13080360867914
1739209889.9542873;-38.13080360867914
1739209889.9542913;-45.120503652039325
1739209889.9542952;-38.13080360867914
1739209889.954299;-38.13080360867914
1739209889.954303;-38.13080360867914
1739209889.9543068;-45.120503652039325
1739209889.9543107;-45.120503652039325
1739209889.9543145;-45.120503652039325
1739209889.9543185;-38.13080360867914
1739209889.9543223;-38.13080360867914
1739209889.9543262;-38.13080360867914
1739209889.95433;-45.120503652039325
1739209889.954334;-45.120503652039325
1739209889.9543378;-33.981070128970906
1739209889.9543417;-45.120503652039325
1739209889.9543455;-35.57807855764607
1739209889.9543495;-35.57807855764607
1739209889.9543533;-45.120503652039325
1739209889.9543571;-45.120503652039325
1739209889.9543612;-45.120503652039325
1739209889.954365;-31.141103565318915
1739209889.9543688;-38.13080360867914
1739209889.9543726;-38.13080360867914
1739209889.9543767;-45.120503652039325
1739209889.9543805;-45.120503652039325
1739209889.9543843;-38.13080360867914
1739209889.9543881;-45.120503652039325
1739209889.9543922;-38.13080360867914
1739209889.954396;-45.120503652039325
1739209889.9543998;-45.120503652039325
1739209889.9544036;-45.120503652039325
1739209889.9544077;-35.57807855764607
1739209889.9544115;-32.816014438256545
1739209889.9544153;-38.13080360867914
1739209889.9544194;-33.981070128970906
1739209889.9544232;-38.13080360867914
1739209889.954427;-32.816014438256545
1739209889.9544308;-38.13080360867914
1739209889.9544349;-38.13080360867914
1739209889.9544387;-38.13080360867914
1739209889.9544425;-45.120503652039325
1739209889.9544463;-45.120503652039325
1739209889.9544504;-38.13080360867914
1739209889.9544542;-45.120503652039325
1739209889.954458;-45.120503652039325
1739209889.9544618;-45.120503652039325
1739209889.9544659;-38.13080360867914
1739209889.9544697;-35.57807855764607
1739209889.9544735;-38.13080360867914
1739209889.9544775;-38.13080360867914
1739209889.9544814;-45.120503652039325
