CAN Message; 0x98:00001d690a3a623d
Timestamp;Amplitude
1739209781.8535147;-38.13080360867914
1739209781.8535187;-38.13080360867914
1739209781.853523;-38.13080360867914
1739209781.8535273;-45.120503652039325
1739209781.8535316;-45.120503652039325
1739209781.853536;-38.13080360867914
1739209781.8535402;-38.13080360867914
1739209781.8535442;-45.120503652039325
1739209781.8535485;-33.981070128970906
1739209781.8535528;-38.13080360867914
1739209781.853557;-45.120503652039325
1739209781.8535614;-38.13080360867914
1739209781.8535657;-38.13080360867914
1739209781.8535697;-35.57807855764607
1739209781.853574;-38.13080360867914
1739209781.8535783;-45.120503652039325
1739209781.8535826;-30.49652367304976
1739209781.853587;-38.13080360867914
1739209781.853591;-45.120503652039325
1739209781.8535953;-45.120503652039325
1739209781.8535995;-45.120503652039325
1739209781.8536038;-38.13080360867914
1739209781.8536081;-38.13080360867914
1739209781.8536124;-45.120503652039325
1739209781.8536165;-28.992665084841942
1739209781.8536208;-33.981070128970906
1739209781.853625;-38.13080360867914
1739209781.8536294;-38.13080360867914
1739209781.8536336;-38.13080360867914
1739209781.853638;-45.120503652039325
1739209781.853642;-45.120503652039325
1739209781.8536463;-45.120503652039325
1739209781.8536506;-38.13080360867914
1739209781.8536549;-38.13080360867914
1739209781.8536592;-38.13080360867914
1739209781.8536634;-38.13080360867914
1739209781.8536675;-38.13080360867914
1739209781.8536718;-35.57807855764607
1739209781.853676;-38.13080360867914
1739209781.8536804;-38.13080360867914
1739209781.8536847;-38.13080360867914
1739209781.853689;-35.57807855764607
1739209781.853693;-33.981070128970906
1739209781.8536973;-38.13080360867914
1739209781.8537016;-38.13080360867914
1739209781.853706;-45.120503652039325
1739209781.8537102;-38.13080360867914
1739209781.8537145;-33.981070128970906
1739209781.8537185;-33.981070128970906
1739209781.8537228;-35.57807855764607
1739209781.853727;-38.13080360867914
1739209781.8537314;-32.816014438256545
1739209781.8537357;-38.13080360867914
1739209781.85374;-45.120503652039325
1739209781.853744;-45.120503652039325
1739209781.8537483;-35.57807855764607
1739209781.8537526;-38.13080360867914
1739209781.853757;-45.120503652039325
1739209781.8537612;-38.13080360867914
1739209781.8537655;-38.13080360867914
1739209781.8537695;-45.120503652039325
1739209781.8537738;-33.981070128970906
