CAN Message; 0x1d3:0000b790ac02d33a
Timestamp;Amplitude
1739209833.3556726;-38.13080360867914
1739209833.3556817;-35.57807855764607
1739209833.3556907;-38.13080360867914
1739209833.3557;-35.57807855764607
1739209833.355709;-35.57807855764607
1739209833.3557181;-45.120503652039325
1739209833.3557272;-45.120503652039325
1739209833.3557363;-45.120503652039325
1739209833.3557453;-38.13080360867914
1739209833.3557544;-38.13080360867914
1739209833.3557637;-38.13080360867914
1739209833.3557727;-35.57807855764607
1739209833.3557818;-33.981070128970906
1739209833.3557909;-45.120503652039325
1739209833.3558;-45.120503652039325
1739209833.355809;-38.13080360867914
1739209833.355818;-38.13080360867914
1739209833.355827;-45.120503652039325
1739209833.3558364;-38.13080360867914
1739209833.3558455;-35.57807855764607
1739209833.3558545;-38.13080360867914
1739209833.3558636;-45.120503652039325
1739209833.3558726;-38.13080360867914
1739209833.3558817;-32.816014438256545
1739209833.3558908;-38.13080360867914
1739209833.3559;-45.120503652039325
1739209833.355909;-38.13080360867914
1739209833.3559182;-32.816014438256545
1739209833.3559272;-33.981070128970906
1739209833.3559363;-45.120503652039325
1739209833.3559453;-45.120503652039325
1739209833.3559544;-32.816014438256545
1739209833.3559635;-38.13080360867914
1739209833.3559728;-45.120503652039325
1739209833.3559818;-38.13080360867914
1739209833.355991;-45.120503652039325
1739209833.356;-45.120503652039325
1739209833.356009;-45.120503652039325
1739209833.356018;-38.13080360867914
1739209833.3560271;-38.13080360867914
1739209833.3560364;-38.13080360867914
1739209833.3560455;-45.120503652039325
1739209833.3560545;-45.120503652039325
1739209833.3560636;-38.13080360867914
1739209833.3560727;-38.13080360867914
1739209833.3560817;-35.57807855764607
1739209833.3560908;-38.13080360867914
1739209833.3561;-38.13080360867914
1739209833.3561091;-38.13080360867914
1739209833.3561182;-45.120503652039325
1739209833.3561273;-35.57807855764607
1739209833.3561363;-45.120503652039325
1739209833.3561454;-45.120503652039325
1739209833.3561544;-38.13080360867914
1739209833.3561635;-33.981070128970906
1739209833.3561728;-45.120503652039325
1739209833.3561819;-45.120503652039325
1739209833.356191;-35.57807855764607
1739209833.3562;-38.13080360867914
1739209833.356209;-35.57807855764607
1739209833.356218;-33.981070128970906
1739209833.3562272;-45.120503652039325
1739209833.3562365;-38.13080360867914
1739209833.3562455;-38.13080360867914
1739209833.3562546;-33.981070128970906
1739209833.3562636;-33.981070128970906
1739209833.3562727;-35.57807855764607
1739209833.3562818;-45.120503652039325
1739209833.3562908;-45.120503652039325
1739209833.3562999;-32.816014438256545
1739209833.3563092;-38.13080360867914
1739209833.3563182;-45.120503652039325
1739209833.3563273;-45.120503652039325
1739209833.3563364;-38.13080360867914
1739209833.3563454;-38.13080360867914
1739209833.3563545;-35.57807855764607
1739209833.3563635;-33.981070128970906
1739209833.3563728;-45.120503652039325
1739209833.356382;-45.120503652039325
1739209833.356391;-31.141103565318893
1739209833.3564;-33.981070128970906
1739209833.356409;-45.120503652039325
1739209833.3564181;-45.120503652039325
1739209833.3564272;-45.120503652039325
1739209833.3564363;-38.13080360867914
1739209833.3564456;-45.120503652039325
1739209833.3564546;-38.13080360867914
1739209833.3564637;-38.13080360867914
1739209833.3564727;-38.13080360867914
1739209833.3564818;-45.120503652039325
1739209833.3564909;-45.120503652039325
1739209833.3565;-45.120503652039325
1739209833.3565092;-45.120503652039325
1739209833.3565183;-45.120503652039325
1739209833.3565273;-38.13080360867914
1739209833.3565364;-30.49652367304973
1739209833.3565454;-38.13080360867914
1739209833.3565545;-38.13080360867914
1739209833.3565636;-38.13080360867914
1739209833.3565729;-31.141103565318893
1739209833.356582;-31.141103565318915
1739209833.356591;-45.120503652039325
1739209833.3566;-38.13080360867914
1739209833.356609;-38.13080360867914
1739209833.3566182;-38.13080360867914
1739209833.3566272;-45.120503652039325
1739209833.3566363;-38.13080360867914
1739209833.3566456;-45.120503652039325
