CAN Message; 0x77:b3c76210c9cbd45e
Timestamp;Amplitude
1739209697.7520955;-31.141103565318915
1739209697.7520974;-45.120503652039325
1739209697.7520995;-45.120503652039325
1739209697.7521017;-38.13080360867914
1739209697.7521038;-38.13080360867914
1739209697.7521057;-45.120503652039325
1739209697.7521079;-45.120503652039325
1739209697.75211;-45.120503652039325
1739209697.752112;-38.13080360867914
1739209697.752114;-45.120503652039325
1739209697.7521162;-45.120503652039325
1739209697.7521183;-38.13080360867914
1739209697.7521203;-35.57807855764607
1739209697.7521224;-35.57807855764607
1739209697.7521245;-35.57807855764607
1739209697.7521265;-38.13080360867914
1739209697.7521286;-38.13080360867914
1739209697.7521307;-38.13080360867914
1739209697.752133;-45.120503652039325
1739209697.7521348;-45.120503652039325
1739209697.752137;-45.120503652039325
1739209697.752139;-32.816014438256545
1739209697.752141;-38.13080360867914
1739209697.7521431;-32.816014438256545
1739209697.7521453;-32.816014438256545
1739209697.7521474;-33.981070128970906
1739209697.7521493;-35.57807855764607
1739209697.7521515;-45.120503652039325
1739209697.7521536;-33.981070128970906
1739209697.7521558;-38.13080360867914
1739209697.7521577;-45.120503652039325
1739209697.7521598;-45.120503652039325
1739209697.752162;-38.13080360867914
1739209697.752164;-45.120503652039325
1739209697.752166;-45.120503652039325
1739209697.7521682;-38.13080360867914
1739209697.7521703;-38.13080360867914
1739209697.7521722;-38.13080360867914
1739209697.7521744;-45.120503652039325
1739209697.7521765;-38.13080360867914
1739209697.7521784;-33.981070128970906
1739209697.7521806;-45.120503652039325
1739209697.7521827;-45.120503652039325
1739209697.7521849;-45.120503652039325
1739209697.7521868;-45.120503652039325
1739209697.752189;-38.13080360867914
1739209697.752191;-38.13080360867914
1739209697.752193;-38.13080360867914
1739209697.7521951;-35.57807855764607
1739209697.7521973;-38.13080360867914
1739209697.7521994;-45.120503652039325
1739209697.7522013;-45.120503652039325
1739209697.7522035;-38.13080360867914
1739209697.7522056;-45.120503652039325
1739209697.7522078;-45.120503652039325
1739209697.7522097;-45.120503652039325
1739209697.7522118;-45.120503652039325
1739209697.752214;-45.120503652039325
1739209697.7522159;-38.13080360867914
1739209697.752218;-38.13080360867914
1739209697.7522202;-45.120503652039325
1739209697.7522223;-38.13080360867914
1739209697.7522242;-38.13080360867914
1739209697.7522264;-45.120503652039325
1739209697.7522285;-33.981070128970906
1739209697.7522304;-38.13080360867914
1739209697.7522326;-38.13080360867914
1739209697.7522347;-38.13080360867914
1739209697.7522368;-33.981070128970906
1739209697.7522388;-38.13080360867914
1739209697.752241;-45.120503652039325
1739209697.752243;-35.57807855764607
1739209697.7522452;-45.120503652039325
1739209697.752247;-32.816014438256545
1739209697.7522492;-33.981070128970906
1739209697.7522514;-45.120503652039325
1739209697.7522533;-38.13080360867914
1739209697.7522554;-35.57807855764607
1739209697.7522576;-45.120503652039325
1739209697.7522597;-45.120503652039325
1739209697.7522616;-45.120503652039325
1739209697.7522638;-38.13080360867914
1739209697.752266;-38.13080360867914
1739209697.7522678;-38.13080360867914
1739209697.75227;-38.13080360867914
1739209697.7522721;-38.13080360867914
1739209697.7522743;-31.141103565318915
1739209697.7522762;-38.13080360867914
1739209697.7522783;-33.981070128970906
1739209697.7522805;-33.981070128970906
1739209697.7522824;-45.120503652039325
1739209697.7522845;-45.120503652039325
1739209697.7522867;-38.13080360867914
1739209697.7522888;-45.120503652039325
1739209697.7522907;-45.120503652039325
1739209697.7522929;-33.981070128970906
1739209697.752295;-45.120503652039325
1739209697.7522972;-38.13080360867914
1739209697.752299;-38.13080360867914
1739209697.7523012;-38.13080360867914
1739209697.7523034;-45.120503652039325
1739209697.7523053;-38.13080360867914
1739209697.7523074;-38.13080360867914
1739209697.7523096;-38.13080360867914
1739209697.7523117;-30.49652367304973
1739209697.7523136;-28.992665084841942
1739209697.7523158;-45.120503652039325
1739209697.752318;-38.13080360867914
1739209697.7523198;-35.57807855764607
1739209697.752322;-38.13080360867914
1739209697.752324;-38.13080360867914
1739209697.7523263;-32.816014438256545
1739209697.7523282;-35.57807855764607
1739209697.7523303;-45.120503652039325
1739209697.7523324;-38.13080360867914
1739209697.7523346;-35.57807855764607
1739209697.7523365;-38.13080360867914
1739209697.7523386;-45.120503652039325
1739209697.7523408;-38.13080360867914
1739209697.7523427;-35.57807855764607
1739209697.7523448;-38.13080360867914
1739209697.752347;-45.120503652039325
1739209697.7523491;-38.13080360867914
1739209697.752351;-35.57807855764607
1739209697.7523532;-45.120503652039325
1739209697.7523553;-45.120503652039325
1739209697.7523572;-38.13080360867914
