CAN Message; 0x1d3:0000e178396d4ff6
Timestamp;Amplitude
1739209865.130448;-35.57807855764607
1739209865.1304555;-38.13080360867914
1739209865.1304631;-45.120503652039325
1739209865.1304705;-38.13080360867914
1739209865.1304781;-45.120503652039325
1739209865.1304855;-31.141103565318915
1739209865.1304932;-27.267205301931607
1739209865.1305006;-38.13080360867914
1739209865.1305082;-45.120503652039325
1739209865.1305156;-38.13080360867914
1739209865.130523;-33.981070128970906
1739209865.1305306;-38.13080360867914
1739209865.130538;-45.120503652039325
1739209865.1305456;-45.120503652039325
1739209865.130553;-38.13080360867914
1739209865.1305606;-45.120503652039325
1739209865.130568;-38.13080360867914
1739209865.1305757;-45.120503652039325
1739209865.130583;-31.141103565318893
1739209865.1305907;-35.57807855764607
1739209865.130598;-45.120503652039325
1739209865.1306057;-38.13080360867914
1739209865.130613;-33.981070128970906
1739209865.1306207;-45.120503652039325
1739209865.130628;-45.120503652039325
1739209865.1306357;-45.120503652039325
1739209865.1306431;-45.120503652039325
1739209865.1306508;-38.13080360867914
1739209865.1306581;-45.120503652039325
1739209865.1306658;-38.13080360867914
1739209865.1306732;-28.58837851428586
1739209865.1306808;-38.13080360867914
1739209865.1306882;-45.120503652039325
1739209865.1306958;-38.13080360867914
1739209865.1307032;-32.816014438256545
1739209865.1307108;-38.13080360867914
1739209865.1307182;-45.120503652039325
1739209865.1307259;-45.120503652039325
1739209865.1307333;-33.981070128970956
1739209865.130741;-38.13080360867914
1739209865.1307483;-38.13080360867914
1739209865.130756;-45.120503652039325
1739209865.1307633;-45.120503652039325
1739209865.130771;-38.13080360867914
1739209865.1307783;-45.120503652039325
1739209865.130786;-45.120503652039325
1739209865.1307933;-28.58837851428586
1739209865.130801;-38.13080360867914
1739209865.1308084;-38.13080360867914
1739209865.130816;-32.816014438256545
1739209865.1308234;-38.13080360867914
1739209865.130831;-45.120503652039325
1739209865.1308384;-38.13080360867914
1739209865.130846;-38.13080360867914
1739209865.1308534;-38.13080360867914
1739209865.130861;-38.13080360867914
1739209865.1308684;-32.816014438256545
1739209865.130876;-38.13080360867914
1739209865.1308835;-45.120503652039325
1739209865.130891;-33.981070128970906
1739209865.1308985;-45.120503652039325
1739209865.1309059;-45.120503652039325
1739209865.1309135;-28.21854285175415
1739209865.130921;-38.13080360867914
1739209865.1309285;-38.13080360867914
1739209865.130936;-38.13080360867914
1739209865.1309435;-45.120503652039325
1739209865.130951;-38.13080360867914
1739209865.1309586;-38.13080360867914
1739209865.130966;-45.120503652039325
1739209865.1309736;-45.120503652039325
1739209865.130981;-45.120503652039325
1739209865.1309886;-38.13080360867914
1739209865.130996;-38.13080360867914
1739209865.1310036;-35.57807855764607
1739209865.131011;-38.13080360867914
1739209865.1310186;-45.120503652039325
1739209865.131026;-38.13080360867914
1739209865.1310337;-45.120503652039325
1739209865.131041;-45.120503652039325
1739209865.1310487;-45.120503652039325
1739209865.131056;-38.13080360867914
1739209865.1310637;-45.120503652039325
1739209865.131071;-45.120503652039325
1739209865.1310787;-45.120503652039325
1739209865.131086;-45.120503652039325
1739209865.1310937;-33.981070128970906
1739209865.1311011;-38.13080360867914
1739209865.1311088;-45.120503652039325
1739209865.1311162;-45.120503652039325
1739209865.1311238;-33.981070128970906
1739209865.1311312;-38.13080360867914
1739209865.1311388;-45.120503652039325
1739209865.1311462;-38.13080360867914
1739209865.1311538;-38.13080360867914
1739209865.1311612;-38.13080360867914
1739209865.1311688;-38.13080360867914
1739209865.1311762;-38.13080360867914
1739209865.1311839;-32.816014438256545
1739209865.1311913;-33.981070128970906
1739209865.131199;-45.120503652039325
1739209865.1312063;-45.120503652039325
1739209865.131214;-38.13080360867914
1739209865.1312213;-38.13080360867914
1739209865.131229;-45.120503652039325
1739209865.1312363;-38.13080360867914
1739209865.131244;-45.120503652039325
1739209865.1312513;-45.120503652039325
1739209865.131259;-45.120503652039325
