CAN Message; 0x1b8:02008b1f66a671f1
Timestamp;Amplitude
1739209806.2435255;-35.57807855764607
1739209806.2435281;-38.13080360867914
1739209806.2435308;-38.13080360867914
1739209806.2435334;-38.13080360867914
1739209806.243536;-38.13080360867914
1739209806.2435386;-38.13080360867914
1739209806.243541;-38.13080360867914
1739209806.2435436;-38.13080360867914
1739209806.2435462;-45.120503652039325
1739209806.2435489;-38.13080360867914
1739209806.2435515;-38.13080360867914
1739209806.2435539;-45.120503652039325
1739209806.2435565;-45.120503652039325
1739209806.2435591;-45.120503652039325
1739209806.2435617;-45.120503652039325
1739209806.2435644;-45.120503652039325
1739209806.243567;-45.120503652039325
1739209806.2435694;-45.120503652039325
1739209806.243572;-26.487275050834715
1739209806.2435746;-33.981070128970906
1739209806.2435772;-45.120503652039325
1739209806.2435799;-38.13080360867914
1739209806.2435825;-32.816014438256545
1739209806.2435849;-38.13080360867914
1739209806.2435875;-45.120503652039325
1739209806.24359;-38.13080360867914
1739209806.2435927;-38.13080360867914
1739209806.2435954;-45.120503652039325
1739209806.243598;-45.120503652039325
1739209806.2436004;-38.13080360867914
1739209806.243603;-45.120503652039325
1739209806.2436056;-38.13080360867914
1739209806.2436082;-45.120503652039325
1739209806.2436109;-45.120503652039325
1739209806.2436135;-32.816014438256545
1739209806.2436159;-38.13080360867914
1739209806.2436185;-45.120503652039325
1739209806.243621;-45.120503652039325
1739209806.2436237;-38.13080360867914
1739209806.2436264;-45.120503652039325
1739209806.243629;-38.13080360867914
1739209806.2436314;-38.13080360867914
1739209806.243634;-45.120503652039325
1739209806.2436366;-38.13080360867914
1739209806.2436392;-45.120503652039325
1739209806.2436419;-45.120503652039325
1739209806.2436445;-38.13080360867914
1739209806.2436469;-38.13080360867914
1739209806.2436495;-45.120503652039325
1739209806.243652;-38.13080360867914
1739209806.2436547;-45.120503652039325
1739209806.2436574;-45.120503652039325
1739209806.2436597;-38.13080360867914
1739209806.2436624;-38.13080360867914
1739209806.243665;-45.120503652039325
1739209806.2436676;-45.120503652039325
1739209806.2436702;-45.120503652039325
1739209806.2436728;-38.13080360867914
1739209806.2436752;-35.57807855764607
1739209806.2436779;-38.13080360867914
1739209806.2436805;-38.13080360867914
1739209806.243683;-45.120503652039325
1739209806.2436857;-38.13080360867914
1739209806.2436883;-35.57807855764607
1739209806.2436907;-35.57807855764607
1739209806.2436934;-38.13080360867914
1739209806.243696;-45.120503652039325
1739209806.2436986;-38.13080360867914
1739209806.2437012;-38.13080360867914
1739209806.2437038;-38.13080360867914
1739209806.2437062;-45.120503652039325
1739209806.2437088;-45.120503652039325
1739209806.2437115;-35.57807855764607
1739209806.243714;-38.13080360867914
1739209806.2437167;-45.120503652039325
1739209806.2437193;-35.57807855764607
1739209806.2437217;-38.13080360867914
1739209806.2437243;-38.13080360867914
1739209806.243727;-45.120503652039325
1739209806.2437296;-35.57807855764607
1739209806.2437322;-35.57807855764607
1739209806.2437348;-38.13080360867914
1739209806.2437372;-45.120503652039325
1739209806.2437398;-45.120503652039325
1739209806.2437425;-38.13080360867914
1739209806.243745;-45.120503652039325
1739209806.2437477;-45.120503652039325
1739209806.24375;-38.13080360867914
1739209806.2437527;-45.120503652039325
1739209806.2437553;-45.120503652039325
1739209806.243758;-38.13080360867914
1739209806.2437606;-38.13080360867914
1739209806.2437632;-45.120503652039325
1739209806.2437656;-45.120503652039325
1739209806.2437682;-38.13080360867914
1739209806.2437708;-38.13080360867914
1739209806.2437735;-45.120503652039325
1739209806.243776;-45.120503652039325
1739209806.2437787;-38.13080360867914
1739209806.243781;-38.13080360867914
1739209806.2437837;-38.13080360867914
1739209806.2437863;-38.13080360867914
1739209806.243789;-38.13080360867914
1739209806.2437916;-38.13080360867914
1739209806.2437942;-35.57807855764607
1739209806.2437966;-45.120503652039325
1739209806.2437992;-35.57807855764607
1739209806.2438018;-45.120503652039325
1739209806.2438045;-45.120503652039325
1739209806.243807;-38.13080360867914
1739209806.2438097;-35.57807855764607
1739209806.243812;-45.120503652039325
1739209806.2438147;-45.120503652039325
1739209806.2438173;-45.120503652039325
1739209806.24382;-45.120503652039325
1739209806.2438226;-38.13080360867914
1739209806.2438252;-32.816014438256545
1739209806.2438276;-38.13080360867914
1739209806.2438302;-38.13080360867914
1739209806.2438328;-38.13080360867914
1739209806.2438354;-35.57807855764607
1739209806.243838;-38.13080360867914
1739209806.2438407;-45.120503652039325
1739209806.243843;-45.120503652039325
1739209806.2438457;-45.120503652039325
1739209806.2438483;-38.13080360867914
1739209806.243851;-38.13080360867914
1739209806.2438536;-38.13080360867914
1739209806.243856;-45.120503652039325
1739209806.2438586;-38.13080360867914
1739209806.2438612;-45.120503652039325
1739209806.2438638;-38.13080360867914
1739209806.2438664;-35.57807855764607
1739209806.243869;-45.120503652039325
1739209806.2438715;-45.120503652039325
1739209806.243874;-38.13080360867914
1739209806.2438767;-30.49652367304973
1739209806.2438793;-38.13080360867914
1739209806.243882;-45.120503652039325
1739209806.2438846;-45.120503652039325
1739209806.243887;-45.120503652039325
1739209806.2438896;-38.13080360867914
1739209806.2438922;-45.120503652039325
1739209806.2438948;-45.120503652039325
1739209806.2438974;-38.13080360867914
1739209806.2439;-38.13080360867914
1739209806.2439024;-45.120503652039325
1739209806.243905;-45.120503652039325
1739209806.2439077;-45.120503652039325
1739209806.2439103;-38.13080360867914
1739209806.243913;-35.57807855764607
1739209806.2439156;-38.13080360867914
1739209806.243918;-38.13080360867914
1739209806.2439206;-38.13080360867914
1739209806.2439232;-45.120503652039325
1739209806.2439258;-32.816014438256545
1739209806.2439284;-26.991370085610736
1739209806.243931;-38.13080360867914
1739209806.2439334;-35.57807855764607
1739209806.243936;-38.13080360867914
1739209806.2439387;-38.13080360867914
1739209806.2439413;-38.13080360867914
1739209806.243944;-32.816014438256545
1739209806.2439466;-38.13080360867914
1739209806.243949;-32.81601443825658
1739209806.2439516;-38.13080360867914
1739209806.2439542;-32.816014438256545
1739209806.2439568;-38.13080360867914
1739209806.2439594;-45.120503652039325
1739209806.2439618;-35.57807855764607
1739209806.2439644;-38.13080360867914
1739209806.243967;-35.57807855764607
1739209806.2439697;-26.991370085610736
1739209806.2439723;-38.13080360867914
1739209806.243975;-45.120503652039325
1739209806.2439773;-38.13080360867914
1739209806.24398;-35.57807855764607
1739209806.2439826;-45.120503652039325
1739209806.2439852;-38.13080360867914
1739209806.2439878;-38.13080360867914
1739209806.2439904;-45.120503652039325
