CAN Message; 0x1d3:0000fd55bdb5f073
Timestamp;Amplitude
1739209736.331104;-38.13080360867914
1739209736.331115;-33.981070128970906
1739209736.331126;-38.13080360867914
1739209736.3311372;-38.13080360867914
1739209736.3311481;-33.981070128970906
1739209736.3311594;-45.120503652039325
1739209736.3311703;-38.13080360867914
1739209736.3311815;-45.120503652039325
1739209736.3311925;-38.13080360867914
1739209736.3312037;-38.13080360867914
1739209736.3312147;-33.981070128970906
1739209736.3312259;-45.120503652039325
1739209736.3312368;-38.13080360867914
1739209736.3312478;-38.13080360867914
1739209736.331259;-45.120503652039325
1739209736.33127;-38.13080360867914
1739209736.3312812;-45.120503652039325
1739209736.3312922;-38.13080360867914
1739209736.3313034;-38.13080360867914
1739209736.3313143;-45.120503652039325
1739209736.3313255;-38.13080360867914
1739209736.3313365;-27.267205301931607
1739209736.3313475;-38.13080360867914
1739209736.3313587;-45.120503652039325
1739209736.3313696;-38.13080360867914
1739209736.3313808;-33.981070128970906
1739209736.3313918;-45.120503652039325
1739209736.331403;-45.120503652039325
1739209736.331414;-45.120503652039325
1739209736.3314252;-32.81601443825658
1739209736.3314362;-38.13080360867914
1739209736.3314474;-38.13080360867914
1739209736.3314583;-38.13080360867914
1739209736.3314693;-38.13080360867914
1739209736.3314805;-38.13080360867914
1739209736.3314915;-45.120503652039325
1739209736.3315027;-38.13080360867914
1739209736.3315136;-28.992665084841942
1739209736.3315248;-45.120503652039325
1739209736.3315358;-38.13080360867914
1739209736.331547;-45.120503652039325
1739209736.331558;-38.13080360867914
1739209736.331569;-45.120503652039325
1739209736.3315802;-45.120503652039325
1739209736.3315911;-45.120503652039325
1739209736.3316023;-38.13080360867914
1739209736.3316133;-45.120503652039325
1739209736.3316245;-45.120503652039325
1739209736.3316355;-38.13080360867914
1739209736.3316467;-45.120503652039325
1739209736.3316576;-38.13080360867914
1739209736.3316686;-45.120503652039325
1739209736.3316798;-38.13080360867914
1739209736.3316908;-33.981070128970906
1739209736.331702;-45.120503652039325
1739209736.331713;-45.120503652039325
1739209736.3317242;-38.13080360867914
1739209736.3317351;-45.120503652039325
1739209736.3317463;-45.120503652039325
1739209736.3317573;-45.120503652039325
1739209736.3317685;-45.120503652039325
1739209736.3317795;-45.120503652039325
1739209736.3317904;-45.120503652039325
1739209736.3318017;-45.120503652039325
1739209736.3318126;-38.13080360867914
1739209736.3318238;-38.13080360867914
1739209736.3318348;-38.13080360867914
1739209736.331846;-45.120503652039325
1739209736.331857;-35.57807855764607
1739209736.3318682;-38.13080360867914
1739209736.3318791;-35.57807855764607
1739209736.33189;-38.13080360867914
1739209736.3319013;-45.120503652039325
1739209736.3319123;-45.120503652039325
1739209736.3319235;-45.120503652039325
1739209736.3319345;-45.120503652039325
1739209736.3319457;-45.120503652039325
1739209736.3319566;-45.120503652039325
1739209736.3319678;-45.120503652039325
1739209736.3319788;-45.120503652039325
1739209736.33199;-45.120503652039325
1739209736.332001;-35.57807855764607
1739209736.332012;-38.13080360867914
1739209736.3320231;-38.13080360867914
1739209736.332034;-33.981070128970906
1739209736.3320453;-45.120503652039325
1739209736.3320563;-45.120503652039325
1739209736.3320675;-38.13080360867914
1739209736.3320785;-38.13080360867914
1739209736.3320897;-45.120503652039325
1739209736.3321006;-45.120503652039325
1739209736.3321116;-33.981070128970906
1739209736.3321228;-38.13080360867914
1739209736.3321338;-32.816014438256545
1739209736.332145;-33.981070128970906
1739209736.332156;-33.981070128970906
1739209736.3321671;-38.13080360867914
1739209736.332178;-35.57807855764607
1739209736.3321893;-38.13080360867914
1739209736.3322003;-38.13080360867914
1739209736.3322115;-32.816014438256545
1739209736.3322225;-45.120503652039325
1739209736.3322334;-45.120503652039325
1739209736.3322446;-35.57807855764607
1739209736.3322556;-38.13080360867914
1739209736.3322668;-45.120503652039325
1739209736.3322778;-45.120503652039325
1739209736.332289;-38.13080360867914
1739209736.3323;-45.120503652039325
1739209736.3323112;-38.13080360867914
1739209736.3323221;-38.13080360867914
1739209736.332333;-33.981070128970906
1739209736.3323443;-38.13080360867914
1739209736.3323553;-45.120503652039325
1739209736.3323665;-38.13080360867914
1739209736.3323774;-38.13080360867914
1739209736.3323886;-38.13080360867914
1739209736.3323996;-45.120503652039325
1739209736.3324108;-38.13080360867914
1739209736.3324218;-33.981070128970906
1739209736.3324327;-35.57807855764607
1739209736.332444;-38.13080360867914
1739209736.332455;-38.13080360867914
1739209736.3324661;-38.13080360867914
1739209736.332477;-45.120503652039325
1739209736.3324883;-45.120503652039325
1739209736.3324993;-38.13080360867914
1739209736.3325105;-35.57807855764607
1739209736.3325214;-38.13080360867914
1739209736.3325326;-45.120503652039325
1739209736.3325436;-45.120503652039325
1739209736.3325546;-38.13080360867914
1739209736.3325658;-45.120503652039325
1739209736.3325768;-38.13080360867914
1739209736.332588;-38.13080360867914
1739209736.332599;-38.13080360867914
1739209736.3326101;-38.13080360867914
1739209736.332621;-38.13080360867914
1739209736.3326323;-38.13080360867914
1739209736.3326433;-45.120503652039325
1739209736.3326542;-45.120503652039325
1739209736.3326654;-38.13080360867914
1739209736.3326764;-31.141103565318915
1739209736.3326876;-38.13080360867914
1739209736.3326986;-45.120503652039325
1739209736.3327098;-45.120503652039325
1739209736.3327208;-33.981070128970906
1739209736.332732;-38.13080360867914
1739209736.332743;-45.120503652039325
1739209736.3327541;-45.120503652039325
1739209736.332765;-38.13080360867914
1739209736.332776;-45.120503652039325
1739209736.3327873;-45.120503652039325
1739209736.3327982;-45.120503652039325
1739209736.3328094;-45.120503652039325
1739209736.3328204;-45.120503652039325
1739209736.3328316;-38.13080360867914
1739209736.3328426;-38.13080360867914
1739209736.3328538;-32.816014438256545
1739209736.3328648;-33.981070128970906
1739209736.3328757;-45.120503652039325
1739209736.332887;-45.120503652039325
1739209736.332898;-33.981070128970906
1739209736.332909;-38.13080360867914
1739209736.33292;-38.13080360867914
1739209736.3329313;-45.120503652039325
1739209736.3329422;-31.141103565318915
1739209736.3329535;-33.981070128970906
1739209736.3329644;-45.120503652039325
1739209736.3329754;-38.13080360867914
1739209736.3329866;-45.120503652039325
1739209736.3329976;-38.13080360867914
1739209736.3330088;-38.13080360867914
1739209736.3330197;-38.13080360867914
1739209736.333031;-30.49652367304973
1739209736.333042;-28.992665084841942
1739209736.333053;-45.120503652039325
1739209736.333064;-45.120503652039325
1739209736.3330753;-38.13080360867914
1739209736.3330863;-38.13080360867914
1739209736.3330972;-33.981070128970906
1739209736.3331084;-45.120503652039325
1739209736.3331194;-45.120503652039325
1739209736.3331306;-38.13080360867914
1739209736.3331416;-35.57807855764607
1739209736.3331528;-45.120503652039325
1739209736.3331637;-45.120503652039325
1739209736.333175;-38.13080360867914
1739209736.333186;-38.13080360867914
1739209736.3331969;-38.13080360867914
1739209736.333208;-33.981070128970906
1739209736.333219;-28.992665084841942
1739209736.3332303;-38.13080360867914
1739209736.3332412;-45.120503652039325
1739209736.3332524;-38.13080360867914
1739209736.3332634;-38.13080360867914
1739209736.3332746;-38.13080360867914
1739209736.3332856;-45.120503652039325
1739209736.3332968;-45.120503652039325
1739209736.3333077;-38.13080360867914
1739209736.3333187;-45.120503652039325
1739209736.33333;-45.120503652039325
1739209736.333341;-38.13080360867914
1739209736.333352;-38.13080360867914
1739209736.333363;-38.13080360867914
1739209736.3333743;-45.120503652039325
1739209736.3333852;-45.120503652039325
1739209736.3333964;-45.120503652039325
1739209736.3334074;-45.120503652039325
1739209736.3334184;-33.981070128970906
1739209736.3334296;-45.120503652039325
1739209736.3334405;-38.13080360867914
1739209736.3334517;-38.13080360867914
1739209736.3334627;-45.120503652039325
1739209736.333474;-38.13080360867914
1739209736.333485;-38.13080360867914
1739209736.333496;-45.120503652039325
1739209736.333507;-38.13080360867914
1739209736.3335183;-45.120503652039325
1739209736.3335292;-45.120503652039325
1739209736.3335402;-38.13080360867914
1739209736.3335514;-38.13080360867914
1739209736.3335624;-45.120503652039325
1739209736.3335736;-45.120503652039325
1739209736.3335845;-38.13080360867914
1739209736.3335958;-35.57807855764607
1739209736.3336067;-38.13080360867914
1739209736.333618;-45.120503652039325
1739209736.333629;-45.120503652039325
1739209736.3336399;-38.13080360867914
1739209736.333651;-38.13080360867914
1739209736.333662;-26.991370085610722
1739209736.3336732;-32.816014438256545
1739209736.3336842;-38.13080360867914
1739209736.3336954;-38.13080360867914
1739209736.3337064;-38.13080360867914
1739209736.3337176;-45.120503652039325
1739209736.3337286;-35.57807855764607
1739209736.3337395;-38.13080360867914
1739209736.3337507;-33.981070128970956
1739209736.3337617;-38.13080360867914
