CAN Message; 0x1a7:0000e0bc38968105
Timestamp;Amplitude
1739209706.3233616;-38.13080360867914
1739209706.3233638;-45.120503652039325
1739209706.3233662;-30.49652367304973
1739209706.3233683;-29.438486411369333
1739209706.3233705;-35.57807855764607
1739209706.3233726;-27.267205301931607
1739209706.3233747;-31.141103565318943
1739209706.323377;-30.49652367304973
1739209706.323379;-26.991370085610722
1739209706.3233814;-38.13080360867914
1739209706.3233836;-45.120503652039325
1739209706.3233857;-45.120503652039325
1739209706.3233879;-45.120503652039325
1739209706.32339;-38.13080360867914
1739209706.3233922;-45.120503652039325
1739209706.3233943;-33.981070128970956
1739209706.3233967;-38.13080360867914
1739209706.3233988;-38.13080360867914
1739209706.323401;-38.13080360867914
1739209706.3234031;-30.49652367304973
1739209706.3234053;-31.141103565318915
1739209706.3234074;-31.141103565318915
1739209706.3234098;-29.438486411369354
1739209706.323412;-45.120503652039325
1739209706.323414;-33.981070128970906
1739209706.3234162;-32.816014438256545
1739209706.3234184;-26.035653463252796
1739209706.3234205;-31.141103565318943
1739209706.3234227;-28.58837851428586
1739209706.323425;-31.141103565318893
1739209706.3234272;-33.981070128970906
1739209706.3234293;-26.991370085610736
1739209706.3234315;-30.49652367304973
1739209706.3234336;-38.13080360867914
1739209706.3234358;-38.13080360867914
1739209706.323438;-45.120503652039325
1739209706.3234403;-30.49652367304976
1739209706.3234425;-31.141103565318915
1739209706.3234446;-29.438486411369354
1739209706.3234468;-25.826314394896357
1739209706.323449;-25.252786309376837
1739209706.323451;-38.13080360867914
1739209706.3234532;-45.120503652039325
1739209706.3234556;-45.120503652039325
1739209706.3234577;-45.120503652039325
1739209706.3234599;-26.991370085610747
1739209706.323462;-26.991370085610736
1739209706.3234642;-30.49652367304973
1739209706.3234663;-45.120503652039325
1739209706.3234684;-32.816014438256545
1739209706.3234708;-31.141103565318893
1739209706.323473;-28.58837851428586
1739209706.3234751;-25.826314394896357
1739209706.3234773;-24.292649948874775
1739209706.3234794;-28.992665084841942
1739209706.3234816;-38.13080360867914
1739209706.3234837;-45.120503652039325
1739209706.323486;-33.981070128970906
1739209706.3234882;-33.981070128970906
1739209706.3234904;-45.120503652039325
1739209706.3234925;-45.120503652039325
1739209706.3234947;-30.49652367304973
1739209706.3234968;-28.992665084841942
1739209706.323499;-38.13080360867914
1739209706.3235013;-45.120503652039325
1739209706.3235035;-38.13080360867914
1739209706.3235056;-32.816014438256545
1739209706.3235078;-45.120503652039325
1739209706.32351;-45.120503652039325
1739209706.323512;-33.981070128970906
1739209706.3235142;-31.141103565318915
1739209706.3235166;-35.57807855764607
1739209706.3235188;-38.13080360867914
1739209706.323521;-30.49652367304973
1739209706.323523;-30.49652367304973
1739209706.3235252;-27.8777449560314
1739209706.3235273;-30.49652367304973
1739209706.3235295;-31.141103565318943
1739209706.3235319;-29.438486411369333
1739209706.323534;-32.816014438256545
1739209706.3235362;-30.49652367304976
1739209706.3235383;-24.438645034577675
1739209706.3235404;-25.252786309376837
1739209706.3235426;-45.120503652039325
1739209706.3235447;-38.13080360867914
1739209706.3235471;-38.13080360867914
1739209706.3235493;-38.13080360867914
1739209706.3235514;-45.120503652039325
1739209706.3235536;-26.991370085610722
1739209706.3235557;-35.57807855764607
1739209706.3235579;-33.981070128970906
1739209706.32356;-30.49652367304973
1739209706.3235624;-26.487275050834715
1739209706.3235645;-35.57807855764607
1739209706.3235667;-35.57807855764607
1739209706.3235688;-38.13080360867914
1739209706.323571;-31.141103565318915
1739209706.323573;-32.816014438256545
1739209706.3235753;-45.120503652039325
1739209706.3235776;-38.13080360867914
1739209706.3235798;-32.816014438256545
1739209706.323582;-45.120503652039325
1739209706.323584;-24.589719217205094
1739209706.3235862;-27.8777449560314
1739209706.3235884;-33.981070128970906
1739209706.3235905;-31.141103565318915
1739209706.323593;-33.981070128970906
1739209706.323595;-32.816014438256545
1739209706.3235972;-33.981070128970906
1739209706.3235993;-35.57807855764607
1739209706.3236015;-31.141103565318915
1739209706.3236036;-38.13080360867914
1739209706.3236058;-27.267205301931607
1739209706.3236082;-38.13080360867914
1739209706.3236103;-38.13080360867914
