CAN Message; 0x1a7:0000d1bcdf5e19a7
Timestamp;Amplitude
1739209686.6630487;-45.120503652039325
1739209686.6630511;-45.120503652039325
1739209686.6630538;-45.120503652039325
1739209686.6630564;-38.13080360867914
1739209686.663059;-38.13080360867914
1739209686.6630616;-38.13080360867914
1739209686.663064;-45.120503652039325
1739209686.6630666;-30.49652367304973
1739209686.6630692;-38.13080360867914
1739209686.6630719;-45.120503652039325
1739209686.6630745;-45.120503652039325
1739209686.6630769;-32.816014438256545
1739209686.6630795;-29.438486411369333
1739209686.6630821;-45.120503652039325
1739209686.6630847;-45.120503652039325
1739209686.6630874;-45.120503652039325
1739209686.6630898;-33.981070128970906
1739209686.6630924;-45.120503652039325
1739209686.663095;-38.13080360867914
1739209686.6630976;-38.13080360867914
1739209686.6631002;-45.120503652039325
1739209686.6631026;-45.120503652039325
1739209686.6631052;-45.120503652039325
1739209686.6631079;-38.13080360867914
1739209686.6631105;-45.120503652039325
1739209686.663113;-45.120503652039325
1739209686.6631155;-45.120503652039325
1739209686.6631181;-35.57807855764607
1739209686.6631207;-33.981070128970906
1739209686.6631234;-38.13080360867914
1739209686.6631258;-38.13080360867914
1739209686.6631284;-35.57807855764607
1739209686.663131;-28.58837851428586
1739209686.6631336;-45.120503652039325
1739209686.6631362;-45.120503652039325
1739209686.6631386;-33.981070128970906
1739209686.6631413;-35.57807855764607
1739209686.6631439;-45.120503652039325
1739209686.6631465;-45.120503652039325
1739209686.663149;-45.120503652039325
1739209686.6631515;-45.120503652039325
1739209686.6631541;-45.120503652039325
1739209686.6631567;-45.120503652039325
1739209686.6631594;-35.57807855764607
1739209686.663162;-38.13080360867914
1739209686.6631644;-45.120503652039325
1739209686.663167;-45.120503652039325
1739209686.6631696;-38.13080360867914
1739209686.6631722;-35.57807855764607
1739209686.6631749;-38.13080360867914
1739209686.6631773;-45.120503652039325
1739209686.6631799;-35.57807855764607
1739209686.6631825;-28.58837851428586
1739209686.6631851;-45.120503652039325
1739209686.6631877;-45.120503652039325
1739209686.6631901;-38.13080360867914
1739209686.6631927;-31.141103565318915
1739209686.6631954;-38.13080360867914
1739209686.663198;-38.13080360867914
1739209686.6632006;-45.120503652039325
1739209686.663203;-45.120503652039325
1739209686.6632056;-45.120503652039325
1739209686.6632082;-45.120503652039325
1739209686.6632109;-38.13080360867914
1739209686.6632135;-45.120503652039325
1739209686.6632159;-45.120503652039325
1739209686.6632185;-45.120503652039325
1739209686.6632211;-45.120503652039325
1739209686.6632237;-35.57807855764607
1739209686.6632261;-38.13080360867914
1739209686.6632288;-45.120503652039325
1739209686.6632314;-38.13080360867914
1739209686.663234;-33.981070128970906
1739209686.6632366;-45.120503652039325
1739209686.663239;-45.120503652039325
1739209686.6632416;-38.13080360867914
1739209686.6632442;-33.981070128970906
1739209686.6632469;-38.13080360867914
1739209686.6632495;-45.120503652039325
1739209686.6632519;-45.120503652039325
1739209686.6632545;-33.981070128970906
1739209686.6632571;-45.120503652039325
1739209686.6632597;-45.120503652039325
1739209686.6632624;-35.57807855764607
1739209686.6632648;-38.13080360867914
1739209686.6632674;-45.120503652039325
1739209686.66327;-45.120503652039325
1739209686.6632726;-38.13080360867914
1739209686.6632752;-38.13080360867914
1739209686.6632776;-45.120503652039325
1739209686.6632802;-45.120503652039325
1739209686.6632829;-38.13080360867914
1739209686.6632855;-27.267205301931607
1739209686.663288;-33.981070128970906
1739209686.6632905;-38.13080360867914
1739209686.6632931;-45.120503652039325
1739209686.6632957;-32.816014438256545
1739209686.6632984;-38.13080360867914
1739209686.663301;-45.120503652039325
1739209686.6633034;-45.120503652039325
1739209686.663306;-38.13080360867914
1739209686.6633086;-38.13080360867914
1739209686.6633112;-45.120503652039325
1739209686.6633139;-38.13080360867914
1739209686.6633162;-45.120503652039325
1739209686.6633189;-45.120503652039325
1739209686.6633215;-45.120503652039325
1739209686.663324;-45.120503652039325
1739209686.6633265;-45.120503652039325
1739209686.6633291;-38.13080360867914
1739209686.6633317;-38.13080360867914
1739209686.6633344;-35.57807855764607
1739209686.663337;-38.13080360867914
1739209686.6633394;-45.120503652039325
1739209686.663342;-45.120503652039325
1739209686.6633446;-38.13080360867914
1739209686.6633472;-38.13080360867914
1739209686.6633499;-38.13080360867914
1739209686.6633523;-38.13080360867914
1739209686.6633549;-38.13080360867914
1739209686.6633575;-33.981070128970906
1739209686.66336;-38.13080360867914
1739209686.6633627;-45.120503652039325
1739209686.6633651;-35.57807855764607
1739209686.6633677;-33.981070128970906
1739209686.6633704;-45.120503652039325
1739209686.663373;-38.13080360867914
1739209686.6633756;-35.57807855764607
1739209686.663378;-38.13080360867914
1739209686.6633806;-45.120503652039325
1739209686.6633832;-45.120503652039325
1739209686.6633859;-33.981070128970906
1739209686.6633885;-33.981070128970906
1739209686.6633909;-33.981070128970906
1739209686.6633935;-38.13080360867914
1739209686.6633961;-45.120503652039325
1739209686.6633987;-38.13080360867914
1739209686.6634014;-35.57807855764607
1739209686.6634037;-38.13080360867914
1739209686.6634064;-35.57807855764607
1739209686.663409;-32.816014438256545
1739209686.6634116;-45.120503652039325
1739209686.6634142;-45.120503652039325
1739209686.6634166;-45.120503652039325
1739209686.6634192;-45.120503652039325
1739209686.6634219;-45.120503652039325
1739209686.6634245;-45.120503652039325
1739209686.6634269;-45.120503652039325
1739209686.6634295;-38.13080360867914
1739209686.6634321;-38.13080360867914
1739209686.6634347;-38.13080360867914
1739209686.6634374;-38.13080360867914
1739209686.6634398;-35.57807855764607
1739209686.6634424;-38.13080360867914
1739209686.663445;-45.120503652039325
1739209686.6634476;-45.120503652039325
1739209686.6634502;-38.13080360867914
1739209686.6634526;-38.13080360867914
1739209686.6634552;-38.13080360867914
1739209686.6634579;-38.13080360867914
1739209686.6634605;-45.120503652039325
1739209686.663463;-38.13080360867914
1739209686.6634655;-38.13080360867914
1739209686.6634681;-45.120503652039325
1739209686.6634707;-45.120503652039325
1739209686.6634734;-45.120503652039325
1739209686.663476;-45.120503652039325
1739209686.6634784;-45.120503652039325
1739209686.663481;-38.13080360867914
1739209686.6634836;-38.13080360867914
1739209686.6634862;-38.13080360867914
1739209686.6634889;-38.13080360867914
1739209686.6634912;-45.120503652039325
1739209686.6634939;-31.141103565318893
1739209686.6634965;-35.57807855764607
1739209686.663499;-45.120503652039325
1739209686.6635017;-45.120503652039325
1739209686.6635041;-35.57807855764607
1739209686.6635067;-35.57807855764607
1739209686.6635094;-45.120503652039325
1739209686.663512;-45.120503652039325
1739209686.6635146;-45.120503652039325
1739209686.663517;-45.120503652039325
1739209686.6635196;-45.120503652039325
1739209686.6635222;-45.120503652039325
1739209686.6635249;-33.981070128970906
1739209686.6635273;-38.13080360867914
1739209686.6635299;-38.13080360867914
1739209686.6635325;-45.120503652039325
1739209686.663535;-32.816014438256545
1739209686.6635377;-35.57807855764607
1739209686.6635401;-38.13080360867914
1739209686.6635427;-38.13080360867914
1739209686.6635454;-35.57807855764607
1739209686.663548;-35.57807855764607
1739209686.6635506;-45.120503652039325
1739209686.663553;-45.120503652039325
1739209686.6635556;-35.57807855764607
1739209686.6635582;-30.49652367304973
1739209686.6635609;-45.120503652039325
1739209686.6635635;-45.120503652039325
1739209686.6635659;-45.120503652039325
1739209686.6635685;-45.120503652039325
1739209686.6635711;-45.120503652039325
1739209686.6635737;-38.13080360867914
1739209686.6635764;-45.120503652039325
1739209686.6635787;-45.120503652039325
1739209686.6635814;-45.120503652039325
1739209686.663584;-45.120503652039325
1739209686.6635866;-38.13080360867914
1739209686.6635892;-38.13080360867914
1739209686.6635916;-38.13080360867914
1739209686.6635942;-45.120503652039325
1739209686.6635969;-31.141103565318893
1739209686.6635995;-29.438486411369333
1739209686.663602;-35.57807855764607
1739209686.6636045;-35.57807855764607
1739209686.6636071;-35.57807855764607
1739209686.6636097;-32.816014438256545
1739209686.6636124;-38.13080360867914
1739209686.663615;-38.13080360867914
1739209686.6636174;-45.120503652039325
1739209686.66362;-33.981070128970956
1739209686.6636226;-38.13080360867914
1739209686.6636252;-38.13080360867914
1739209686.6636276;-45.120503652039325
1739209686.6636302;-45.120503652039325
1739209686.6636329;-45.120503652039325
1739209686.6636355;-33.981070128970906
1739209686.663638;-38.13080360867914
1739209686.6636405;-38.13080360867914
1739209686.6636431;-38.13080360867914
1739209686.6636457;-35.57807855764607
1739209686.6636484;-38.13080360867914
1739209686.663651;-45.120503652039325
1739209686.6636534;-33.981070128970906
1739209686.663656;-45.120503652039325
1739209686.6636586;-45.120503652039325
1739209686.6636612;-45.120503652039325
1739209686.6636639;-45.120503652039325
1739209686.6636662;-45.120503652039325
1739209686.6636689;-38.13080360867914
1739209686.6636715;-35.57807855764607
1739209686.663674;-45.120503652039325
1739209686.6636767;-38.13080360867914
1739209686.6636791;-45.120503652039325
1739209686.6636817;-38.13080360867914
1739209686.6636844;-38.13080360867914
1739209686.663687;-38.13080360867914
1739209686.6636896;-45.120503652039325
1739209686.663692;-45.120503652039325
1739209686.6636946;-35.57807855764607
1739209686.6636972;-38.13080360867914
1739209686.6636999;-38.13080360867914
1739209686.6637025;-26.991370085610722
1739209686.6637049;-38.13080360867914
1739209686.6637075;-45.120503652039325
1739209686.66371;-38.13080360867914
1739209686.6637127;-32.816014438256545
1739209686.6637154;-45.120503652039325
1739209686.6637177;-45.120503652039325
1739209686.6637204;-45.120503652039325
1739209686.663723;-33.981070128970956
1739209686.6637256;-45.120503652039325
1739209686.663728;-38.13080360867914
1739209686.6637306;-45.120503652039325
1739209686.6637332;-45.120503652039325
1739209686.6637359;-35.57807855764607
1739209686.6637385;-38.13080360867914
1739209686.6637409;-45.120503652039325
1739209686.6637435;-38.13080360867914
1739209686.663746;-38.13080360867914
1739209686.6637487;-45.120503652039325
1739209686.6637514;-38.13080360867914
1739209686.6637537;-45.120503652039325
1739209686.6637564;-45.120503652039325
1739209686.663759;-45.120503652039325
1739209686.6637616;-45.120503652039325
1739209686.6637642;-33.981070128970906
1739209686.6637666;-45.120503652039325
1739209686.6637692;-45.120503652039325
1739209686.6637719;-45.120503652039325
1739209686.6637745;-35.57807855764607
1739209686.663777;-38.13080360867914
1739209686.6637795;-38.13080360867914
1739209686.6637821;-38.13080360867914
1739209686.6637847;-45.120503652039325
1739209686.6637874;-45.120503652039325
1739209686.66379;-45.120503652039325
1739209686.6637924;-45.120503652039325
1739209686.663795;-45.120503652039325
1739209686.6637976;-45.120503652039325
1739209686.6638002;-38.13080360867914
1739209686.6638029;-38.13080360867914
1739209686.6638052;-35.57807855764607
1739209686.6638079;-45.120503652039325
1739209686.6638105;-38.13080360867914
1739209686.663813;-38.13080360867914
1739209686.6638157;-45.120503652039325
1739209686.6638181;-45.120503652039325
1739209686.6638207;-38.13080360867914
1739209686.6638234;-35.57807855764607
1739209686.663826;-35.57807855764607
1739209686.6638284;-38.13080360867914
1739209686.663831;-38.13080360867914
1739209686.6638336;-38.13080360867914
1739209686.6638362;-33.981070128970906
1739209686.6638389;-45.120503652039325
1739209686.6638412;-45.120503652039325
1739209686.6638439;-45.120503652039325
1739209686.6638465;-45.120503652039325
1739209686.663849;-45.120503652039325
