CAN Message; 0x150:03009128293be3f3
Timestamp;Amplitude
1739209879.9816241;-38.13080360867914
1739209879.9816313;-45.120503652039325
1739209879.9816382;-38.13080360867914
1739209879.981645;-35.57807855764607
1739209879.981652;-35.57807855764607
1739209879.9816592;-45.120503652039325
1739209879.981666;-38.13080360867914
1739209879.981673;-38.13080360867914
1739209879.9816802;-45.120503652039325
1739209879.981687;-45.120503652039325
1739209879.981694;-45.120503652039325
1739209879.9817011;-45.120503652039325
1739209879.981708;-45.120503652039325
1739209879.981715;-38.13080360867914
1739209879.9817219;-38.13080360867914
1739209879.981729;-45.120503652039325
1739209879.981736;-38.13080360867914
1739209879.9817429;-38.13080360867914
1739209879.98175;-38.13080360867914
1739209879.981757;-38.13080360867914
1739209879.9817638;-38.13080360867914
1739209879.981771;-38.13080360867914
1739209879.981778;-33.981070128970906
1739209879.9817848;-45.120503652039325
1739209879.9817917;-38.13080360867914
1739209879.981799;-45.120503652039325
1739209879.9818058;-45.120503652039325
1739209879.9818127;-33.981070128970906
1739209879.9818199;-38.13080360867914
1739209879.9818268;-45.120503652039325
1739209879.9818337;-45.120503652039325
1739209879.9818406;-33.981070128970906
1739209879.9818478;-45.120503652039325
1739209879.9818547;-38.13080360867914
1739209879.9818616;-33.981070128970906
1739209879.9818687;-45.120503652039325
1739209879.9818757;-45.120503652039325
1739209879.9818826;-38.13080360867914
1739209879.9818897;-38.13080360867914
1739209879.9818966;-38.13080360867914
1739209879.9819036;-45.120503652039325
1739209879.9819105;-38.13080360867914
1739209879.9819176;-38.13080360867914
1739209879.9819245;-28.992665084841942
1739209879.9819314;-45.120503652039325
1739209879.9819386;-35.57807855764607
1739209879.9819455;-38.13080360867914
1739209879.9819524;-33.981070128970906
1739209879.9819596;-45.120503652039325
1739209879.9819665;-38.13080360867914
1739209879.9819734;-38.13080360867914
1739209879.9819803;-45.120503652039325
1739209879.9819875;-45.120503652039325
1739209879.9819944;-35.57807855764607
1739209879.9820013;-45.120503652039325
1739209879.9820085;-38.13080360867914
1739209879.9820154;-32.816014438256545
1739209879.9820223;-45.120503652039325
1739209879.9820294;-45.120503652039325
1739209879.9820364;-38.13080360867914
1739209879.9820433;-35.57807855764607
1739209879.9820502;-45.120503652039325
1739209879.9820573;-38.13080360867914
1739209879.9820642;-38.13080360867914
1739209879.9820712;-35.57807855764607
1739209879.9820783;-38.13080360867914
1739209879.9820852;-38.13080360867914
1739209879.9820921;-30.49652367304973
1739209879.982099;-35.57807855764607
1739209879.9821062;-38.13080360867914
1739209879.9821131;-45.120503652039325
1739209879.98212;-45.120503652039325
1739209879.9821272;-45.120503652039325
1739209879.982134;-35.57807855764607
1739209879.982141;-33.981070128970906
1739209879.9821482;-28.992665084841967
1739209879.982155;-45.120503652039325
1739209879.982162;-45.120503652039325
1739209879.982169;-38.13080360867914
1739209879.982176;-38.13080360867914
1739209879.982183;-38.13080360867914
1739209879.98219;-45.120503652039325
1739209879.982197;-45.120503652039325
1739209879.982204;-25.252786309376837
1739209879.9822109;-38.13080360867914
1739209879.982218;-45.120503652039325
1739209879.982225;-38.13080360867914
1739209879.9822319;-30.49652367304973
1739209879.9822388;-38.13080360867914
1739209879.982246;-45.120503652039325
1739209879.9822528;-38.13080360867914
1739209879.9822598;-45.120503652039325
1739209879.982267;-45.120503652039325
1739209879.9822738;-45.120503652039325
1739209879.9822807;-45.120503652039325
1739209879.9822876;-45.120503652039325
1739209879.9822948;-45.120503652039325
1739209879.9823017;-38.13080360867914
1739209879.9823086;-45.120503652039325
1739209879.9823158;-45.120503652039325
1739209879.9823227;-45.120503652039325
1739209879.9823296;-32.816014438256545
1739209879.9823368;-38.13080360867914
1739209879.9823437;-45.120503652039325
1739209879.9823506;-45.120503652039325
1739209879.9823575;-32.816014438256545
1739209879.9823647;-38.13080360867914
1739209879.9823716;-32.816014438256545
1739209879.9823785;-31.141103565318893
1739209879.9823856;-38.13080360867914
1739209879.9823925;-45.120503652039325
1739209879.9823995;-38.13080360867914
1739209879.9824066;-38.13080360867914
1739209879.9824135;-45.120503652039325
1739209879.9824204;-45.120503652039325
1739209879.9824274;-38.13080360867914
1739209879.9824345;-45.120503652039325
1739209879.9824414;-38.13080360867914
1739209879.9824483;-45.120503652039325
1739209879.9824555;-45.120503652039325
1739209879.9824624;-38.13080360867914
1739209879.9824693;-38.13080360867914
1739209879.9824762;-45.120503652039325
1739209879.9824834;-29.438486411369333
1739209879.9824903;-27.8777449560314
1739209879.9824972;-38.13080360867914
1739209879.9825044;-45.120503652039325
1739209879.9825113;-35.57807855764607
1739209879.9825182;-38.13080360867914
1739209879.9825253;-45.120503652039325
1739209879.9825323;-38.13080360867914
1739209879.9825392;-45.120503652039325
1739209879.982546;-38.13080360867914
1739209879.9825532;-38.13080360867914
1739209879.9825602;-38.13080360867914
1739209879.982567;-32.816014438256545
1739209879.9825742;-35.57807855764607
1739209879.9825811;-45.120503652039325
1739209879.982588;-45.120503652039325
1739209879.9825952;-35.57807855764607
1739209879.9826021;-35.57807855764607
1739209879.982609;-45.120503652039325
1739209879.982616;-45.120503652039325
1739209879.982623;-45.120503652039325
1739209879.98263;-45.120503652039325
1739209879.982637;-38.13080360867914
1739209879.982644;-45.120503652039325
1739209879.982651;-38.13080360867914
1739209879.982658;-31.141103565318915
1739209879.982665;-45.120503652039325
1739209879.982672;-45.120503652039325
1739209879.982679;-35.57807855764607
1739209879.9826858;-32.816014438256545
1739209879.982693;-45.120503652039325
1739209879.9826999;-45.120503652039325
1739209879.9827068;-38.13080360867914
1739209879.982714;-45.120503652039325
1739209879.9827209;-38.13080360867914
1739209879.9827278;-35.57807855764607
1739209879.9827347;-45.120503652039325
1739209879.9827418;-38.13080360867914
1739209879.9827487;-30.49652367304973
1739209879.9827557;-31.141103565318915
1739209879.9827628;-38.13080360867914
1739209879.9827697;-33.981070128970906
1739209879.9827766;-30.49652367304973
1739209879.9827838;-33.981070128970956
1739209879.9827907;-26.991370085610722
