CAN Message; 0x98:00002df07c4ca8ad
Timestamp;Amplitude
1739209765.1790812;-45.120503652039325
1739209765.179087;-35.57807855764607
1739209765.1790926;-45.120503652039325
1739209765.1790984;-45.120503652039325
1739209765.179104;-38.13080360867914
1739209765.1791098;-35.57807855764607
1739209765.1791155;-38.13080360867914
1739209765.1791213;-38.13080360867914
1739209765.179127;-35.57807855764607
1739209765.1791327;-45.120503652039325
1739209765.1791384;-33.981070128970906
1739209765.1791444;-32.816014438256545
1739209765.17915;-38.13080360867914
1739209765.1791558;-38.13080360867914
1739209765.1791615;-38.13080360867914
1739209765.1791673;-38.13080360867914
1739209765.179173;-38.13080360867914
1739209765.1791787;-35.57807855764607
1739209765.1791844;-45.120503652039325
1739209765.1791902;-45.120503652039325
1739209765.179196;-45.120503652039325
1739209765.1792016;-38.13080360867914
1739209765.1792073;-45.120503652039325
1739209765.179213;-38.13080360867914
1739209765.179219;-45.120503652039325
1739209765.1792247;-38.13080360867914
1739209765.1792305;-38.13080360867914
1739209765.1792362;-38.13080360867914
1739209765.179242;-38.13080360867914
1739209765.1792476;-45.120503652039325
1739209765.1792533;-45.120503652039325
1739209765.179259;-45.120503652039325
1739209765.1792648;-38.13080360867914
1739209765.1792705;-45.120503652039325
1739209765.1792762;-38.13080360867914
1739209765.179282;-45.120503652039325
1739209765.1792877;-45.120503652039325
1739209765.1792934;-45.120503652039325
1739209765.1792994;-45.120503652039325
1739209765.179305;-35.57807855764607
1739209765.1793108;-45.120503652039325
1739209765.1793165;-38.13080360867914
1739209765.1793222;-38.13080360867914
1739209765.179328;-33.981070128970906
1739209765.1793337;-33.981070128970906
1739209765.1793394;-45.120503652039325
1739209765.1793451;-38.13080360867914
1739209765.1793509;-38.13080360867914
1739209765.1793566;-38.13080360867914
1739209765.1793623;-45.120503652039325
1739209765.179368;-38.13080360867914
1739209765.179374;-38.13080360867914
1739209765.1793797;-38.13080360867914
1739209765.1793854;-45.120503652039325
1739209765.1793911;-38.13080360867914
1739209765.1793969;-45.120503652039325
1739209765.1794026;-45.120503652039325
1739209765.1794083;-45.120503652039325
1739209765.179414;-38.13080360867914
1739209765.1794198;-45.120503652039325
1739209765.1794255;-45.120503652039325
1739209765.1794312;-45.120503652039325
1739209765.179437;-33.981070128970906
1739209765.1794426;-32.816014438256545
1739209765.1794486;-45.120503652039325
1739209765.1794543;-35.57807855764607
1739209765.17946;-45.120503652039325
1739209765.1794658;-28.992665084841942
1739209765.1794715;-33.981070128970906
1739209765.1794772;-45.120503652039325
1739209765.179483;-45.120503652039325
1739209765.1794887;-38.13080360867914
1739209765.1794944;-38.13080360867914
1739209765.1795;-38.13080360867914
1739209765.1795058;-33.981070128970906
1739209765.1795115;-32.816014438256545
1739209765.1795173;-33.981070128970906
1739209765.1795232;-32.816014438256545
1739209765.179529;-38.13080360867914
1739209765.1795347;-45.120503652039325
1739209765.1795404;-31.141103565318915
1739209765.179546;-32.816014438256545
1739209765.1795518;-35.57807855764607
1739209765.1795576;-38.13080360867914
1739209765.1795633;-45.120503652039325
1739209765.179569;-38.13080360867914
1739209765.1795747;-45.120503652039325
1739209765.1795805;-45.120503652039325
1739209765.1795862;-38.13080360867914
1739209765.179592;-35.57807855764607
1739209765.1795979;-45.120503652039325
1739209765.1796036;-38.13080360867914
1739209765.1796093;-33.981070128970906
1739209765.179615;-38.13080360867914
1739209765.1796207;-45.120503652039325
1739209765.1796265;-45.120503652039325
1739209765.1796322;-38.13080360867914
1739209765.179638;-38.13080360867914
1739209765.1796436;-33.981070128970906
1739209765.1796494;-38.13080360867914
1739209765.179655;-30.49652367304973
1739209765.1796608;-45.120503652039325
1739209765.1796665;-45.120503652039325
1739209765.1796725;-38.13080360867914
1739209765.1796782;-38.13080360867914
1739209765.179684;-33.981070128970906
1739209765.1796896;-38.13080360867914
1739209765.1796954;-45.120503652039325
1739209765.179701;-28.992665084841942
1739209765.1797068;-35.57807855764607
1739209765.1797125;-45.120503652039325
1739209765.1797183;-38.13080360867914
1739209765.179724;-38.13080360867914
1739209765.1797297;-38.13080360867914
1739209765.1797354;-38.13080360867914
1739209765.1797411;-38.13080360867914
1739209765.179747;-28.992665084841942
1739209765.1797528;-38.13080360867914
1739209765.1797585;-38.13080360867914
1739209765.1797643;-38.13080360867914
1739209765.17977;-45.120503652039325
1739209765.1797757;-45.120503652039325
