CAN Message; 0x1d3:000042c25575a59d
Timestamp;Amplitude
1739209855.392403;-45.120503652039325
1739209855.392405;-38.13080360867914
1739209855.3924072;-38.13080360867914
1739209855.392409;-45.120503652039325
1739209855.3924112;-45.120503652039325
1739209855.3924134;-45.120503652039325
1739209855.3924155;-38.13080360867914
1739209855.3924174;-45.120503652039325
1739209855.3924196;-45.120503652039325
1739209855.3924217;-45.120503652039325
1739209855.3924236;-45.120503652039325
1739209855.3924258;-45.120503652039325
1739209855.392428;-38.13080360867914
1739209855.39243;-35.57807855764607
1739209855.392432;-33.981070128970906
1739209855.3924341;-38.13080360867914
1739209855.3924363;-38.13080360867914
1739209855.3924384;-38.13080360867914
1739209855.3924403;-38.13080360867914
1739209855.3924425;-45.120503652039325
1739209855.3924446;-38.13080360867914
1739209855.3924468;-38.13080360867914
1739209855.3924487;-45.120503652039325
1739209855.3924508;-45.120503652039325
1739209855.392453;-45.120503652039325
1739209855.392455;-38.13080360867914
1739209855.392457;-30.49652367304973
1739209855.3924592;-38.13080360867914
1739209855.3924613;-45.120503652039325
1739209855.3924634;-45.120503652039325
1739209855.3924654;-33.981070128970906
1739209855.3924675;-38.13080360867914
1739209855.3924696;-45.120503652039325
1739209855.3924718;-38.13080360867914
1739209855.3924737;-38.13080360867914
1739209855.3924758;-38.13080360867914
1739209855.392478;-38.13080360867914
1739209855.3924801;-45.120503652039325
1739209855.392482;-45.120503652039325
1739209855.3924842;-38.13080360867914
1739209855.3924863;-35.57807855764607
1739209855.3924885;-38.13080360867914
1739209855.3924904;-33.981070128970906
1739209855.3924925;-38.13080360867914
1739209855.3924947;-45.120503652039325
1739209855.3924966;-45.120503652039325
1739209855.3924987;-45.120503652039325
1739209855.3925009;-45.120503652039325
1739209855.392503;-38.13080360867914
1739209855.392505;-45.120503652039325
1739209855.392507;-32.816014438256545
1739209855.3925092;-33.981070128970906
1739209855.3925114;-45.120503652039325
1739209855.3925133;-33.981070128970906
1739209855.3925154;-45.120503652039325
1739209855.3925176;-45.120503652039325
1739209855.3925197;-45.120503652039325
1739209855.3925216;-38.13080360867914
1739209855.3925238;-35.57807855764607
1739209855.392526;-45.120503652039325
1739209855.392528;-45.120503652039325
1739209855.39253;-38.13080360867914
1739209855.392532;-38.13080360867914
1739209855.3925343;-38.13080360867914
1739209855.3925364;-38.13080360867914
1739209855.3925383;-38.13080360867914
1739209855.3925405;-28.992665084841942
1739209855.3925426;-31.141103565318915
1739209855.3925447;-45.120503652039325
1739209855.3925467;-45.120503652039325
1739209855.3925488;-33.981070128970906
1739209855.392551;-38.13080360867914
1739209855.392553;-45.120503652039325
1739209855.392555;-38.13080360867914
1739209855.3925571;-45.120503652039325
1739209855.3925593;-38.13080360867914
1739209855.3925612;-38.13080360867914
1739209855.3925633;-45.120503652039325
1739209855.3925655;-35.57807855764607
1739209855.3925676;-38.13080360867914
1739209855.3925695;-38.13080360867914
