CAN Message; 0x1bb:000065bcddb97c2c
Timestamp;Amplitude
1739209682.3427355;-45.120503652039325
1739209682.3427398;-45.120503652039325
1739209682.342744;-45.120503652039325
1739209682.3427484;-45.120503652039325
1739209682.3427525;-45.120503652039325
1739209682.3427567;-32.816014438256545
1739209682.342761;-35.57807855764607
1739209682.3427653;-45.120503652039325
1739209682.3427696;-33.981070128970906
1739209682.3427737;-33.981070128970906
1739209682.342778;-45.120503652039325
1739209682.3427823;-45.120503652039325
1739209682.3427866;-38.13080360867914
1739209682.3427908;-45.120503652039325
1739209682.342795;-45.120503652039325
1739209682.3427992;-38.13080360867914
1739209682.3428035;-38.13080360867914
1739209682.3428078;-35.57807855764607
1739209682.342812;-38.13080360867914
1739209682.342816;-45.120503652039325
1739209682.3428204;-38.13080360867914
1739209682.3428247;-38.13080360867914
1739209682.342829;-45.120503652039325
1739209682.3428333;-45.120503652039325
1739209682.3428373;-38.13080360867914
1739209682.3428416;-32.816014438256545
1739209682.342846;-38.13080360867914
1739209682.3428502;-38.13080360867914
1739209682.3428545;-38.13080360867914
1739209682.3428586;-38.13080360867914
1739209682.3428628;-38.13080360867914
1739209682.3428671;-45.120503652039325
1739209682.3428714;-33.981070128970906
1739209682.3428757;-45.120503652039325
1739209682.3428798;-38.13080360867914
1739209682.342884;-45.120503652039325
1739209682.3428884;-38.13080360867914
1739209682.3428926;-32.816014438256545
1739209682.342897;-45.120503652039325
1739209682.342901;-35.57807855764607
1739209682.3429053;-38.13080360867914
1739209682.3429096;-33.981070128970906
1739209682.3429139;-38.13080360867914
1739209682.3429182;-45.120503652039325
1739209682.3429222;-45.120503652039325
1739209682.3429265;-33.981070128970906
1739209682.3429308;-31.141103565318915
1739209682.342935;-45.120503652039325
1739209682.3429394;-38.13080360867914
1739209682.3429434;-38.13080360867914
1739209682.3429477;-45.120503652039325
1739209682.342952;-45.120503652039325
1739209682.3429563;-45.120503652039325
1739209682.3429606;-45.120503652039325
1739209682.3429646;-45.120503652039325
1739209682.342969;-38.13080360867914
1739209682.3429732;-35.57807855764607
1739209682.3429775;-33.981070128970906
1739209682.3429818;-32.816014438256545
1739209682.3429859;-38.13080360867914
1739209682.3429902;-38.13080360867914
1739209682.3429945;-38.13080360867914
1739209682.3429987;-38.13080360867914
1739209682.343003;-38.13080360867914
1739209682.343007;-38.13080360867914
1739209682.3430114;-45.120503652039325
1739209682.3430157;-45.120503652039325
1739209682.34302;-45.120503652039325
1739209682.3430243;-45.120503652039325
1739209682.3430283;-45.120503652039325
1739209682.3430326;-38.13080360867914
1739209682.343037;-38.13080360867914
1739209682.3430412;-45.120503652039325
1739209682.3430455;-45.120503652039325
1739209682.3430495;-35.57807855764607
1739209682.3430538;-35.57807855764607
1739209682.343058;-45.120503652039325
1739209682.3430624;-45.120503652039325
1739209682.3430667;-33.981070128970906
1739209682.3430707;-38.13080360867914
1739209682.343075;-38.13080360867914
1739209682.3430793;-45.120503652039325
1739209682.3430836;-38.13080360867914
1739209682.343088;-32.816014438256545
1739209682.3430922;-38.13080360867914
1739209682.3430963;-45.120503652039325
1739209682.3431005;-38.13080360867914
1739209682.3431048;-35.57807855764607
1739209682.3431091;-45.120503652039325
1739209682.3431134;-38.13080360867914
1739209682.3431175;-33.981070128970906
1739209682.3431218;-38.13080360867914
1739209682.343126;-45.120503652039325
1739209682.3431304;-38.13080360867914
1739209682.3431346;-38.13080360867914
1739209682.3431387;-35.57807855764607
1739209682.343143;-38.13080360867914
1739209682.3431473;-45.120503652039325
1739209682.3431516;-33.981070128970906
1739209682.3431559;-45.120503652039325
1739209682.34316;-38.13080360867914
1739209682.3431642;-45.120503652039325
1739209682.3431685;-45.120503652039325
1739209682.3431728;-45.120503652039325
1739209682.343177;-45.120503652039325
1739209682.3431811;-45.120503652039325
1739209682.3431854;-30.49652367304973
1739209682.3431897;-35.57807855764607
1739209682.343194;-45.120503652039325
1739209682.3431983;-45.120503652039325
1739209682.3432024;-38.13080360867914
1739209682.3432066;-45.120503652039325
1739209682.343211;-45.120503652039325
1739209682.3432152;-38.13080360867914
1739209682.3432195;-30.49652367304973
1739209682.3432236;-38.13080360867914
1739209682.3432279;-45.120503652039325
1739209682.3432322;-38.13080360867914
1739209682.3432364;-33.981070128970906
1739209682.3432407;-38.13080360867914
1739209682.3432448;-38.13080360867914
1739209682.343249;-45.120503652039325
1739209682.3432534;-45.120503652039325
1739209682.3432577;-45.120503652039325
1739209682.343262;-45.120503652039325
1739209682.343266;-35.57807855764607
1739209682.3432703;-45.120503652039325
1739209682.3432746;-38.13080360867914
1739209682.343279;-45.120503652039325
1739209682.3432832;-45.120503652039325
1739209682.3432872;-33.981070128970906
1739209682.3432915;-45.120503652039325
1739209682.3432958;-31.141103565318915
1739209682.3433;-45.120503652039325
1739209682.3433044;-45.120503652039325
1739209682.3433084;-38.13080360867914
1739209682.3433127;-33.981070128970906
1739209682.343317;-35.57807855764607
1739209682.3433213;-33.981070128970906
1739209682.3433256;-45.120503652039325
1739209682.3433297;-38.13080360867914
1739209682.343334;-38.13080360867914
1739209682.3433383;-45.120503652039325
1739209682.3433425;-33.981070128970906
1739209682.3433468;-45.120503652039325
1739209682.343351;-38.13080360867914
1739209682.3433552;-31.141103565318915
1739209682.3433595;-38.13080360867914
1739209682.3433638;-45.120503652039325
1739209682.343368;-45.120503652039325
1739209682.343372;-38.13080360867914
1739209682.3433764;-45.120503652039325
