CAN Message; 0x1bb:000094707e8d98d3
Timestamp;Amplitude
1739209613.3020775;-38.13080360867914
1739209613.3020835;-33.981070128970906
1739209613.3020897;-45.120503652039325
1739209613.3020957;-38.13080360867914
1739209613.3021016;-35.57807855764607
1739209613.3021078;-33.981070128970906
1739209613.3021138;-45.120503652039325
1739209613.3021197;-38.13080360867914
1739209613.3021257;-38.13080360867914
1739209613.302132;-35.57807855764607
1739209613.3021379;-45.120503652039325
1739209613.3021438;-45.120503652039325
1739209613.3021498;-38.13080360867914
1739209613.302156;-45.120503652039325
1739209613.302162;-45.120503652039325
1739209613.302168;-45.120503652039325
1739209613.302174;-38.13080360867914
1739209613.30218;-45.120503652039325
1739209613.302186;-45.120503652039325
1739209613.302192;-45.120503652039325
1739209613.3021982;-38.13080360867914
1739209613.3022041;-35.57807855764607
1739209613.30221;-45.120503652039325
1739209613.302216;-45.120503652039325
1739209613.3022223;-35.57807855764607
1739209613.3022282;-27.267205301931607
1739209613.3022342;-38.13080360867914
1739209613.3022401;-38.13080360867914
1739209613.3022463;-38.13080360867914
1739209613.3022523;-45.120503652039325
1739209613.3022583;-38.13080360867914
1739209613.3022645;-45.120503652039325
1739209613.3022704;-38.13080360867914
1739209613.3022764;-31.14110356531892
1739209613.3022823;-33.981070128970906
1739209613.3022885;-45.120503652039325
1739209613.3022945;-45.120503652039325
1739209613.3023005;-45.120503652039325
1739209613.3023064;-45.120503652039325
1739209613.3023126;-33.981070128970906
1739209613.3023186;-45.120503652039325
1739209613.3023245;-31.141103565318915
1739209613.3023305;-38.13080360867914
1739209613.3023367;-45.120503652039325
1739209613.3023427;-45.120503652039325
1739209613.3023486;-38.13080360867914
1739209613.3023548;-45.120503652039325
1739209613.3023608;-45.120503652039325
1739209613.3023667;-38.13080360867914
1739209613.3023727;-38.13080360867914
1739209613.302379;-38.13080360867914
1739209613.3023849;-38.13080360867914
1739209613.3023908;-45.120503652039325
1739209613.3023968;-38.13080360867914
1739209613.302403;-38.13080360867914
1739209613.302409;-38.13080360867914
1739209613.302415;-38.13080360867914
1739209613.302421;-33.981070128970906
1739209613.302427;-38.13080360867914
1739209613.302433;-35.57807855764607
1739209613.302439;-45.120503652039325
1739209613.3024452;-38.13080360867914
1739209613.3024511;-45.120503652039325
1739209613.302457;-45.120503652039325
1739209613.302463;-38.13080360867914
1739209613.3024693;-33.981070128970906
1739209613.3024752;-45.120503652039325
1739209613.3024812;-45.120503652039325
1739209613.3024871;-45.120503652039325
