CAN Message; 0x150:060074f17144f0e4
Timestamp;Amplitude
1739209868.4262912;-32.816014438256545
1739209868.4262943;-45.120503652039325
1739209868.4262974;-45.120503652039325
1739209868.4263005;-35.57807855764607
1739209868.4263036;-38.13080360867914
1739209868.4263067;-45.120503652039325
1739209868.4263098;-45.120503652039325
1739209868.4263127;-27.267205301931607
1739209868.4263158;-24.589719217205094
1739209868.426319;-35.57807855764607
1739209868.426322;-28.992665084841942
1739209868.426325;-30.49652367304973
1739209868.4263282;-33.981070128970906
1739209868.4263313;-38.13080360867914
1739209868.4263344;-45.120503652039325
1739209868.4263372;-38.13080360867914
1739209868.4263403;-38.13080360867914
1739209868.4263434;-45.120503652039325
1739209868.4263465;-32.816014438256545
1739209868.4263496;-27.877744956031414
1739209868.4263527;-26.035653463252824
1739209868.4263558;-28.58837851428586
1739209868.426359;-38.13080360867914
1739209868.426362;-33.981070128970906
1739209868.426365;-31.141103565318915
1739209868.426368;-38.13080360867914
1739209868.426371;-33.981070128970906
1739209868.4263742;-35.57807855764607
1739209868.4263773;-45.120503652039325
1739209868.4263804;-33.981070128970906
1739209868.4263835;-33.981070128970906
1739209868.4263866;-25.62660358559016
1739209868.4263895;-24.74623867263306
1739209868.4263926;-38.13080360867914
1739209868.4263957;-28.992665084841942
1739209868.4263988;-30.49652367304973
1739209868.4264019;-30.49652367304973
1739209868.426405;-45.120503652039325
1739209868.426408;-33.981070128970906
1739209868.4264112;-38.13080360867914
1739209868.4264143;-38.13080360867914
1739209868.426417;-38.13080360867914
1739209868.4264202;-38.13080360867914
1739209868.4264233;-45.120503652039325
1739209868.4264264;-23.506823629689542
1739209868.4264295;-25.252786309376837
1739209868.4264326;-35.57807855764607
1739209868.4264357;-26.991370085610722
1739209868.4264388;-31.141103565318893
1739209868.4264417;-33.981070128970956
1739209868.4264448;-25.252786309376837
1739209868.4264479;-38.13080360867914
1739209868.426451;-45.120503652039325
1739209868.426454;-33.981070128970906
1739209868.4264572;-33.981070128970906
1739209868.4264603;-35.57807855764607
1739209868.4264634;-32.81601443825658
1739209868.4264665;-26.487275050834725
1739209868.4264693;-32.816014438256545
1739209868.4264724;-35.57807855764607
1739209868.4264755;-31.141103565318915
1739209868.4264786;-45.120503652039325
1739209868.4264817;-33.981070128970906
1739209868.4264848;-33.981070128970906
1739209868.426488;-45.120503652039325
1739209868.426491;-28.21854285175415
