CAN Message; 0x1bb:0000c2d36c42cb0e
Timestamp;Amplitude
1739209703.934719;-45.120503652039325
1739209703.9347286;-45.120503652039325
1739209703.9347384;-35.57807855764607
1739209703.934748;-45.120503652039325
1739209703.9347577;-45.120503652039325
1739209703.9347672;-38.13080360867914
1739209703.934777;-38.13080360867914
1739209703.9347866;-45.120503652039325
1739209703.9347963;-33.981070128970906
1739209703.9348059;-38.13080360867914
1739209703.9348156;-45.120503652039325
1739209703.9348252;-38.13080360867914
1739209703.934835;-45.120503652039325
1739209703.9348445;-33.981070128970906
1739209703.9348543;-45.120503652039325
1739209703.9348638;-45.120503652039325
1739209703.9348733;-45.120503652039325
1739209703.934883;-38.13080360867914
1739209703.9348927;-38.13080360867914
1739209703.9349024;-38.13080360867914
1739209703.934912;-38.13080360867914
1739209703.9349217;-38.13080360867914
1739209703.9349313;-45.120503652039325
1739209703.934941;-38.13080360867914
1739209703.9349506;-38.13080360867914
1739209703.9349604;-45.120503652039325
1739209703.93497;-45.120503652039325
1739209703.9349797;-38.13080360867914
1739209703.9349892;-38.13080360867914
1739209703.934999;-45.120503652039325
1739209703.9350085;-45.120503652039325
1739209703.9350183;-45.120503652039325
1739209703.9350278;-38.13080360867914
1739209703.9350376;-35.57807855764607
1739209703.9350471;-45.120503652039325
1739209703.935057;-38.13080360867914
1739209703.9350665;-32.816014438256545
1739209703.9350762;-38.13080360867914
1739209703.9350858;-45.120503652039325
1739209703.9350955;-45.120503652039325
1739209703.935105;-45.120503652039325
1739209703.9351149;-45.120503652039325
1739209703.9351244;-45.120503652039325
1739209703.9351342;-45.120503652039325
1739209703.9351437;-45.120503652039325
1739209703.9351535;-45.120503652039325
1739209703.935163;-38.13080360867914
1739209703.9351728;-38.13080360867914
1739209703.9351823;-38.13080360867914
1739209703.935192;-31.141103565318915
1739209703.9352016;-35.57807855764607
1739209703.9352112;-35.57807855764607
1739209703.935221;-45.120503652039325
1739209703.9352305;-32.816014438256545
1739209703.9352403;-38.13080360867914
1739209703.9352498;-45.120503652039325
1739209703.9352596;-45.120503652039325
1739209703.935269;-38.13080360867914
1739209703.935279;-45.120503652039325
1739209703.9352884;-38.13080360867914
1739209703.9352982;-38.13080360867914
1739209703.9353077;-38.13080360867914
1739209703.9353175;-45.120503652039325
1739209703.935327;-45.120503652039325
1739209703.9353368;-32.816014438256545
1739209703.9353464;-38.13080360867914
1739209703.9353561;-45.120503652039325
1739209703.9353657;-45.120503652039325
1739209703.9353755;-45.120503652039325
1739209703.935385;-45.120503652039325
1739209703.9353948;-45.120503652039325
1739209703.9354043;-45.120503652039325
1739209703.935414;-38.13080360867914
1739209703.9354236;-30.49652367304973
1739209703.9354334;-32.816014438256545
1739209703.935443;-45.120503652039325
1739209703.9354527;-45.120503652039325
1739209703.9354622;-35.57807855764607
1739209703.935472;-38.13080360867914
1739209703.9354815;-45.120503652039325
1739209703.9354913;-35.57807855764607
1739209703.9355009;-38.13080360867914
1739209703.9355106;-45.120503652039325
1739209703.9355202;-45.120503652039325
1739209703.9355297;-38.13080360867914
1739209703.9355395;-38.13080360867914
1739209703.935549;-45.120503652039325
1739209703.9355588;-33.981070128970906
1739209703.9355683;-45.120503652039325
1739209703.935578;-30.49652367304973
1739209703.9355876;-32.816014438256545
1739209703.9355974;-45.120503652039325
1739209703.935607;-45.120503652039325
1739209703.9356167;-38.13080360867914
1739209703.9356263;-38.13080360867914
1739209703.935636;-45.120503652039325
1739209703.9356456;-45.120503652039325
1739209703.9356554;-45.120503652039325
1739209703.935665;-45.120503652039325
1739209703.9356747;-45.120503652039325
1739209703.9356842;-45.120503652039325
1739209703.935694;-38.13080360867914
1739209703.9357035;-38.13080360867914
1739209703.9357133;-45.120503652039325
1739209703.9357228;-38.13080360867914
1739209703.9357326;-45.120503652039325
1739209703.9357421;-45.120503652039325
1739209703.935752;-45.120503652039325
1739209703.9357615;-45.120503652039325
1739209703.9357712;-38.13080360867914
1739209703.9357808;-38.13080360867914
1739209703.9357905;-38.13080360867914
1739209703.9358;-45.120503652039325
1739209703.9358099;-29.438486411369333
1739209703.9358194;-26.991370085610736
1739209703.9358292;-45.120503652039325
1739209703.9358387;-45.120503652039325
1739209703.9358485;-32.816014438256545
1739209703.935858;-33.981070128970906
1739209703.9358675;-45.120503652039325
1739209703.9358773;-38.13080360867914
1739209703.9358869;-45.120503652039325
1739209703.9358966;-45.120503652039325
1739209703.9359062;-38.13080360867914
1739209703.935916;-45.120503652039325
1739209703.9359255;-45.120503652039325
1739209703.9359353;-38.13080360867914
1739209703.9359448;-38.13080360867914
1739209703.9359546;-38.13080360867914
1739209703.935964;-35.57807855764607
1739209703.935974;-38.13080360867914
1739209703.9359834;-38.13080360867914
1739209703.9359932;-38.13080360867914
1739209703.9360027;-45.120503652039325
1739209703.9360125;-38.13080360867914
1739209703.936022;-38.13080360867914
1739209703.9360318;-35.57807855764607
1739209703.9360414;-45.120503652039325
1739209703.9360511;-45.120503652039325
1739209703.9360607;-45.120503652039325
1739209703.9360704;-38.13080360867914
1739209703.93608;-38.13080360867914
1739209703.9360898;-38.13080360867914
1739209703.9360993;-45.120503652039325
1739209703.936109;-32.816014438256545
1739209703.9361186;-45.120503652039325
1739209703.9361284;-45.120503652039325
1739209703.936138;-35.57807855764607
1739209703.9361477;-32.816014438256545
1739209703.9361572;-38.13080360867914
1739209703.936167;-45.120503652039325
1739209703.9361765;-35.57807855764607
1739209703.936186;-38.13080360867914
1739209703.9361959;-33.981070128970906
1739209703.9362054;-45.120503652039325
1739209703.9362152;-33.981070128970906
1739209703.9362247;-32.816014438256545
1739209703.9362345;-35.57807855764607
1739209703.936244;-38.13080360867914
1739209703.9362538;-45.120503652039325
1739209703.9362633;-45.120503652039325
1739209703.936273;-45.120503652039325
1739209703.9362826;-45.120503652039325
1739209703.9362924;-45.120503652039325
1739209703.936302;-45.120503652039325
1739209703.9363117;-45.120503652039325
1739209703.9363213;-38.13080360867914
1739209703.936331;-45.120503652039325
1739209703.9363406;-45.120503652039325
1739209703.9363503;-38.13080360867914
1739209703.93636;-38.13080360867914
1739209703.9363697;-33.981070128970906
1739209703.9363792;-45.120503652039325
1739209703.936389;-45.120503652039325
1739209703.9363985;-45.120503652039325
1739209703.9364083;-45.120503652039325
1739209703.9364178;-45.120503652039325
1739209703.9364276;-45.120503652039325
1739209703.9364371;-38.13080360867914
1739209703.936447;-38.13080360867914
1739209703.9364564;-38.13080360867914
