CAN Message; 0x150:04008a6e797ebd91
Timestamp;Amplitude
1739209704.343797;-33.981070128970906
1739209704.3438008;-45.120503652039325
1739209704.3438044;-35.57807855764607
1739209704.343808;-38.13080360867914
1739209704.3438118;-38.13080360867914
1739209704.3438153;-30.49652367304973
1739209704.3438191;-45.120503652039325
1739209704.3438227;-45.120503652039325
1739209704.3438263;-45.120503652039325
1739209704.34383;-38.13080360867914
1739209704.3438337;-45.120503652039325
1739209704.3438373;-38.13080360867914
1739209704.343841;-45.120503652039325
1739209704.3438447;-45.120503652039325
1739209704.3438482;-45.120503652039325
1739209704.343852;-45.120503652039325
1739209704.3438556;-45.120503652039325
1739209704.3438592;-33.981070128970956
1739209704.343863;-45.120503652039325
1739209704.3438666;-45.120503652039325
1739209704.3438702;-35.57807855764607
1739209704.343874;-35.57807855764607
1739209704.3438776;-38.13080360867914
1739209704.3438814;-45.120503652039325
1739209704.343885;-32.816014438256545
1739209704.3438885;-38.13080360867914
1739209704.3438923;-33.981070128970906
1739209704.343896;-45.120503652039325
1739209704.3438995;-45.120503652039325
1739209704.3439033;-32.816014438256545
1739209704.3439069;-38.13080360867914
1739209704.3439105;-45.120503652039325
1739209704.3439143;-45.120503652039325
1739209704.3439178;-45.120503652039325
1739209704.3439214;-45.120503652039325
1739209704.3439252;-45.120503652039325
1739209704.3439288;-45.120503652039325
1739209704.3439324;-45.120503652039325
1739209704.3439362;-38.13080360867914
1739209704.3439398;-45.120503652039325
1739209704.3439436;-38.13080360867914
1739209704.3439472;-45.120503652039325
1739209704.3439507;-45.120503652039325
1739209704.3439546;-35.57807855764607
1739209704.3439581;-32.816014438256545
1739209704.3439617;-26.991370085610722
1739209704.3439655;-45.120503652039325
1739209704.343969;-38.13080360867914
1739209704.3439727;-38.13080360867914
1739209704.3439765;-33.981070128970906
1739209704.34398;-45.120503652039325
1739209704.3439837;-38.13080360867914
1739209704.3439875;-45.120503652039325
1739209704.343991;-38.13080360867914
1739209704.3439949;-45.120503652039325
